,ATG Storage,BRB Storage,DMA Storage,GLP Storage,GRD Storage,LCA Storage,MSR Storage,MTQ Storage,SKN Storage,SVG Storage
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,13.124083616228734,-0.0,-0.0,-0.0,-0.0,-0.0,0.536560267857152,-0.0,-0.0,-0.0
8,-0.0,-0.0,0.36666666666666714,159.40687398971843,-0.0,-0.0,0.5085602678571518,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4308102678571518,-0.0,-0.0,-0.0
10,70.0,-0.0,20.0,-0.0,-0.0,-0.0,0.3918102678571519,-0.0,-0.0,-0.0
11,70.0,-0.0,20.0,-0.0,-0.0,-0.0,0.35606026785715184,-0.0,36.91155197426284,-0.0
12,70.0,19.19010193495501,-0.0,-0.0,-0.0,-0.0,0.328560267857152,-0.0,-0.0,-0.0
13,-0.0,200.0,-0.0,-0.0,-0.0,-0.0,0.41856026785715195,-0.0,37.13495197426284,-0.0
14,21.262105156277812,200.0,20.0,320.0,-0.0,-0.0,0.5033102678571518,-0.0,39.081751974262836,-0.0
15,-0.0,128.10825,20.0,105.42709270255568,-0.0,-0.0,0.5060602678571519,-0.0,-0.0,-0.0
16,-0.0,19.718249999999994,20.0,80.98612271118094,-0.0,-0.0,0.45756026785715187,-0.0,25.440143155681458,-0.0
17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,-0.0,-0.0,-0.0,59.95592038727101,-0.0,-0.0,0.19481026785715194,-0.0,-0.0,-0.0
32,-0.0,-0.0,15.04363394899018,-0.0,-0.0,-0.0,0.01981026785715212,-0.0,32.83625197426284,-0.0
33,70.0,-0.0,4.9563660510098195,320.0,-0.0,-0.0,0.00456026785715169,121.29394092452688,-0.0,-0.0
34,35.72453764120422,-0.0,20.0,290.13722321131365,-0.0,-0.0,-0.0,-0.0,26.934056686021222,-0.0
35,70.0,11.219403815592159,20.0,-0.0,-0.0,3.44503752274046,-0.0,-0.0,29.771651974262838,-0.0
36,70.0,200.0,20.0,320.0,-0.0,-0.0,-0.0,114.57804630003919,29.49335197426284,-0.0
37,70.0,200.0,20.0,320.0,-0.0,-0.0,-0.0,6.691355753804601,-0.0,-0.0
38,70.0,168.17825000000005,20.0,-0.0,-0.0,-0.0,-0.0,-0.0,29.79595197426284,-0.0
39,34.27546235879578,84.03824999999995,-0.0,151.52029714743716,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
41,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
43,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
