,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,1.7763568394002505e-15,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.7763568394002505e-15
1,0.0,0.0,0.0,-3.3306690738754696e-16,-1.4210854715202004e-14,-1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
2,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
3,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
4,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
5,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
6,0.0,1.7763568394002505e-15,-1.4210854715202004e-14,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,-3.552713678800501e-15,0.0,-6.661338147750939e-16
7,-1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,-1.7763568394002505e-15,7.105427357601002e-15,8.881784197001252e-16,-3.552713678800501e-15
8,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1.4210854715202004e-14,-1.7763568394002505e-15,0.0,0.0,0.0
9,-3.552713678800501e-15,0.0,0.0,-1.1102230246251565e-16,1.4210854715202004e-14,0.0,0.0,0.0,-2.6645352591003757e-15
10,0.0,-7.105427357601002e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,-3.552713678800501e-15
11,0.0,0.0,-2.842170943040401e-14,1.1102230246251565e-16,-2.842170943040401e-14,0.0,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
12,0.0,-7.105427357601002e-15,2.842170943040401e-14,1.1102230246251565e-16,0.0,0.0,-1.4210854715202004e-14,0.0,-3.552713678800501e-15
13,0.0,7.105427357601002e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,-1.7763568394002505e-15
14,0.0,-3.552713678800501e-15,0.0,0.0,1.4210854715202004e-14,-7.105427357601002e-15,-1.4210854715202004e-14,1.7763568394002505e-15,-1.7763568394002505e-15
15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,-5.551115123125783e-17,1.4210854715202004e-14,0.0,0.0,0.0,-8.881784197001252e-16
16,0.0,0.0,-7.105427357601002e-15,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,-2.220446049250313e-15,-2.6645352591003757e-15
17,1.7763568394002505e-15,0.0,-1.4210854715202004e-14,-1.734723475976807e-17,-1.4210854715202004e-14,-1.7763568394002505e-15,-7.105427357601002e-15,0.0,-2.6645352591003757e-15
18,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,7.105427357601002e-15,0.0,0.0,-4.440892098500626e-16
19,0.0,0.0,-1.4210854715202004e-14,-1.1102230246251565e-16,-1.4210854715202004e-14,0.0,0.0,0.0,-4.440892098500626e-16
20,0.0,0.0,0.0,-5.551115123125783e-17,-1.4210854715202004e-14,0.0,0.0,0.0,-1.7763568394002505e-15
21,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0
22,0.0,0.0,0.0,-1.1102230246251565e-16,-1.4210854715202004e-14,0.0,0.0,0.0,-4.440892098500626e-16
23,1.7763568394002505e-15,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,-1.7763568394002505e-15,-4.440892098500626e-16
24,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,-1.7763568394002505e-15,0.0,0.0,-4.440892098500626e-16
25,0.0,-3.552713678800501e-15,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
26,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.5543122344752192e-15
27,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.5543122344752192e-15
28,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,-1.7763568394002505e-15,0.0,0.0,-1.5543122344752192e-15
29,0.0,0.0,0.0,-8.326672684688674e-17,0.0,3.552713678800501e-15,0.0,0.0,-1.5543122344752192e-15
30,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-6.661338147750939e-16
31,0.0,0.0,0.0,8.326672684688674e-17,5.329070518200751e-15,-1.7763568394002505e-15,0.0,2.6645352591003757e-15,-6.661338147750939e-16
32,0.0,0.0,7.105427357601002e-15,0.0,-2.1316282072803006e-14,0.0,-1.4210854715202004e-14,-1.7763568394002505e-15,2.220446049250313e-16
33,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-7.105427357601002e-15,0.0,0.0,3.552713678800501e-15
34,0.0,-7.105427357601002e-15,0.0,-2.220446049250313e-16,-1.4210854715202004e-14,-7.105427357601002e-15,-1.4210854715202004e-14,-1.7763568394002505e-15,-1.7763568394002505e-15
35,7.105427357601002e-15,3.552713678800501e-15,2.842170943040401e-14,-1.1102230246251565e-16,-5.684341886080802e-14,-7.105427357601002e-15,0.0,0.0,1.7763568394002505e-15
36,0.0,0.0,0.0,2.220446049250313e-16,-2.842170943040401e-14,-7.105427357601002e-15,0.0,0.0,-1.7763568394002505e-15
37,0.0,-3.552713678800501e-15,2.842170943040401e-14,2.220446049250313e-16,-1.4210854715202004e-14,-7.105427357601002e-15,0.0,0.0,-1.7763568394002505e-15
38,-7.105427357601002e-15,0.0,-2.842170943040401e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,3.774758283725532e-15
39,7.105427357601002e-15,0.0,0.0,0.0,-3.019806626980426e-14,1.7763568394002505e-15,-1.4210854715202004e-14,1.7763568394002505e-15,1.3322676295501878e-15
40,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,1.7763568394002505e-15,-1.7763568394002505e-15
41,0.0,0.0,2.842170943040401e-14,-1.1102230246251565e-16,-2.842170943040401e-14,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,-2.842170943040401e-14,3.552713678800501e-15,0.0,0.0,3.552713678800501e-15
43,0.0,0.0,2.842170943040401e-14,1.1102230246251565e-16,0.0,-3.552713678800501e-15,0.0,0.0,0.0
44,-1.7763568394002505e-15,0.0,0.0,1.1102230246251565e-16,-1.4210854715202004e-14,0.0,0.0,0.0,0.0
45,1.7763568394002505e-15,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,8.881784197001252e-16,0.0
46,-1.7763568394002505e-15,0.0,0.0,0.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,1.7763568394002505e-15
48,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,7.105427357601002e-15,-8.881784197001252e-16,0.0
49,-1.7763568394002505e-15,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0
50,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,1.7763568394002505e-15
51,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,8.881784197001252e-16,0.0
52,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,-8.326672684688674e-17,2.842170943040401e-14,7.105427357601002e-15,0.0,8.881784197001252e-16,0.0
53,-1.7763568394002505e-15,0.0,1.4210854715202004e-14,-1.1102230246251565e-16,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0
54,-3.552713678800501e-15,0.0,0.0,-5.551115123125783e-17,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,1.7763568394002505e-15
55,0.0,-1.7763568394002505e-15,1.4210854715202004e-14,-8.326672684688674e-17,0.0,5.329070518200751e-15,-7.105427357601002e-15,0.0,0.0
56,0.0,-5.329070518200751e-15,1.4210854715202004e-14,-1.6653345369377348e-16,-8.881784197001252e-15,-1.7763568394002505e-15,0.0,0.0,1.3322676295501878e-15
57,0.0,0.0,-2.842170943040401e-14,-1.1102230246251565e-16,-2.842170943040401e-14,0.0,-2.842170943040401e-14,-1.7763568394002505e-15,1.3322676295501878e-15
58,0.0,0.0,0.0,1.1102230246251565e-16,-1.4210854715202004e-14,7.105427357601002e-15,0.0,8.881784197001252e-16,-4.440892098500626e-16
59,0.0,-3.552713678800501e-15,0.0,0.0,-2.842170943040401e-14,0.0,0.0,0.0,-4.440892098500626e-16
60,0.0,0.0,0.0,1.1102230246251565e-16,-2.842170943040401e-14,0.0,0.0,1.7763568394002505e-15,0.0
61,0.0,-7.105427357601002e-15,0.0,0.0,-2.842170943040401e-14,0.0,0.0,1.7763568394002505e-15,3.552713678800501e-15
62,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,-2.842170943040401e-14,0.0,1.7763568394002505e-15
63,0.0,0.0,0.0,-1.1102230246251565e-16,-1.4210854715202004e-14,-3.552713678800501e-15,-1.4210854715202004e-14,-1.7763568394002505e-15,0.0
64,0.0,3.552713678800501e-15,0.0,5.551115123125783e-17,-7.105427357601002e-15,5.329070518200751e-15,7.105427357601002e-15,-8.881784197001252e-16,3.552713678800501e-15
65,1.7763568394002505e-15,0.0,-2.842170943040401e-14,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0
67,0.0,7.105427357601002e-15,0.0,0.0,-2.842170943040401e-14,3.552713678800501e-15,1.4210854715202004e-14,0.0,0.0
68,-3.552713678800501e-15,0.0,2.842170943040401e-14,0.0,0.0,-3.552713678800501e-15,-1.4210854715202004e-14,0.0,3.552713678800501e-15
69,3.552713678800501e-15,0.0,0.0,-1.6653345369377348e-16,0.0,3.552713678800501e-15,1.4210854715202004e-14,-8.881784197001252e-16,0.0
70,0.0,-7.105427357601002e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0
