,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,1.2212453270876722e-15,-4.440892098500626e-16,7.105427357601002e-15,1.1102230246251565e-16,0.0,2.6645352591003757e-15,0.0,0.0,0.0,-3.552713678800501e-15
1,4.773959005888173e-15,3.552713678800501e-15,1.4210854715202004e-14,-1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
2,1.2212453270876722e-15,2.220446049250313e-15,7.105427357601002e-15,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
3,-2.3314683517128287e-15,-3.885780586188048e-15,7.105427357601002e-15,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
4,1.2212453270876722e-15,-3.9968028886505635e-15,7.105427357601002e-15,1.1102230246251565e-16,-3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,0.0,-1.7763568394002505e-15
5,1.2212453270876722e-15,4.884981308350689e-15,1.7763568394002505e-14,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,-1.7763568394002505e-15
6,1.2212453270876722e-15,3.1086244689504383e-15,7.105427357601002e-15,1.1102230246251565e-16,0.0,-2.6645352591003757e-15,0.0,0.0,0.0,0.0
7,1.2212453270876722e-15,3.552713678800501e-15,-7.105427357601002e-15,1.1102230246251565e-16,0.0,6.217248937900877e-15,0.0,-3.552713678800501e-15,1.7763568394002505e-15,0.0
8,1.2212453270876722e-15,-2.6645352591003757e-15,-7.105427357601002e-15,-1.1102230246251565e-16,0.0,-6.217248937900877e-15,3.552713678800501e-15,3.552713678800501e-15,1.7763568394002505e-15,-1.7763568394002505e-15
9,4.773959005888173e-15,0.0,7.105427357601002e-15,1.1102230246251565e-16,0.0,6.217248937900877e-15,0.0,3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15
10,-4.773959005888173e-15,1.4210854715202004e-14,0.0,-1.1102230246251565e-16,0.0,-1.509903313490213e-14,-7.105427357601002e-15,-3.552713678800501e-15,0.0,0.0
11,9.43689570931383e-15,0.0,2.1316282072803006e-14,3.3306690738754696e-16,0.0,6.217248937900877e-15,-3.552713678800501e-15,-3.552713678800501e-15,1.7763568394002505e-15,1.7763568394002505e-15
12,-4.773959005888173e-15,0.0,-2.1316282072803006e-14,-1.1102230246251565e-16,0.0,3.552713678800501e-15,0.0,-3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15
13,-4.773959005888173e-15,7.105427357601002e-15,-2.1316282072803006e-14,3.3306690738754696e-16,0.0,3.552713678800501e-15,-7.105427357601002e-15,-3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15
14,4.773959005888173e-15,7.105427357601002e-15,-2.1316282072803006e-14,1.1102230246251565e-16,0.0,1.7763568394002505e-14,0.0,0.0,-5.329070518200751e-15,1.7763568394002505e-15
15,1.2212453270876722e-15,-1.4210854715202004e-14,-2.1316282072803006e-14,1.1102230246251565e-16,0.0,-2.6645352591003757e-14,0.0,-3.552713678800501e-15,1.7763568394002505e-15,-1.7763568394002505e-15
16,1.2212453270876722e-15,0.0,7.105427357601002e-15,1.1102230246251565e-16,0.0,-1.3322676295501878e-14,-3.552713678800501e-15,-3.552713678800501e-15,1.7763568394002505e-15,-1.7763568394002505e-15
17,1.2212453270876722e-15,8.881784197001252e-16,-7.105427357601002e-15,-1.1102230246251565e-16,-3.552713678800501e-15,-2.6645352591003757e-15,0.0,0.0,-3.552713678800501e-15,-1.7763568394002505e-15
18,1.2212453270876722e-15,-1.7763568394002505e-15,7.105427357601002e-15,1.1102230246251565e-16,3.552713678800501e-15,-6.217248937900877e-15,0.0,-3.552713678800501e-15,0.0,1.7763568394002505e-15
19,1.2212453270876722e-15,-3.1086244689504383e-15,7.105427357601002e-15,1.1102230246251565e-16,3.552713678800501e-15,8.881784197001252e-16,0.0,-3.552713678800501e-15,0.0,1.7763568394002505e-15
20,1.2212453270876722e-15,-7.105427357601002e-15,7.105427357601002e-15,1.1102230246251565e-16,3.552713678800501e-15,-6.217248937900877e-15,0.0,-3.552713678800501e-15,0.0,1.7763568394002505e-15
21,4.773959005888173e-15,8.881784197001252e-16,-2.1316282072803006e-14,1.1102230246251565e-16,3.552713678800501e-15,-6.217248937900877e-15,0.0,-3.552713678800501e-15,0.0,1.7763568394002505e-15
22,1.2212453270876722e-15,1.3322676295501878e-15,3.552713678800501e-14,1.1102230246251565e-16,0.0,-6.217248937900877e-15,0.0,1.4210854715202004e-14,0.0,1.7763568394002505e-15
23,1.2212453270876722e-15,2.220446049250313e-15,-7.105427357601002e-15,-1.1102230246251565e-16,-3.552713678800501e-15,-6.217248937900877e-15,0.0,-1.4210854715202004e-14,0.0,-1.7763568394002505e-15
24,1.2212453270876722e-15,3.1086244689504383e-15,3.552713678800501e-15,-1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,3.552713678800501e-15,0.0,-1.7763568394002505e-15
25,1.2212453270876722e-15,-7.771561172376096e-16,3.552713678800501e-15,0.0,0.0,8.881784197001252e-16,0.0,3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15
26,4.773959005888173e-15,-3.1086244689504383e-15,1.4210854715202004e-14,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,-1.7763568394002505e-15
27,1.2212453270876722e-15,0.0,-3.552713678800501e-15,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,1.7763568394002505e-15
28,1.2212453270876722e-15,0.0,6.217248937900877e-15,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.552713678800501e-15,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
29,1.2212453270876722e-15,0.0,1.4210854715202004e-14,-1.1102230246251565e-16,0.0,-6.217248937900877e-15,0.0,0.0,0.0,-1.7763568394002505e-15
30,1.2212453270876722e-15,-4.884981308350689e-15,7.105427357601002e-15,-1.1102230246251565e-16,0.0,-6.217248937900877e-15,0.0,0.0,0.0,-1.7763568394002505e-15
31,1.2212453270876722e-15,0.0,-3.552713678800501e-15,1.1102230246251565e-16,0.0,6.217248937900877e-15,1.0658141036401503e-14,-3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15
32,-2.3314683517128287e-15,7.105427357601002e-15,9.237055564881302e-14,1.1102230246251565e-16,8.881784197001252e-16,1.509903313490213e-14,0.0,-1.0658141036401503e-14,0.0,-1.7763568394002505e-15
33,-5.88418203051333e-15,0.0,-2.1316282072803006e-14,1.1102230246251565e-16,3.552713678800501e-15,4.3520742565306136e-14,0.0,1.7763568394002505e-14,0.0,1.7763568394002505e-15
34,-2.3314683517128287e-15,-1.4210854715202004e-14,-2.1316282072803006e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,-7.105427357601002e-15,-6.750155989720952e-14,0.0,1.7763568394002505e-15
35,-2.3314683517128287e-15,-7.105427357601002e-15,3.552713678800501e-14,1.1102230246251565e-16,0.0,4.3520742565306136e-14,-2.842170943040401e-14,1.0658141036401503e-14,1.7763568394002505e-15,1.7763568394002505e-15
36,-2.3314683517128287e-15,-7.105427357601002e-15,-2.1316282072803006e-14,1.1102230246251565e-16,0.0,-3.4638958368304884e-14,-2.1316282072803006e-14,-1.7763568394002505e-14,1.5987211554602254e-14,1.7763568394002505e-15
37,-2.3314683517128287e-15,0.0,3.552713678800501e-14,1.1102230246251565e-16,0.0,-6.217248937900877e-15,3.552713678800501e-15,0.0,0.0,1.7763568394002505e-15
38,-2.3314683517128287e-15,7.105427357601002e-15,2.1316282072803006e-14,1.1102230246251565e-16,0.0,-1.3322676295501878e-14,1.0658141036401503e-14,-7.105427357601002e-15,1.7763568394002505e-15,1.7763568394002505e-15
39,-2.3314683517128287e-15,7.105427357601002e-15,3.197442310920451e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,-3.552713678800501e-15,-3.552713678800501e-15,8.881784197001252e-15,-1.7763568394002505e-15
40,1.2212453270876722e-15,0.0,-1.4210854715202004e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,-3.552713678800501e-15,-7.105427357601002e-15,-2.6645352591003757e-15,-2.6645352591003757e-15
41,-2.3314683517128287e-15,0.0,7.105427357601002e-15,1.1102230246251565e-16,0.0,1.509903313490213e-14,-3.552713678800501e-15,-1.7763568394002505e-14,0.0,0.0
42,-2.3314683517128287e-15,-3.552713678800501e-15,-1.4210854715202004e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,0.0,3.197442310920451e-14,0.0,0.0
43,-2.3314683517128287e-15,0.0,-7.105427357601002e-15,1.1102230246251565e-16,0.0,1.509903313490213e-14,0.0,-1.7763568394002505e-14,0.0,0.0
44,-2.3314683517128287e-15,0.0,-1.4210854715202004e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,0.0,-2.1316282072803006e-14,0.0,0.0
45,1.2212453270876722e-15,0.0,-3.552713678800501e-15,1.1102230246251565e-16,0.0,4.3520742565306136e-14,-3.552713678800501e-15,-3.552713678800501e-15,1.7763568394002505e-15,0.0
46,1.2212453270876722e-15,0.0,-3.552713678800501e-15,1.1102230246251565e-16,0.0,-1.3322676295501878e-14,0.0,-1.7763568394002505e-14,0.0,0.0
47,4.773959005888173e-15,3.552713678800501e-15,0.0,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,-3.552713678800501e-15,0.0,0.0
48,1.2212453270876722e-15,0.0,1.4210854715202004e-14,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,2.4868995751603507e-14,0.0,0.0
49,1.2212453270876722e-15,0.0,3.552713678800501e-15,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,3.552713678800501e-15,0.0,0.0
50,1.2212453270876722e-15,3.552713678800501e-15,7.105427357601002e-15,1.1102230246251565e-16,-3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0
51,1.2212453270876722e-15,-3.552713678800501e-15,-3.552713678800501e-15,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,1.4210854715202004e-14,0.0,0.0
52,1.2212453270876722e-15,0.0,3.552713678800501e-15,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
53,1.2212453270876722e-15,-3.552713678800501e-15,-1.4210854715202004e-14,1.1102230246251565e-16,0.0,-7.993605777301127e-15,0.0,0.0,0.0,0.0
54,1.2212453270876722e-15,7.105427357601002e-15,1.4210854715202004e-14,1.1102230246251565e-16,0.0,8.881784197001252e-16,0.0,-1.4210854715202004e-14,0.0,-2.6645352591003757e-15
55,1.2212453270876722e-15,3.552713678800501e-15,2.4868995751603507e-14,1.1102230246251565e-16,0.0,-2.220446049250313e-14,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.0
56,-2.3314683517128287e-15,0.0,-1.4210854715202004e-14,1.1102230246251565e-16,0.0,-6.217248937900877e-15,7.105427357601002e-15,-1.0658141036401503e-14,0.0,0.0
57,-2.3314683517128287e-15,-4.440892098500626e-15,0.0,1.1102230246251565e-16,0.0,6.217248937900877e-15,-7.105427357601002e-15,-1.0658141036401503e-14,-3.552713678800501e-15,0.0
58,-2.3314683517128287e-15,7.105427357601002e-15,-1.0658141036401503e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,-7.105427357601002e-15,0.0,-5.329070518200751e-15,0.0
59,1.6542323066914832e-14,0.0,-7.815970093361102e-14,-1.1102230246251565e-16,0.0,-3.4638958368304884e-14,-2.842170943040401e-14,-1.0658141036401503e-14,-1.7763568394002505e-15,0.0
60,2.3314683517128287e-15,7.105427357601002e-15,-2.1316282072803006e-14,-1.1102230246251565e-16,0.0,1.7763568394002505e-14,0.0,-2.4868995751603507e-14,0.0,0.0
61,-2.3314683517128287e-15,-7.105427357601002e-15,-2.1316282072803006e-14,1.1102230246251565e-16,0.0,1.509903313490213e-14,7.105427357601002e-15,-3.197442310920451e-14,1.7763568394002505e-15,0.0
62,-2.3314683517128287e-15,-1.4210854715202004e-14,-2.1316282072803006e-14,1.1102230246251565e-16,0.0,-6.217248937900877e-15,7.105427357601002e-15,-3.552713678800501e-15,0.0,-1.7763568394002505e-15
63,1.2212453270876722e-15,7.105427357601002e-15,2.1316282072803006e-14,1.1102230246251565e-16,0.0,3.4638958368304884e-14,2.1316282072803006e-14,1.0658141036401503e-14,0.0,1.7763568394002505e-15
64,-2.3314683517128287e-15,-7.105427357601002e-15,3.552713678800501e-15,1.1102230246251565e-16,0.0,-7.993605777301127e-15,-3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0
65,-2.3314683517128287e-15,0.0,-7.105427357601002e-15,1.1102230246251565e-16,0.0,-2.220446049250313e-14,3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0
66,-2.3314683517128287e-15,0.0,-1.7763568394002505e-14,1.1102230246251565e-16,0.0,6.217248937900877e-15,0.0,-3.552713678800501e-15,0.0,0.0
67,-2.3314683517128287e-15,0.0,-1.0658141036401503e-14,1.1102230246251565e-16,0.0,6.217248937900877e-15,0.0,-3.552713678800501e-15,0.0,0.0
68,-2.3314683517128287e-15,-3.552713678800501e-15,0.0,1.1102230246251565e-16,0.0,3.4638958368304884e-14,0.0,-3.552713678800501e-15,0.0,0.0
