,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,1.2474,28.060319878749688,31.898783681782813,-0.0,0.8999999999999999,-0.0,0.47813290766064537,-0.0,60.0,62.16759967337594,-0.0,-0.0,3.5999999999999996,9.0,131.29491844026296,-0.0,-0.0,48.60508155973703,58.72108398483303,-0.0,22.474718056308657,-0.0,-0.0,-0.0,-0.0,28.378352581259172,-0.0,-0.0,22.629321917435192,3.6706780825648084
1,-0.0,1.2562,28.060319878749688,32.557107547635745,-0.0,0.8999999999999999,-0.0,0.4833019120677875,-0.0,60.0,62.49769312296908,-0.0,-0.0,2.6999999999999993,9.0,120.29491844026298,-0.0,-0.0,48.60508155973703,0.6969293624321615,-0.0,22.474718056308657,-0.0,119.85000000000001,-0.0,-0.0,27.378352581259172,-0.0,-0.0,21.02932191743519,3.6706780825648084
2,-0.0,1.2298000000000002,28.060319878749688,32.317717050961946,-0.0,0.8999999999999999,-0.0,0.47813290766064537,-0.0,60.0,62.27763082324032,-0.0,-0.0,2.5999999999999996,9.0,116.29491844026298,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,-0.0,118.65,-0.0,-0.0,25.37528194369133,-0.0,-0.0,20.429321917435193,3.6706780825648084
3,-0.0,1.2188,28.060319878749688,31.599545560940573,-0.0,0.8999999999999999,-0.0,0.4726767366291622,-0.0,60.0,62.057568523511556,-0.0,-0.0,2.5,9.0,113.99491844026296,-0.0,-0.0,48.60508155973703,54.22108398483303,-0.0,22.474718056308657,-0.0,64.32584537759914,-0.0,-0.0,26.678352581259176,-0.0,-0.0,19.629321917435192,3.6706780825648084
4,-0.0,1.2518,28.060319878749688,31.120764567592985,-0.0,0.8999999999999999,-0.0,0.47411257061236783,-0.0,60.0,61.8375062237828,-0.0,-0.0,2.4000000000000004,9.0,111.89491844026297,-0.0,-0.0,48.60508155973703,52.821083984833024,-0.0,22.474718056308657,-0.0,-0.0,-0.0,-0.0,26.478352581259173,-0.0,-0.0,19.72932191743519,3.6706780825648084
5,-0.0,1.276,28.060319878749688,31.060916943424537,-0.0,0.8999999999999999,-0.0,0.47210240251897956,-0.0,60.0,59.9669766760883,-0.0,-0.0,2.0999999999999996,9.0,111.89491844026297,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,-0.0,115.8,-0.0,-0.0,26.62528194369135,-0.0,-0.0,19.82932191743519,3.6706780825648084
6,-0.0,1.2672,28.060319878749688,31.00106931925609,0.30141080199422277,0.8999999999999999,0.004866102962773911,0.4646360625326073,-0.0,60.0,57.65632252893627,3.6363371484336513,-0.0,1.8000000000000007,9.0,106.89491844026297,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,5.7,115.95,-0.0,-0.0,5.121647418740826,-0.0,-0.0,18.929321917435193,3.6706780825648084
7,-0.0,-0.0,28.060319878749688,4.461640336783816,53.92122440891258,0.8999999999999999,0.05541477879583517,0.45458522120416484,-0.0,60.0,56.00585528097054,77.07040353796089,-0.0,2.0,9.0,109.89491844026297,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,86.07,46.53363452495052,-0.0,4.246102352719575,1.0755450660212507,-0.0,5.84076007482672,13.28856184260847,3.6706780825648084
8,0.5745,-0.0,28.060319878749688,-0.0,106.6951801212503,0.8999999999999999,0.14603995509596124,0.44396004490403884,-0.0,60.0,-0.0,406.0576482417577,-0.0,2.9000000000000004,9.0,-0.0,119.39491844026297,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,23.753634524950513,118.05000000000001,-0.0,6.221647418740828,-0.0,-0.0,15.760781154294326,5.068540763140865,3.6706780825648084
9,0.8145,-0.0,28.060319878749688,-0.0,49.663850753611136,0.8999999999999999,0.7100000000000002,-0.0,-0.0,60.0,53.1450453844966,84.8549546155034,-0.0,3.5999999999999996,9.0,-0.0,129.694918440263,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,151.0036345249505,-0.0,-0.0,-0.0,7.421647418740827,-0.0,22.32932191743519,-0.0,3.6706780825648084
10,0.972,-0.0,28.060319878749688,-0.0,122.13489593553089,0.8999999999999999,2.8374198547102,-0.0,-0.0,60.0,-0.0,465.7,-0.0,4.199999999999999,9.0,138.49491844026295,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,43.60363452495052,116.7,-0.0,-0.0,8.321647418740826,-0.0,-0.0,23.72932191743519,3.6706780825648084
11,1.0545,1.0076,28.060319878749688,22.44285906316802,22.974721058082295,0.8999999999999999,0.4776461995798128,0.35235380042018727,-0.0,60.0,-0.0,155.4,-0.0,4.800000000000001,9.0,145.194918440263,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,163.90363452495052,-0.0,-0.0,9.221647418740828,-0.0,-0.0,24.32932191743519,-0.0,3.6706780825648084
12,1.0739999999999998,0.9394,28.060319878749688,20.707277962283023,25.279002158967295,0.8999999999999999,0.5357885571947535,0.3242114428052466,-0.0,60.0,39.17108935172006,117.92891064827992,-0.0,4.5,9.0,146.49491844026295,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,58.953634524950516,109.05,-0.0,-0.0,9.221647418740828,-0.0,24.72932191743519,-0.0,3.6706780825648084
13,-0.0,-0.0,28.060319878749688,-0.0,114.71968012125032,0.8999999999999999,2.76799536789715,0.2986535882553778,-0.0,60.0,-0.0,462.4,-0.0,3.9000000000000004,9.0,137.59491844026297,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,255.0036345249505,104.1,-0.0,-0.0,8.021647418740825,-0.0,-0.0,22.929321917435193,3.6706780825648084
14,0.8474999999999999,0.7348000000000001,28.060319878749688,17.894439626365966,44.17842511933043,0.8999999999999999,0.6500000000000001,-0.0,-0.0,60.0,-0.0,451.4,-0.0,3.0999999999999996,9.0,-0.0,126.39491844026297,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,249.40363452495052,99.0,-0.0,7.021647418740825,-0.0,-0.0,21.82932191743519,-0.0,3.6706780825648084
15,0.54,0.6622,28.060319878749688,16.517944270491665,19.97953585075865,0.8999999999999999,1.8491191258540862,-0.0,-0.0,60.0,-0.0,124.5,-0.0,2.5999999999999996,9.0,119.79491844026298,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,181.83,94.35,-0.0,-0.0,6.421647418740827,-0.0,-0.0,21.129321917435192,3.6706780825648084
16,0.2355,0.6204,28.060319878749688,-0.0,56.75918358832904,0.8999999999999999,0.33442144847080657,0.2555785515291935,-0.0,60.0,-0.0,125.1,-0.0,2.9000000000000004,9.0,43.03077199786871,75.86414644239426,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,78.09,90.89999999999999,-0.0,6.221647418740828,-0.0,-0.0,-0.0,20.72932191743519,3.6706780825648084
17,0.024,0.6336,28.060319878749688,15.859620404638735,3.547448974270565,0.8999999999999999,0.05352713259051302,0.2604603884504939,-0.0,60.0,38.951027051991296,14.545348593734605,-0.0,2.9000000000000004,9.0,118.15929613311368,5.635622307149288,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,4.5600000000000005,89.85,-0.0,0.793227912046514,5.928419506694314,-0.0,1.2979466832948268,19.631375234140364,3.6706780825648084
18,-0.0,0.6886000000000001,28.060319878749688,16.577791894660113,-0.0,0.8999999999999999,-0.0,0.2742444002028729,-0.0,60.0,40.1613697004995,-0.0,-0.0,5.0,9.0,239.2,-0.0,-0.0,48.60508155973703,62.92108398483303,-0.0,22.474718056308657,-0.0,88.42584537759913,-0.0,-0.0,30.378352581259172,-0.0,-0.0,25.52932191743519,3.6706780825648084
19,-0.0,0.7524000000000001,28.060319878749688,17.77474437802907,-0.0,0.8999999999999999,-0.0,0.292623083113712,-0.0,60.0,41.811836948465235,-0.0,-0.0,5.5,9.0,156.99491844026295,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,-0.0,-0.0,-0.0,-0.0,30.978352581259173,-0.0,-0.0,26.52932191743519,3.6706780825648084
20,-0.0,0.8140000000000001,28.060319878749688,19.151239733903378,-0.0,0.8999999999999999,-0.0,0.31416060147680414,-0.0,60.0,44.452584545210414,-0.0,-0.0,5.5,9.0,156.09491844026297,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,-0.0,98.85000000000001,-0.0,-0.0,10.221647418740828,-0.0,-0.0,26.02932191743519,3.6706780825648084
21,-0.0,0.8778000000000001,28.060319878749688,20.467887465609234,-0.0,0.8999999999999999,-0.0,0.33541095235405455,-0.0,60.0,46.9833009920912,-0.0,-0.0,5.0,9.0,151.29491844026296,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,-0.0,72.71735662976576,-0.0,-0.0,30.078352581259175,-0.0,-0.0,25.52932191743519,3.6706780825648084
22,-0.0,0.935,28.060319878749688,21.84438282148354,-0.0,0.8999999999999999,-0.0,0.3540768018892346,-0.0,60.0,48.743799389921314,-0.0,-0.0,4.800000000000001,9.0,147.79491844026296,-0.0,-0.0,48.60508155973703,50.646929362432175,-0.0,22.474718056308657,-0.0,94.8,-0.0,-0.0,30.27835258125917,-0.0,-0.0,25.129321917435192,3.6706780825648084
23,-0.0,0.9614,28.060319878749688,22.68224955984181,-0.0,0.8999999999999999,-0.0,0.3664249787969072,-0.0,60.0,50.61432893761582,-0.0,-0.0,3.9000000000000004,9.0,157.15671802860987,-0.0,-0.0,48.60508155973703,59.321083984833024,-0.0,22.474718056308657,-0.0,77.52584537759914,-0.0,-0.0,28.878352581259172,-0.0,-0.0,23.429321917435193,3.6706780825648084
24,-0.0,0.9460000000000001,28.060319878749688,22.98148768068405,-0.0,0.8999999999999999,-0.0,0.3687223143761373,-0.0,60.0,51.71464043625963,-0.0,-0.0,3.1999999999999993,9.0,123.39491844026297,-0.0,-0.0,48.60508155973703,37.44692936243217,-0.0,22.474718056308657,-0.0,86.39999999999999,-0.0,-0.0,27.378352581259172,-0.0,-0.0,21.22932191743519,3.6706780825648084
25,-0.0,0.8954,28.060319878749688,22.622401935673363,-0.0,0.8999999999999999,-0.0,0.36068164114108314,-0.0,60.0,51.82467158612401,-0.0,-0.0,2.5,9.0,115.09491844026296,-0.0,-0.0,48.60508155973703,53.62108398483302,-0.0,22.474718056308657,-0.0,64.12584537759913,-0.0,-0.0,26.77835258125917,-0.0,-0.0,20.02932191743519,3.6706780825648084
26,-0.0,0.8360000000000001,28.060319878749688,21.78453519731509,-0.0,0.8999999999999999,-0.0,0.34689762938870417,-0.0,60.0,51.05445353707334,-0.0,-0.0,2.3000000000000007,9.0,111.19491844026298,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,-0.0,76.5,-0.0,-0.0,26.178352581259176,-0.0,-0.0,19.22932191743519,3.6706780825648084
27,-0.0,0.7766000000000001,28.060319878749688,20.587582713946126,-0.0,0.8999999999999999,-0.0,0.32995478132257144,-0.0,60.0,49.73407973870076,-0.0,-0.0,1.9000000000000004,9.0,109.69491844026298,-0.0,-0.0,48.60508155973703,40.846929362432164,-0.0,22.474718056308657,-0.0,73.2,-0.0,-0.0,26.278352581259174,-0.0,-0.0,19.129321917435192,3.6706780825648084
28,-0.0,0.7326000000000001,28.060319878749688,19.63002072725096,-0.0,0.8999999999999999,-0.0,0.3158836029458515,-0.0,60.0,48.30367479046379,-0.0,-0.0,2.3000000000000007,9.0,111.29491844026298,-0.0,-0.0,48.60508155973703,52.42108398483302,-0.0,22.474718056308657,-0.0,70.95,-0.0,-0.0,5.521647418740827,-0.0,-0.0,19.82932191743519,3.6706780825648084
29,-0.0,0.6754,28.060319878749688,18.3133729955451,-0.0,0.8999999999999999,-0.0,0.29348458384823567,-0.0,60.0,45.002740294532316,-0.0,-0.0,2.6999999999999993,9.0,120.69491844026298,-0.0,-0.0,48.60508155973703,55.42108398483302,-0.0,22.474718056308657,-0.0,-0.0,-0.0,-0.0,27.478352581259173,-0.0,-0.0,20.72932191743519,3.6706780825648084
30,-0.0,0.627,28.060319878749688,17.47550625718683,0.7094897948541129,0.8999999999999999,0.004866102962773911,0.2753930684232383,-0.0,60.0,42.031899248194,3.6363371484336513,-0.0,3.5,9.0,128.694918440263,-0.0,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,11.97,62.699999999999996,-0.0,-0.0,7.221647418740828,-0.0,-0.0,21.82932191743519,3.6706780825648084
31,0.2415,0.6094,28.060319878749688,9.758936259940313,57.11392848575609,0.8999999999999999,0.656923899974478,0.2693625632815725,-0.0,60.0,40.49146315009265,112.50853684990736,-0.0,4.699999999999999,9.0,58.02548975060114,88.86942868966185,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,108.55363452495052,57.75,-0.0,9.221647418740828,-0.0,-0.0,-0.0,24.629321917435192,3.6706780825648084
32,-0.0,0.6028000000000001,28.060319878749688,-0.0,120.5467246555812,0.8999999999999999,1.7274665517847383,0.2710855647506199,-0.0,60.0,40.711525449821416,140.38847455017859,-0.0,6.1,9.0,-0.0,169.39491844026298,-0.0,48.60508155973703,-0.0,-0.0,22.474718056308657,132.50363452495054,53.699999999999996,-0.0,-0.0,11.421647418740827,-0.0,-0.0,27.82932191743519,3.6706780825648084
33,0.81,-0.0,28.060319878749688,-0.0,76.0628647456964,0.8999999999999999,2.5984989821212685,0.26763956181252513,-0.0,60.0,-0.0,509.0,-0.0,6.6,9.200000000000001,164.0,16.794918440262975,-0.0,48.60508155973703,-0.0,2.6294799025496616,22.474718056308657,195.27415462240086,-0.0,-0.0,-0.0,12.721647418740828,-0.0,29.72932191743519,-0.0,3.6706780825648084
34,-0.0,0.49500000000000005,28.060319878749688,-0.0,146.5128647456964,0.8999999999999999,0.9321749550815198,0.24782504491848037,-0.0,60.0,38.62093360239815,207.17888446129314,-0.0,6.6,9.6,-0.0,184.194918440263,-0.0,48.60508155973703,4.829479902549664,-0.0,22.474718056308657,198.57415462240087,-0.0,-0.0,12.621647418740826,-0.0,-0.0,30.32932191743519,-0.0,3.6706780825648084
35,1.041,0.4312,28.060319878749688,15.560382283796493,48.25709783745383,0.8999999999999999,3.4549331035694766,-0.0,-0.0,60.0,-0.0,523.2,-0.0,6.6,10.1,-0.0,189.79491844026296,-0.0,48.60508155973703,4.829479902549664,-0.0,22.474718056308657,242.2792128196532,-0.0,-0.0,-0.0,13.221647418740828,-0.0,30.72932191743519,-0.0,3.6706780825648084
