,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,MSR Electrolyzer,MSR Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,SVG Electrolyzer,SVG Fuel Cell
0,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,-72.38290336446394,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,-0.05700679232028705,0.0,-92.41611268175676,-84.83980221217926,0.0,0.0,-4.052749548803301,0.0
1,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,-72.38290336446394,-14.085110716341495,-7.5646598461591505,-20.351481534034555,-23.72315972751987,-0.24995621849632185,0.0,-92.41611268175676,-84.83980221217926,0.0,0.0,-4.625305036950214,0.0
2,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,-20.482773277153818,-23.72315972751987,-0.24995621849632185,0.0,-92.41611268175676,-84.83980221217926,0.0,0.0,-4.522971501390952,0.0
3,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-11.2100571763394,-7.5646598461591505,-3.2284513761467877,0.0,-0.24995621849632185,0.0,0.0,-6.011901424393784,0.0,0.0,-4.393119469782722,0.0
4,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-9.563285072697333,-7.5646598461591505,-4.345317431192661,0.0,-0.24995621849632185,0.0,0.0,-2.5561603111850673,-3.6327062552353486,0.0,0.0,0.0
5,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,-50.24594537435178,0.0,-7.5646598461591505,-3.5603412844036653,0.0,0.0,0.0,0.0,-5.719556242005382,0.0,0.0,0.0,0.0
6,-33.16707745648546,-27.574373837448444,-24.667130157489943,-42.45700669419013,0.0,-48.67199224380242,-11.311627631281302,-7.5646598461591505,-20.69765222302414,-23.72315972751987,0.0,0.0,0.0,-5.149196845657428,0.0,0.0,-1.6391500522194953,0.0
7,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,-72.38290336446394,-2.1127409076407138,-7.5646598461591505,-36.26639001389794,-23.72315972751987,-0.19135532190427185,0.0,-30.16350529638802,0.0,-3.952376384056151,0.0,-3.1290935379767926,0.0
8,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,0.0,-77.72883283615067,0.0,-4.0124594411738945,0.0,0.0,0.0
9,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,0.0,-0.24995621849632185,0.0,-57.9319451756752,0.0,-1.708775718142647,0.0,-6.798039383353126,0.0
10,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,-0.11705357570063413,0.0,-92.41611268175676,-84.83980221217926,-4.0124594411738945,0.0,-6.798039383353126,0.0
11,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-1.6740254165019623,-0.24995621849632185,0.0,-92.41611268175676,0.0,-4.0124594411738945,0.0,-6.798039383353126,0.0
12,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,0.0,-0.24995621849632185,0.0,-92.41611268175676,0.0,-4.0124594411738945,0.0,-6.798039383353126,0.0
13,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-4.292095902502503,-36.26639001389794,0.0,-0.24995621849632185,0.0,-92.41611268175676,0.0,-2.6950125841257204,0.0,-6.798039383353126,0.0
14,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,0.0,-0.12992753280806468,0.0,-92.41611268175676,-84.83980221217926,-4.0124594411738945,0.0,0.0,0.0
15,-44.07151403230614,-27.574373837448444,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-3.095945857560551,-0.24995621849632185,0.0,-92.41611268175676,-84.83980221217926,-4.0124594411738945,0.0,-5.588182243581135,0.0
16,-44.07151403230614,-27.574373837448444,-42.38149364626204,-42.45700669419013,-34.35562734115592,0.0,-14.085110716341495,-7.5646598461591505,-33.41540382569765,-23.72315972751987,-0.036694786995624895,0.0,-81.73510649218625,-84.83980221217926,-0.7720448258199895,0.0,-6.307177391165353,0.0
17,-44.07151403230614,-27.574373837448444,-2.824085063178578,-42.45700669419013,0.0,-72.38290336446394,-14.085110716341495,-7.5646598461591505,0.0,-0.3222171612163867,0.0,-0.23977226321027328,-34.090141018939796,-84.83980221217926,0.0,-4.260023073530308,0.0,0.0
18,-44.07151403230614,-27.574373837448444,-64.0106153251385,-42.45700669419013,0.0,-72.38290336446394,-8.592030426407142,-7.5646598461591505,0.0,-8.715302752293589,0.0,-0.23977226321027328,0.0,-63.777802383531736,0.0,-4.260023073530308,0.0,0.0
19,-44.07151403230614,-27.574373837448444,0.0,-42.45700669419013,0.0,0.0,-8.021628133555804,-7.5646598461591505,0.0,-9.942165137614687,0.0,-0.23977226321027328,0.0,-30.765885609126542,0.0,-4.260023073530308,0.0,0.0
20,-30.01156061932119,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,-17.326531334775982,-84.83980221217926,0.0,0.0,-1.0645081901500049,0.0
21,-1.5683789469970655,-27.574373837448444,0.0,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,-22.90090848635019,-84.83980221217926,0.0,-4.260023073530308,-1.7157489421255205,0.0
22,-3.260827183833358,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,-25.983587672514247,-84.83980221217926,0.0,-4.260023073530308,-1.32085991841935,0.0
23,-6.2540565453858905,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,0.0,-33.66541787597324,-84.83980221217926,0.0,-4.260023073530308,-3.0988694167969704,0.0
24,-8.644067031654645,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,0.0,-0.6939082568807322,0.0,-0.23977226321027328,-92.41611268175676,-84.83980221217926,0.0,-3.0916663915661275,-2.649915103227375,0.0
25,-9.357254448132137,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,0.0,-1.0446605504587225,0.0,-0.16289482414553474,-43.02130520049667,-84.83980221217926,0.0,0.0,-6.798039383353126,0.0
26,-9.717025086579609,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-10.777269787021757,-7.5646598461591505,0.0,-2.625761467889909,0.0,0.0,0.0,0.0,0.0,0.0,-6.798039383353126,0.0
27,-8.899983141504569,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,0.0,-7.078564776592486,0.0,-4.055119266055051,0.0,0.0,0.0,0.0,0.0,0.0,-6.798039383353126,0.0
28,-8.165149585444537,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,-68.29462388869806,-11.048457558481292,-7.5646598461591505,0.0,-4.602385321100925,0.0,0.0,0.0,-3.142433785242702,0.0,-4.260023073530308,-0.8073026102391023,0.0
29,-5.231503445861995,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,0.0,-7.5646598461591505,0.0,-9.492440366972481,0.0,0.0,0.0,-24.122722460567132,0.0,0.0,0.0,0.0
30,-3.7353322441982786,-27.574373837448444,0.0,-42.45700669419013,0.0,0.0,-9.693474676136967,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,-14.672834764478576,-84.83980221217926,0.0,0.0,0.0,0.0
31,-17.399258052612602,-27.574373837448444,-40.254180720363564,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,0.0,0.0,0.0,0.0,-92.41611268175676,-84.83980221217926,0.0,0.0,-1.223942085111917,0.0
32,-35.68145044176975,-27.574373837448444,-72.94130018013803,-42.45700669419013,0.0,0.0,-14.085110716341495,-7.5646598461591505,0.0,0.0,0.0,0.0,-92.41611268175676,-84.83980221217926,0.0,0.0,-4.02565811406979,0.0
33,0.0,-15.432100520512693,-72.94130018013803,-42.45700669419013,-74.07244646871948,0.0,-14.085110716341495,-6.998154520746901,-32.35100344746968,0.0,0.0,0.0,-68.92404541199936,0.0,0.0,0.0,-5.986233174967775,0.0
34,0.0,0.0,-72.94130018013803,-42.45700669419013,-68.17889625255702,0.0,-0.07674217912074255,0.0,-36.26639001389794,-23.72315972751987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,-72.94130018013803,-42.45700669419013,0.0,0.0,-11.142346139060606,0.0,-36.26639001389794,-23.72315972751987,0.0,0.0,-92.41611268175676,0.0,0.0,0.0,-6.798039383353126,0.0
36,-4.121782043959598,0.0,-72.94130018013803,-42.45700669419013,-2.4133130357854498,0.0,0.0,0.0,-36.26639001389794,-23.72315972751987,0.0,0.0,-89.4565794052653,0.0,0.0,0.0,0.0,0.0
37,-5.639528928325095,0.0,-72.94130018013803,-42.45700669419013,0.0,0.0,-9.43899035273003,0.0,-36.26639001389794,-23.72315972751987,0.0,0.0,-67.84205779560804,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,-72.94130018013803,-42.45700669419013,0.0,0.0,-13.35476782003649,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,0.0,-38.07701731008351,0.0,0.0,0.0,-0.8841567442731587,0.0
39,0.0,0.0,-72.94130018013803,-42.45700669419013,-1.043073237758108,0.0,0.0,0.0,0.0,0.0,0.0,-0.18540086380737292,0.0,0.0,0.0,0.0,0.0,-3.494121438533769
40,0.0,-5.856786583370816,-11.589459211381609,-42.45700669419013,0.0,-72.38290336446394,-14.085110716341495,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,0.0,-52.27489501269547,0.0,-4.260023073530308,0.0,-5.277400947069378
41,0.0,0.0,0.0,-42.45700669419013,0.0,-72.38290336446394,-3.2778034464488375,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,0.0,-84.83980221217926,0.0,-4.260023073530308,0.0,-5.277400947069378
42,0.0,0.0,0.0,-42.45700669419013,0.0,-72.38290336446394,-10.293908946684445,-7.5646598461591505,-30.894620548764866,-23.72315972751987,0.0,-0.23977226321027328,0.0,-84.83980221217926,0.0,-4.260023073530308,0.0,-5.277400947069378
43,0.0,0.0,0.0,-42.45700669419013,0.0,-72.38290336446394,0.0,-7.5646598461591505,-31.67156053149803,-23.72315972751987,0.0,-0.23977226321027328,0.0,-84.83980221217926,0.0,-4.260023073530308,0.0,-5.277400947069378
44,0.0,0.0,0.0,-42.45700669419013,0.0,-39.94248246917878,0.0,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,0.0,-84.83980221217926,0.0,-4.260023073530308,0.0,-5.277400947069378
45,0.0,0.0,0.0,-42.45700669419013,0.0,0.0,0.0,-7.5646598461591505,0.0,-23.72315972751987,0.0,-0.23977226321027328,0.0,-28.46049402893791,0.0,-4.260023073530308,0.0,-5.277400947069378
46,0.0,0.0,0.0,-42.45700669419013,0.0,0.0,0.0,-7.5646598461591505,0.0,-23.72315972751987,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
47,0.0,0.0,0.0,-42.45700669419013,0.0,0.0,0.0,-7.5646598461591505,0.0,-23.72315972751987,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-0.5830239131853592
48,0.0,0.0,0.0,-42.45700669419013,0.0,0.0,0.0,-5.034105201862735,0.0,-14.612844036697247,0.0,-0.23977226321027328,0.0,-80.97207831359117,0.0,-4.260023073530308,0.0,-5.277400947069378
49,0.0,0.0,0.0,-42.45700669419013,0.0,-72.38290336446394,0.0,-3.525539232461153,0.0,-19.85166972477064,0.0,-0.23977226321027328,0.0,-74.16143109661297,0.0,-4.260023073530308,0.0,-5.277400947069378
50,0.0,0.0,0.0,-41.186444039565586,0.0,0.0,0.0,-1.9221319517950177,0.0,-20.015853211009176,0.0,-0.23977226321027328,0.0,-74.34546027114563,0.0,-4.260023073530308,0.0,-5.277400947069378
