,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,LCA wind,LCA solar pv,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
5797,11.047011714672127,4.746586064694995,23.30640222063288,62.17992920855612,58.61094839739914,1.2350398425489624,0.6961492095251343,0.3788109479259034,-0.0,30.0,91.02508361323669,207.28584056106868,-0.0,6.6,11.299999999999999,79.36734433576001,233.96721681020625,-0.0,18.900550458715593,86.10140015198422,272.55076329528174,51.150000000000006,-0.0,15.04794024685454,5.310187993878603,8.0,21.53177435902578,20.596778457555416,8.730686231253614
5798,8.771232477314777,6.031908943620932,22.536858579064294,60.00697469320335,45.73147247567768,1.316693284705999,0.5420202332465067,0.4012864820474942,-0.0,30.0,91.37317188709227,167.90896045448574,-0.0,6.6,11.200000000000001,85.86360383655175,200.021080442654,-0.0,18.81908256880734,71.38465788632091,212.27015969311165,58.35,-0.0,12.739790049627846,4.794341160187539,8.0,18.394175181025663,19.246802341423507,8.730686231253614
5799,6.1635687678428175,7.1249394233374765,23.587803840773333,51.90018284746418,32.10536026863902,1.3787710696997135,0.3853224406965688,0.41590648960371795,-0.0,30.0,101.11964355504877,111.44400030164981,-0.0,6.6,10.700000000000001,101.11569136014975,154.06323428350635,-0.0,20.774311926605503,51.5931769083599,143.7460547436363,69.15,-0.0,8.962816999620532,4.672965434613171,8.0,13.256356527050478,16.778274586210873,8.730686231253614
5800,3.9352015979304142,7.0540948552077,23.587803840773333,42.87406409138345,18.665907132929664,1.459751812542528,0.23119346441794125,0.4010682731944431,-0.0,30.0,109.29971799065513,50.52128013674792,-0.0,6.6,10.000000000000002,121.45180805828043,86.69320980021035,-0.0,24.603302752293573,28.080220874713916,69.03932378368195,80.25,-0.0,4.766180277390183,4.976404748549092,8.0,7.647897996375275,14.27117608482304,12.380925918801683
5801,1.327537888458453,5.697927408151987,23.587803840773333,41.286135791702584,5.599772139878899,1.459751812542528,0.06678922305407192,0.3698643757860264,-0.0,30.0,111.04015935993309,11.88736003217598,-0.0,6.6,9.500000000000002,141.50547869115928,21.934426575956838,-0.0,29.409908256880733,6.766318283063594,12.880470855164544,90.0,-0.0,1.258991016669105,5.795690896176076,8.0,2.2355394143250806,11.60979459873442,13.096029346880421
5802,-0.0,4.311398003326371,23.587803840773333,44.12769169639466,-0.0,1.459751812542528,-0.0,0.34477033280931335,-0.0,30.0,108.95162971679954,-0.0,-0.0,6.6,10.4,161.55914932403815,-0.0,-0.0,35.68293577981651,-0.0,-0.0,99.45,-0.0,-0.0,7.2218556716749,8.0,-0.0,8.63984714324422,13.096029346880421
5803,-0.0,4.098864298937043,23.587803840773333,46.63494690641709,-0.0,1.459751812542528,-0.0,0.3417154055934616,-0.0,30.0,104.94861456746025,-0.0,-0.0,6.6,10.799999999999999,179.07080536965069,-0.0,-0.0,43.58532110091743,-0.0,-0.0,108.0,-0.0,-0.0,9.740401977343039,8.0,-0.0,5.978465657155598,13.096029346880421
5804,-0.0,4.6959828017451555,23.587803840773333,47.63784899042605,-0.0,1.459751812542528,-0.0,0.3567718315104149,-0.0,30.0,104.60052629360467,-0.0,-0.0,6.6,10.200000000000001,193.19310863224143,-0.0,-0.0,50.998899082568805,-0.0,-0.0,113.85,-0.0,-0.0,12.683763322521463,8.0,-0.0,4.127069840746122,13.096029346880421
5805,-0.0,5.363945872683044,23.587803840773333,49.22577729010692,-0.0,1.459751812542528,-0.0,0.37771990235139336,-0.0,30.0,106.51501179981041,-0.0,-0.0,6.6,9.500000000000002,202.5138287855513,-0.0,-0.0,56.620183486238524,-0.0,-0.0,116.4,-0.0,-0.0,15.960907913029402,7.039092086970598,-0.0,3.1628011863661873,13.096029346880421
5806,-0.0,5.9307024177212515,23.587803840773333,51.39873180545969,-0.0,1.459751812542528,-0.0,0.399977227619933,-0.0,30.0,109.99589453836631,-0.0,-0.0,6.4,9.0,204.49095124231403,-0.0,-0.0,59.14568807339449,-0.0,-0.0,116.10000000000001,-0.0,-0.0,18.81323746402705,3.48676253597295,-0.0,2.777093724614213,13.096029346880421
5807,-0.0,6.507579615349428,23.587803840773333,54.32386288381919,-0.0,1.4453651471094564,-0.0,0.4246348528905438,-0.0,30.0,113.65082141385001,-0.0,-0.0,5.6,9.0,208.44519615583974,-0.0,-0.0,60.77504587155963,-0.0,-0.0,114.45,-0.0,-0.0,21.149720181333635,-0.0,-0.0,2.777093724614213,13.096029346880421
5808,-0.0,7.084456812977604,21.6755431870224,57.3325691358461,-0.0,1.3098346857720136,-0.0,0.4501653142279864,-0.0,30.0,117.82788070011708,-0.0,-0.0,4.699999999999999,9.0,213.24677926530188,-0.0,-0.0,61.752660550458714,-0.0,-0.0,113.25,-0.0,-0.0,22.454509231258093,-0.0,-0.0,3.3170841710669765,13.096029346880421
5809,-0.0,7.560127484706101,20.339872515293898,58.669771914524716,-0.0,1.193032587721397,-0.0,0.46696741227860306,-0.0,30.0,120.2644986171062,-0.0,-0.0,4.199999999999999,9.0,214.94145565663118,-0.0,-0.0,62.32293577981651,-0.0,-0.0,111.3,-0.0,-0.0,22.940012133555566,-0.0,-0.0,4.242782079271715,13.096029346880421
5810,-0.0,7.8839883675850775,19.646011632414925,59.08764778286179,-0.0,1.1634313883677394,-0.0,0.4765686116322606,-0.0,30.0,121.48280757560076,-0.0,-0.0,3.6999999999999993,9.0,215.223901721883,-0.0,-0.0,62.16,-0.0,-0.0,109.95,-0.0,-0.0,23.00069999634275,-0.0,-0.0,5.2456214798268475,13.096029346880421
5811,-0.0,8.005436198664693,19.074563801335305,59.171222956529206,-0.0,1.1614675067263975,-0.0,0.4785324932736023,-0.0,30.0,120.78663102788958,-0.0,-0.0,3.6999999999999993,9.0,214.65900959137937,-0.0,-0.0,61.752660550458714,-0.0,-0.0,110.1,-0.0,-0.0,23.182763584704304,-0.0,-0.0,6.595597595958757,13.096029346880421
