,SKN diesel,SKN geothermal,ATG diesel,MSR diesel,GLP diesel,GLP coal,GLP hydro,GLP geothermal,GLP biomass,DMA diesel,MTQ diesel,MTQ biomass,MTQ geothermal,LCA diesel,LCA geothermal,BRB diesel,BRB biomass,SVG diesel,SVG geothermal,SVG hydro,GRD diesel,GRD geothermal,GRD hydro
0,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
1,220.0,-0.0,-0.0,220.0,230.0,90.0,-0.0,10.0,130.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
2,220.0,-0.0,-0.0,220.0,230.0,90.0,-0.0,10.0,130.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
3,220.0,-0.0,-0.0,220.0,230.0,90.0,-0.0,10.0,130.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
4,220.0,-0.0,-0.0,220.0,230.0,90.0,-0.0,10.0,130.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
5,220.0,-0.0,-0.0,220.0,230.0,90.0,-0.0,10.0,130.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
6,220.0,-0.0,-0.0,220.0,230.0,90.0,-0.0,10.0,130.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
7,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,220.0,120.0,-0.0,240.0,20.0,100.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
8,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
9,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
10,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
11,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
12,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
13,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
14,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
15,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
16,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,240.0,20.0,10.0,240.0,20.0,10.0
17,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
18,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
19,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
20,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
21,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
22,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
23,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,100.0,-0.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
24,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
25,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
26,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
27,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
28,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,240.0,20.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
29,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
30,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
31,220.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,230.0,10.0,-0.0,240.0,20.0,10.0
32,220.0,-0.0,-0.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,220.0,-0.0,240.0,140.0,230.0,10.0,-0.0,240.0,20.0,10.0
33,220.0,-0.0,240.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,220.0,-0.0,240.0,140.0,230.0,10.0,-0.0,220.0,-0.0,-0.0
34,220.0,-0.0,240.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,220.0,-0.0,240.0,140.0,230.0,10.0,-0.0,220.0,-0.0,-0.0
35,220.0,-0.0,240.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,220.0,-0.0,240.0,140.0,230.0,10.0,-0.0,220.0,-0.0,-0.0
36,220.0,-0.0,240.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,220.0,-0.0,240.0,140.0,220.0,-0.0,-0.0,220.0,-0.0,-0.0
37,220.0,-0.0,240.0,220.0,220.0,80.0,-0.0,-0.0,120.0,220.0,220.0,120.0,-0.0,220.0,-0.0,240.0,140.0,220.0,-0.0,-0.0,220.0,-0.0,-0.0
38,-0.0,-0.0,-0.0,220.0,-0.0,-0.0,-0.0,-0.0,-0.0,220.0,100.0,-0.0,-0.0,-0.0,-0.0,240.0,140.0,220.0,-0.0,-0.0,220.0,-0.0,-0.0
