,snapshot,objective,stores,generators
0,2018-01-01 00:00:00,1,1,1
1,2018-01-01 01:00:00,1,1,1
2,2018-01-01 02:00:00,1,1,1
3,2018-01-01 03:00:00,1,1,1
4,2018-01-01 04:00:00,1,1,1
5,2018-01-01 05:00:00,1,1,1
6,2018-01-01 06:00:00,1,1,1
7,2018-01-01 07:00:00,1,1,1
8,2018-01-01 08:00:00,1,1,1
9,2018-01-01 09:00:00,1,1,1
10,2018-01-01 10:00:00,1,1,1
11,2018-01-01 11:00:00,1,1,1
12,2018-01-01 12:00:00,1,1,1
13,2018-01-01 13:00:00,1,1,1
14,2018-01-01 14:00:00,1,1,1
15,2018-01-01 15:00:00,1,1,1
16,2018-01-01 16:00:00,1,1,1
17,2018-01-01 17:00:00,1,1,1
18,2018-01-01 18:00:00,1,1,1
19,2018-01-01 19:00:00,1,1,1
20,2018-01-01 20:00:00,1,1,1
21,2018-01-01 21:00:00,1,1,1
22,2018-01-01 22:00:00,1,1,1
23,2018-01-01 23:00:00,1,1,1
24,2018-01-02 00:00:00,1,1,1
25,2018-01-02 01:00:00,1,1,1
26,2018-01-02 02:00:00,1,1,1
27,2018-01-02 03:00:00,1,1,1
28,2018-01-02 04:00:00,1,1,1
29,2018-01-02 05:00:00,1,1,1
30,2018-01-02 06:00:00,1,1,1
31,2018-01-02 07:00:00,1,1,1
32,2018-01-02 08:00:00,1,1,1
33,2018-01-02 09:00:00,1,1,1
34,2018-01-02 10:00:00,1,1,1
35,2018-01-02 11:00:00,1,1,1
36,2018-01-02 12:00:00,1,1,1
37,2018-01-02 13:00:00,1,1,1
38,2018-01-02 14:00:00,1,1,1
39,2018-01-02 15:00:00,1,1,1
40,2018-01-02 16:00:00,1,1,1
41,2018-01-02 17:00:00,1,1,1
42,2018-01-02 18:00:00,1,1,1
43,2018-01-02 19:00:00,1,1,1
44,2018-01-02 20:00:00,1,1,1
45,2018-01-02 21:00:00,1,1,1
46,2018-01-02 22:00:00,1,1,1
47,2018-01-02 23:00:00,1,1,1
48,2018-01-03 00:00:00,1,1,1
49,2018-01-03 01:00:00,1,1,1
50,2018-01-03 02:00:00,1,1,1
51,2018-01-03 03:00:00,1,1,1
52,2018-01-03 04:00:00,1,1,1
53,2018-01-03 05:00:00,1,1,1
54,2018-01-03 06:00:00,1,1,1
55,2018-01-03 07:00:00,1,1,1
56,2018-01-03 08:00:00,1,1,1
57,2018-01-03 09:00:00,1,1,1
58,2018-01-03 10:00:00,1,1,1
59,2018-01-03 11:00:00,1,1,1
60,2018-01-03 12:00:00,1,1,1
61,2018-01-03 13:00:00,1,1,1
62,2018-01-03 14:00:00,1,1,1
63,2018-01-03 15:00:00,1,1,1
64,2018-01-03 16:00:00,1,1,1
65,2018-01-03 17:00:00,1,1,1
66,2018-01-03 18:00:00,1,1,1
67,2018-01-03 19:00:00,1,1,1
68,2018-01-03 20:00:00,1,1,1
69,2018-01-03 21:00:00,1,1,1
70,2018-01-03 22:00:00,1,1,1
71,2018-01-03 23:00:00,1,1,1
72,2018-01-04 00:00:00,1,1,1
73,2018-01-04 01:00:00,1,1,1
74,2018-01-04 02:00:00,1,1,1
75,2018-01-04 03:00:00,1,1,1
76,2018-01-04 04:00:00,1,1,1
77,2018-01-04 05:00:00,1,1,1
78,2018-01-04 06:00:00,1,1,1
79,2018-01-04 07:00:00,1,1,1
80,2018-01-04 08:00:00,1,1,1
81,2018-01-04 09:00:00,1,1,1
82,2018-01-04 10:00:00,1,1,1
83,2018-01-04 11:00:00,1,1,1
84,2018-01-04 12:00:00,1,1,1
85,2018-01-04 13:00:00,1,1,1
86,2018-01-04 14:00:00,1,1,1
87,2018-01-04 15:00:00,1,1,1
88,2018-01-04 16:00:00,1,1,1
89,2018-01-04 17:00:00,1,1,1
90,2018-01-04 18:00:00,1,1,1
91,2018-01-04 19:00:00,1,1,1
92,2018-01-04 20:00:00,1,1,1
93,2018-01-04 21:00:00,1,1,1
94,2018-01-04 22:00:00,1,1,1
95,2018-01-04 23:00:00,1,1,1
96,2018-01-05 00:00:00,1,1,1
97,2018-01-05 01:00:00,1,1,1
98,2018-01-05 02:00:00,1,1,1
99,2018-01-05 03:00:00,1,1,1
100,2018-01-05 04:00:00,1,1,1
101,2018-01-05 05:00:00,1,1,1
102,2018-01-05 06:00:00,1,1,1
103,2018-01-05 07:00:00,1,1,1
104,2018-01-05 08:00:00,1,1,1
105,2018-01-05 09:00:00,1,1,1
106,2018-01-05 10:00:00,1,1,1
107,2018-01-05 11:00:00,1,1,1
108,2018-01-05 12:00:00,1,1,1
109,2018-01-05 13:00:00,1,1,1
110,2018-01-05 14:00:00,1,1,1
111,2018-01-05 15:00:00,1,1,1
112,2018-01-05 16:00:00,1,1,1
113,2018-01-05 17:00:00,1,1,1
114,2018-01-05 18:00:00,1,1,1
115,2018-01-05 19:00:00,1,1,1
116,2018-01-05 20:00:00,1,1,1
117,2018-01-05 21:00:00,1,1,1
118,2018-01-05 22:00:00,1,1,1
119,2018-01-05 23:00:00,1,1,1
120,2018-01-06 00:00:00,1,1,1
121,2018-01-06 01:00:00,1,1,1
122,2018-01-06 02:00:00,1,1,1
123,2018-01-06 03:00:00,1,1,1
124,2018-01-06 04:00:00,1,1,1
125,2018-01-06 05:00:00,1,1,1
126,2018-01-06 06:00:00,1,1,1
127,2018-01-06 07:00:00,1,1,1
128,2018-01-06 08:00:00,1,1,1
129,2018-01-06 09:00:00,1,1,1
130,2018-01-06 10:00:00,1,1,1
131,2018-01-06 11:00:00,1,1,1
132,2018-01-06 12:00:00,1,1,1
133,2018-01-06 13:00:00,1,1,1
134,2018-01-06 14:00:00,1,1,1
135,2018-01-06 15:00:00,1,1,1
136,2018-01-06 16:00:00,1,1,1
137,2018-01-06 17:00:00,1,1,1
138,2018-01-06 18:00:00,1,1,1
139,2018-01-06 19:00:00,1,1,1
140,2018-01-06 20:00:00,1,1,1
141,2018-01-06 21:00:00,1,1,1
142,2018-01-06 22:00:00,1,1,1
143,2018-01-06 23:00:00,1,1,1
144,2018-01-07 00:00:00,1,1,1
145,2018-01-07 01:00:00,1,1,1
146,2018-01-07 02:00:00,1,1,1
147,2018-01-07 03:00:00,1,1,1
148,2018-01-07 04:00:00,1,1,1
149,2018-01-07 05:00:00,1,1,1
150,2018-01-07 06:00:00,1,1,1
151,2018-01-07 07:00:00,1,1,1
152,2018-01-07 08:00:00,1,1,1
153,2018-01-07 09:00:00,1,1,1
154,2018-01-07 10:00:00,1,1,1
155,2018-01-07 11:00:00,1,1,1
156,2018-01-07 12:00:00,1,1,1
157,2018-01-07 13:00:00,1,1,1
158,2018-01-07 14:00:00,1,1,1
159,2018-01-07 15:00:00,1,1,1
160,2018-01-07 16:00:00,1,1,1
161,2018-01-07 17:00:00,1,1,1
162,2018-01-07 18:00:00,1,1,1
163,2018-01-07 19:00:00,1,1,1
164,2018-01-07 20:00:00,1,1,1
165,2018-01-07 21:00:00,1,1,1
166,2018-01-07 22:00:00,1,1,1
167,2018-01-07 23:00:00,1,1,1
168,2018-01-08 00:00:00,1,1,1
169,2018-01-08 01:00:00,1,1,1
170,2018-01-08 02:00:00,1,1,1
171,2018-01-08 03:00:00,1,1,1
172,2018-01-08 04:00:00,1,1,1
173,2018-01-08 05:00:00,1,1,1
174,2018-01-08 06:00:00,1,1,1
175,2018-01-08 07:00:00,1,1,1
176,2018-01-08 08:00:00,1,1,1
177,2018-01-08 09:00:00,1,1,1
178,2018-01-08 10:00:00,1,1,1
179,2018-01-08 11:00:00,1,1,1
180,2018-01-08 12:00:00,1,1,1
181,2018-01-08 13:00:00,1,1,1
182,2018-01-08 14:00:00,1,1,1
183,2018-01-08 15:00:00,1,1,1
184,2018-01-08 16:00:00,1,1,1
185,2018-01-08 17:00:00,1,1,1
186,2018-01-08 18:00:00,1,1,1
187,2018-01-08 19:00:00,1,1,1
188,2018-01-08 20:00:00,1,1,1
189,2018-01-08 21:00:00,1,1,1
190,2018-01-08 22:00:00,1,1,1
191,2018-01-08 23:00:00,1,1,1
192,2018-01-09 00:00:00,1,1,1
193,2018-01-09 01:00:00,1,1,1
194,2018-01-09 02:00:00,1,1,1
195,2018-01-09 03:00:00,1,1,1
196,2018-01-09 04:00:00,1,1,1
197,2018-01-09 05:00:00,1,1,1
198,2018-01-09 06:00:00,1,1,1
199,2018-01-09 07:00:00,1,1,1
200,2018-01-09 08:00:00,1,1,1
201,2018-01-09 09:00:00,1,1,1
202,2018-01-09 10:00:00,1,1,1
203,2018-01-09 11:00:00,1,1,1
204,2018-01-09 12:00:00,1,1,1
205,2018-01-09 13:00:00,1,1,1
206,2018-01-09 14:00:00,1,1,1
207,2018-01-09 15:00:00,1,1,1
208,2018-01-09 16:00:00,1,1,1
209,2018-01-09 17:00:00,1,1,1
210,2018-01-09 18:00:00,1,1,1
211,2018-01-09 19:00:00,1,1,1
212,2018-01-09 20:00:00,1,1,1
213,2018-01-09 21:00:00,1,1,1
