,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,1.457167719820518e-16,0.0,1.4210854715202004e-14,0.0,1.0658141036401503e-14,-7.105427357601002e-15,0.0
1,-1.3322676295501878e-15,0.0,-1.4210854715202004e-14,-7.632783294297951e-17,0.0,-2.1316282072803006e-14,0.0,-3.552713678800501e-15,0.0,0.0
2,1.3322676295501878e-15,0.0,2.842170943040401e-14,7.632783294297951e-17,3.552713678800501e-15,1.7763568394002505e-14,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0
3,1.3322676295501878e-15,0.0,1.4210854715202004e-14,-1.457167719820518e-16,-3.552713678800501e-15,1.0658141036401503e-14,7.105427357601002e-15,3.552713678800501e-15,-3.552713678800501e-15,0.0
4,1.7763568394002505e-15,0.0,1.4210854715202004e-14,7.632783294297951e-17,0.0,-1.0658141036401503e-14,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0
5,1.3322676295501878e-15,3.552713678800501e-15,-1.4210854715202004e-14,-3.469446951953614e-17,0.0,-2.842170943040401e-14,7.105427357601002e-15,3.552713678800501e-15,-3.552713678800501e-15,0.0
6,1.7763568394002505e-15,0.0,0.0,-3.469446951953614e-17,0.0,5.329070518200751e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,1.7763568394002505e-15
7,-1.7763568394002505e-15,0.0,5.329070518200751e-15,3.469446951953614e-17,0.0,0.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,0.0
8,-1.3322676295501878e-15,0.0,0.0,-7.632783294297951e-17,0.0,0.0,0.0,8.881784197001252e-15,3.552713678800501e-15,0.0
9,-1.3322676295501878e-15,0.0,1.4210854715202004e-14,3.469446951953614e-17,3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,0.0,-1.7763568394002505e-15
10,5.329070518200751e-15,-3.552713678800501e-15,-3.552713678800501e-15,1.457167719820518e-16,0.0,0.0,-7.105427357601002e-15,-3.552713678800501e-15,-3.552713678800501e-15,0.0
11,1.7763568394002505e-15,-3.552713678800501e-15,1.4210854715202004e-14,1.457167719820518e-16,0.0,0.0,7.105427357601002e-15,-3.552713678800501e-15,-3.552713678800501e-15,0.0
12,1.7763568394002505e-15,-3.552713678800501e-15,-1.4210854715202004e-14,1.457167719820518e-16,0.0,2.842170943040401e-14,7.105427357601002e-15,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
13,1.7763568394002505e-15,3.552713678800501e-15,-5.684341886080802e-14,2.5673907444456745e-16,0.0,7.105427357601002e-15,-7.105427357601002e-15,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
14,1.3322676295501878e-15,0.0,0.0,-3.469446951953614e-17,3.552713678800501e-15,-1.2656542480726785e-14,0.0,-1.0658141036401503e-14,3.552713678800501e-15,1.7763568394002505e-15
