,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind
5086,-0.0,1.4784000000000002,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.5072559911674771,-0.0,93.06036102394721,84.00365732770383,-0.0,-0.0,-0.0,8.217797157280895,9.0,77.99964400087742,-0.0,-0.0,82.67185736137701,107.8260756949711,-0.0,-0.0,104.66369765675859,-0.0,-0.0,52.937629473470835,-0.0,-0.0,45.80634745064352
5087,-0.0,1.4388,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.5097646753437475,-0.0,93.06036102394721,84.52623062367711,-0.0,-0.0,-0.0,7.515033814175496,9.0,72.88826497067575,-0.0,-0.0,82.67185736137701,105.4260756949711,-0.0,-0.0,99.2636976567586,-0.0,-0.0,62.31597692411435,-0.0,-0.0,32.928
5088,-0.0,1.4036000000000002,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.50625251764749,-0.0,93.06036102394721,86.22459383559024,-0.0,-0.0,-0.0,6.8916147194852195,9.0,65.73233432839342,-0.0,-0.0,82.67185736137701,99.2260756949711,-0.0,-0.0,83.86369765675859,-0.0,-0.0,49.23762947347083,-0.0,-0.0,40.80634745064352
5089,-0.0,1.3596000000000001,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.4912004110846568,-0.0,93.06036102394721,86.35523715958357,-0.0,-0.0,-0.0,6.313535195317875,9.0,57.042989977050595,-0.0,-0.0,82.67185736137701,99.6260756949711,-0.0,-0.0,81.06369765675859,-0.0,-0.0,49.03762947347083,-0.0,-0.0,40.80634745064352
5090,-0.0,1.3222,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.4738904885373987,-0.0,93.06036102394721,84.78751727166375,-0.0,-0.0,-0.0,5.996158201657371,9.0,52.85165917228523,-0.0,-0.0,82.67185736137701,98.2260756949711,-0.0,-0.0,81.06369765675859,-0.0,-0.0,50.80397692411435,-0.0,-0.0,38.64
5091,-0.0,1.342,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.4728870142648063,-0.0,93.06036102394721,84.78751727166375,-0.0,-0.0,-0.0,6.313535195317875,9.0,53.873934978325565,-0.0,-0.0,82.67185736137701,71.33977335172972,-0.0,-0.0,106.64999999999999,-0.0,-0.0,48.83762947347083,-0.0,-0.0,40.416
5092,-0.0,1.3970000000000002,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.4836743578032402,-0.0,93.06036102394721,85.57137721562366,-0.0,-0.0,-0.0,6.982293860531078,9.0,57.860810621882855,-0.0,-0.0,82.67185736137701,116.33405261908544,-0.0,-0.0,81.2636976567586,-0.0,-0.0,32.304,-0.0,-0.0,38.832
5093,-0.0,1.4432000000000003,26.588875791962312,-0.0,0.9352606973562269,-0.0,0.4947125687809143,-0.0,93.06036102394721,87.13909710354348,-0.0,-0.0,-0.0,7.707726988897944,9.0,62.05214142664823,-0.0,-0.0,82.67185736137701,100.9260756949711,-0.0,-0.0,84.4636976567586,-0.0,-0.0,49.83762947347083,-0.0,-0.0,40.90634745064352
5094,0.6181806893121863,1.4564000000000001,26.588875791962312,21.09,0.9352606973562269,0.24070595813749562,0.4969703847653393,-0.0,93.06036102394721,87.66167039951675,34.44245600047546,-0.0,-0.0,8.195127372019432,9.0,53.96653128397594,19.132733706783565,-0.0,82.67185736137701,72.45504077205227,2.898430236436012,13.908000000000001,106.52830234324139,-0.0,3.8166216858862105,59.05134183982808,-0.0,0.5080133984000659,29.568
5095,1.0978889042184428,0.58256,26.588875791962312,34.928,0.9352606973562269,0.8441237771982796,0.19928989089191085,-0.0,93.06036102394721,35.48272679658532,106.8109131178403,-0.0,-0.0,8.512504365679934,9.0,66.4014906343127,26.980397362786313,-0.0,82.67185736137701,69.61739694218151,11.136074066306781,46.284,86.55230234324141,-0.0,5.89705468329085,46.44057479017998,-0.0,2.267916957143151,42.6287779441439
5096,4.970172742069978,1.4476000000000002,26.588875791962312,61.42,0.9352606973562269,1.8529817154735513,0.4964686483816484,-0.0,93.06036102394721,55.37903751528678,97.83992585897776,-0.0,-0.0,7.5,9.0,63.243854898431024,49.55053746434794,-0.0,82.67185736137701,110.92018609263661,19.475417202719168,81.852,46.26,-0.0,10.207592116762335,35.184000000000005,-0.0,1.5385548637259137,24.096
5097,2.710104141944625,0.56496,26.588875791962312,83.02799999999999,0.9352606973562269,2.5160585058145775,0.48543043665136903,-0.0,93.06036102394721,34.69886685262541,130.53107053739515,-0.0,-0.0,3.4684771450040746,9.0,31.69054998725033,95.60180124809625,-0.0,82.67185736137701,91.44190287358862,25.98417282138249,113.544,47.47565676869736,-0.0,14.308589536106735,36.576,-0.0,2.1554282760688506,22.848000000000003
5098,3.2145395844233686,0.5438400000000001,26.588875791962312,97.68,0.9352606973562269,2.9747623128313143,0.2523259760072608,-0.0,93.06036102394721,33.81049224947083,153.18136363601292,-0.0,-0.0,8.100000000000001,9.0,33.28530024467325,74.19609274766236,-0.0,82.67185736137701,62.56,19.05173589494982,135.66,48.24,-0.0,17.092478295223735,37.632,-0.0,2.6271550031546265,24.096
5099,3.491484533235228,0.5227200000000001,26.588875791962312,104.932,0.9352606973562269,3.0865633572107942,0.18052493162778066,-0.0,93.06036102394721,32.974374975913605,187.13236827973662,-0.0,-0.0,8.727867325663848,9.0,36.26243814743589,75.10408688967921,-0.0,82.67185736137701,64.24,25.613471008488297,144.096,47.81999999999999,-0.0,18.349718379986253,37.68,-0.0,2.808588359726078,26.256
5100,8.839983857164263,1.2782,26.588875791962312,121.17430815971882,0.9352606973562269,1.298903849572146,0.1770127731789178,-0.0,93.06036102394721,32.45180167994033,384.2018283897336,-0.0,-0.0,3.4231375744811454,9.0,33.244409212431634,99.14998315034732,-0.0,82.67185736137701,63.519999999999996,25.533471008488284,142.272,46.08,-0.0,18.080309790394285,36.576,-0.0,2.8884190366175173,28.176000000000002
