,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,11.60439172475099,-0.0,26.650000000000002,-0.0,-0.0,-0.0,-0.0,-0.0,127.3626089645361,-0.0,-0.0,-0.0,13.919517597638468,-0.0,141.79999999999998,-0.0,-0.0,-0.0,63.60608933660164,-0.0,-0.0,-0.0,60.300000000000004,-0.0,-0.0,35.856096073492665,-0.0,-0.0,-0.0,30.35010500636059,-0.0
1,-0.0,11.68625692210373,-0.0,27.200000000000003,-0.0,-0.0,-0.0,-0.0,-0.0,128.03887060505576,-0.0,-0.0,-0.0,13.751305904615647,-0.0,139.6,-0.0,-0.0,-0.0,61.89999999999999,-0.0,-0.0,-0.0,59.925000000000004,-0.0,-0.0,32.5621854100943,-0.0,-0.0,-0.0,28.750105006360588,-0.0
2,-0.0,11.440661330045511,-0.0,27.0,-0.0,-0.0,-0.0,-0.0,-0.0,127.58802951137599,-0.0,-0.0,-0.0,13.793358827871351,-0.0,138.2,-0.0,-0.0,-0.0,60.79999999999998,-0.0,-0.0,-0.0,59.325,-0.0,-0.0,37.16587177142506,-0.0,-0.0,-0.0,23.146418645029847,-0.0
3,-0.0,11.338329833354585,-0.0,26.400000000000002,-0.0,-0.0,-0.0,-0.0,-0.0,127.13718841769621,-0.0,-0.0,-0.0,13.919517597638468,-0.0,138.6,-0.0,-0.0,-0.0,59.10608933660163,-0.0,-0.0,-0.0,58.875,-0.0,-0.0,36.383432365710846,-0.0,-0.0,-0.0,25.122768714142413,-0.0
4,-0.0,11.64532432342736,-0.0,26.0,-0.0,-0.0,-0.0,-0.0,-0.0,126.68634732401647,-0.0,-0.0,-0.0,14.066702829033437,-0.0,139.79999999999998,-0.0,-0.0,-0.0,59.999999999999986,-0.0,-0.0,-0.0,58.425000000000004,-0.0,-0.0,31.662185410094313,-0.0,-0.0,-0.0,27.450105006360587,-0.0
5,-0.0,11.870453616147397,-0.0,25.95,-0.0,-0.0,-0.0,-0.0,-0.0,122.85419802773838,-0.0,-0.0,-0.0,13.70925298135994,-0.0,137.0,-0.0,-0.0,-0.0,58.30608933660163,-0.0,-0.0,-0.0,57.9,-0.0,-0.0,36.041115125710874,-0.0,-0.0,-0.0,25.665085954142384,-0.0
6,-0.0,11.788588418794657,-0.0,25.900000000000002,0.24442776623898274,-0.0,0.00025,-0.0,-0.0,118.12036654410075,2.1583825179092933,-0.0,-0.0,13.07845913252436,-0.0,131.6,2.1324268483495703,-0.0,-0.0,59.39999999999999,-0.0,-0.0,5.7,57.975,-0.0,-0.0,35.845505274282324,-0.0,-0.0,-0.0,21.866785142172574,-0.0
7,11.677661800968378,11.60439172475099,-0.0,25.35,37.15302046832537,-0.0,0.0355,-0.0,-0.0,114.73905834150244,107.91912589546466,-0.0,-0.0,12.6158769767116,-0.0,127.4,73.56872626806017,-0.0,-0.0,57.80608933660163,-0.0,-0.0,9.208754808362706,58.425000000000004,-0.0,-0.0,33.55609607349267,-0.0,-0.0,-0.0,26.85010500636059,-0.0
8,26.464760176159103,11.35879613269277,-0.0,24.6,86.52742924859989,-0.0,0.0875,-0.0,-0.0,112.48485287310358,241.01938116653776,-0.0,-0.0,12.573824053455896,-0.0,126.8,173.2596814284026,-0.0,-0.0,51.27144562987621,11.32855437012378,-0.0,74.33375480836271,-0.0,-0.0,1.0339190406378105,37.16587177142506,-0.0,-0.0,-0.0,22.51249960439203,-0.0
9,37.52053466228301,10.80620605056177,-0.0,23.549999999999997,105.46473623970746,-0.0,0.12975,-0.0,-0.0,108.87812412366539,333.82982943663734,-0.0,-0.0,12.426638822060927,-0.0,127.0,260.15607549864757,-0.0,-0.0,46.168107810582036,18.231892189417955,-0.0,22.633754808362717,59.1,-0.0,1.7157708217480905,31.64641458834622,-0.0,-0.0,-0.0,30.05010500636059,-0.0
10,44.775886668801824,9.987554077034362,-0.0,-0.0,131.20473623970747,-0.0,0.16075,-0.0,-0.0,99.63588170323003,405.05645252764396,-0.0,-0.0,11.711739126713937,-0.0,123.6,323.06266752495986,-0.0,-0.0,11.692460054304693,23.099630395330518,-0.0,96.55384976882183,58.35,-0.0,-0.0,-0.0,-0.0,-0.0,0.696,30.754105006360586,-0.0
11,48.576309148406914,9.373565096888807,-0.0,18.75,114.23473623970747,-0.0,0.175,-0.0,-0.0,88.81569545491546,448.2241028858299,-0.0,-0.0,10.744521891832713,-0.0,118.29977265347219,357.7146038106404,-0.0,-0.0,6.453274322304473,25.046725677695537,-0.0,63.17275369532913,56.775,-0.0,-0.0,37.6059939371393,-0.0,-0.0,0.778,31.122207142713954,-0.0
12,49.47459082540448,8.739109817405067,-0.0,-0.0,133.06473623970749,-0.0,0.1775,-0.0,-0.0,80.24971467499974,466.2106238684073,-0.0,-0.0,9.945516349974312,-0.0,113.39999999999999,363.04567093151434,-0.0,-0.0,67.5,25.444995167270203,-0.0,125.01340754938482,54.525,-0.0,2.2282737944780395,36.92135945713937,-0.0,-0.0,-0.0,32.45010500636059,-0.0
