,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Guadeloupe Hydrogen,SaintVincentGrenadines Hydrogen
0,6.661338147750939e-16,0.0,5.329070518200751e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
1,6.661338147750939e-16,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.661338147750939e-16,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.661338147750939e-16,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.661338147750939e-16,0.0,5.329070518200751e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
5,6.661338147750939e-16,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.661338147750939e-16,1.7763568394002505e-15,8.881784197001252e-15,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0
7,-1.1102230246251565e-15,5.329070518200751e-15,8.881784197001252e-15,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.661338147750939e-16,1.2434497875801753e-14,8.881784197001252e-15,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
9,7.771561172376096e-15,1.887379141862766e-15,-1.9539925233402755e-14,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0
10,7.771561172376096e-15,1.199040866595169e-14,-5.1514348342607263e-14,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
11,6.661338147750939e-16,1.199040866595169e-14,-1.0835776720341528e-13,0.0,2.842170943040401e-14,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
12,6.661338147750939e-16,1.199040866595169e-14,5.329070518200751e-15,0.0,0.0,-7.105427357601002e-15,2.842170943040401e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0
13,-6.439293542825908e-15,-2.220446049250313e-15,5.329070518200751e-15,0.0,2.842170943040401e-14,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,0.0
14,6.661338147750939e-16,-2.220446049250313e-15,5.329070518200751e-15,-2.220446049250313e-16,-2.842170943040401e-14,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0
15,6.661338147750939e-16,-1.4654943925052066e-14,-2.4868995751603507e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,-3.9968028886505635e-15,-7.105427357601002e-15,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17,8.881784197001252e-16,-1.7763568394002505e-15,-5.329070518200751e-15,0.0,0.0,0.0,1.4210854715202004e-14,-1.7763568394002505e-15,0.0,0.0,0.0,0.0
18,-8.881784197001252e-16,1.7763568394002505e-15,-8.881784197001252e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.6645352591003757e-15,1.7763568394002505e-15,-8.881784197001252e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-8.881784197001252e-16,-2.220446049250313e-15,-5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-8.881784197001252e-16,-2.220446049250313e-15,-5.329070518200751e-15,0.0,0.0,0.0,-1.0658141036401503e-14,0.0,0.0,0.0,0.0,0.0
22,-2.6645352591003757e-15,-2.220446049250313e-15,-5.329070518200751e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
23,-2.6645352591003757e-15,-2.220446049250313e-15,-8.881784197001252e-15,0.0,0.0,0.0,1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0
24,-8.881784197001252e-16,-2.220446049250313e-15,-8.881784197001252e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-8.881784197001252e-16,-4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-8.881784197001252e-16,-4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-8.881784197001252e-16,-4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-8.881784197001252e-16,-4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-8.881784197001252e-16,-4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,0.0,1.0658141036401503e-14,0.0,0.0,0.0,0.0,0.0
30,0.0,4.884981308350689e-15,-8.881784197001252e-15,-5.551115123125783e-17,0.0,-8.881784197001252e-16,-7.105427357601002e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0
31,0.0,-2.220446049250313e-15,-8.881784197001252e-15,0.0,0.0,3.552713678800501e-15,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0
32,0.0,-2.220446049250313e-15,5.329070518200751e-15,0.0,2.842170943040401e-14,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
33,0.0,1.199040866595169e-14,5.329070518200751e-15,0.0,0.0,-1.4210854715202004e-14,1.7763568394002505e-14,7.105427357601002e-15,0.0,0.0,0.0,0.0
34,0.0,-1.6431300764452317e-14,5.329070518200751e-15,0.0,2.842170943040401e-14,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0,0.0,0.0
35,0.0,-2.220446049250313e-15,-5.1514348342607263e-14,0.0,0.0,0.0,4.973799150320701e-14,0.0,0.0,0.0,0.0,0.0
