,SKN Storage,ATG Storage,MSR Storage,GLP Storage,MTQ Storage,LCA Storage,BRB Storage,SVG Storage,GRD Storage
0,12.739891027245216,7.93520872835577,1.3982076520066593,84.69229127164425,89.27425129265029,25.752277749038484,21.867722250961513,-0.0,-0.0
1,10.966502950022447,14.089177755602186,0.030000000000000027,61.69082224439782,79.9242512926503,22.42727774903848,8.689077148135535,3.2298951028259886,-0.0
2,11.00666718169076,4.292708728355768,-0.0,71.26729127164425,76.9742512926503,22.377277749038484,6.739077148135525,3.639895102825985,-0.0
3,10.805902278219225,3.6327087283557677,-0.0,69.71729127164426,74.37425129265029,23.352277749038485,7.976577148135529,4.05989510282599,-0.0
4,9.468196988633832,4.152708728355767,-0.0,65.16729127164423,71.37425129265029,-0.0,32.546249999999986,-0.0,-0.0
5,9.603879776271205,3.700208728355763,-0.0,67.79229127164422,73.47425129265027,22.92727774903849,6.707827148135525,4.374895102825988,-0.0
6,8.897267853493979,32.91426049136928,0.040000000000000036,36.414728027799114,69.83174447062368,21.983291468018745,-0.0,3.54998652609966,-0.0
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
17,13.203164472169545,44.59948346889466,-0.0,82.76078592612917,92.52360412106383,27.403897174106913,25.847249348787734,-0.0,-0.0
18,18.5589252135114,21.695208728355766,1.3982076520066593,153.09229127164423,122.72574532889143,-0.0,88.80125,-0.0,-0.0
19,19.099361653646305,23.545208728355767,1.3982076520066593,158.21729127164423,112.75,38.42727774903848,43.28907714813553,9.574895102825987,-0.0
20,17.445645113086897,54.69321368930159,0.3600000000000001,117.98270872835575,124.42425129265027,36.92727774903849,40.964077148135544,9.034895102825988,-0.0
21,16.216081553221798,52.48821368930159,0.31000000000000005,108.40770872835577,117.52425129265028,-0.0,83.75625,-0.0,-0.0
22,15.504059051273773,50.74571368930159,0.29000000000000004,100.70770872835575,113.42425129265028,-0.0,69.91010489717402,8.829895102825983,-0.0
23,13.253894819605458,46.88071368930159,0.17999999999999994,94.25624161908873,102.37425129265026,6.010409749203518,57.13719514797051,7.969895102825987,-0.0
