,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,SKN solar pv,SKN wind,BRB solar pv,BRB wind
6118,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6416,0.0,0.6336,0.0,0.5664,0.0,0.4768,0.0,0.0,0.6008,0.0,0.0616
6119,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6672,0.0,0.6552,0.0,0.5744,0.0,0.4536,0.0,0.0,0.6072,0.0,0.0264
6120,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6944,0.0,0.6768,0.0,0.5896,0.0,0.444,0.0,0.0,0.6272,0.0,0.0064
6121,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7136,0.0,0.6928,0.0,0.6104,0.0,0.4512,0.0,0.0,0.652,0.0,0.0008
6122,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.728,0.0,0.7112,0.0,0.6352,0.0,0.4552,0.0,0.0,0.6776,0.0,0.0
6123,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7416,0.0,0.736,0.0,0.6656,0.0,0.4552,0.0,0.0,0.6992,0.0,0.0008
6124,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.756,0.0,0.7592,0.0,0.6928,0.0,0.4408,0.0,0.0,0.7208,0.0,0.0168
6125,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7712,0.0,0.7776,0.0,0.72,0.0,0.3976,0.0,0.0,0.7408,0.0,0.06
6126,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7832,0.0264,0.7904,0.0272,0.7392,0.0256,0.3104,0.024,0.0208,0.7576,0.0384,0.1328
6127,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7896,0.1552,0.7896,0.116,0.7568,0.1184,0.2152,0.1192,0.136,0.7704,0.1712,0.244
6128,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7928,0.3168,0.7688,0.248,0.7592,0.1728,0.2016,0.2056,0.3016,0.7792,0.3096,0.384
6129,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7928,0.4008,0.7616,0.348,0.7232,0.2088,0.3048,0.2512,0.4392,0.7848,0.4,0.5176
6130,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7928,0.4904,0.768,0.3952,0.704,0.232,0.5528,0.2392,0.512,0.788,0.4648,0.6008
6131,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7928,0.552,0.7784,0.3688,0.7696,0.2016,0.7496,0.2008,0.5648,0.7872,0.4992,0.6096
6132,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7904,0.5512,0.7856,0.3376,0.7888,0.2456,0.7808,0.2336,0.564,0.7848,0.4912,0.5872
6133,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7856,0.5248,0.7912,0.3416,0.7824,0.2064,0.7784,0.2328,0.5136,0.7816,0.4488,0.5616
6134,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7792,0.46,0.7896,0.304,0.792,0.1408,0.7672,0.1608,0.4376,0.7784,0.3928,0.5216
6135,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7736,0.3536,0.7824,0.24,0.7856,0.116,0.7456,0.0928,0.3488,0.7752,0.2776,0.4248
6136,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.764,0.212,0.7704,0.1592,0.7728,0.0728,0.7232,0.0504,0.2168,0.772,0.1256,0.3864
6137,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7552,0.0608,0.7616,0.0416,0.7752,0.0168,0.7192,0.0112,0.0664,0.768,0.0248,0.448
6138,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7496,0.0,0.748,0.0,0.756,0.0,0.7008,0.0,0.0,0.7664,0.0,0.4912
6139,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7392,0.0,0.7312,0.0,0.7456,0.0,0.7,0.0,0.0,0.7656,0.0,0.4616
6140,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7328,0.0,0.7216,0.0,0.72,0.0,0.672,0.0,0.0,0.7632,0.0,0.4744
6141,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.724,0.0,0.6928,0.0,0.672,0.0,0.6192,0.0,0.0,0.7608,0.0,0.5384
6142,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7032,0.0,0.6536,0.0,0.6456,0.0,0.5936,0.0,0.0,0.7504,0.0,0.5736
6143,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6752,0.0,0.6184,0.0,0.6128,0.0,0.5688,0.0,0.0,0.732,0.0,0.596
6144,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6424,0.0,0.5904,0.0,0.6048,0.0,0.5736,0.0,0.0,0.7104,0.0,0.5912
6145,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6104,0.0,0.576,0.0,0.6048,0.0,0.5872,0.0,0.0,0.6888,0.0,0.5552
6146,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.588,0.0,0.5696,0.0,0.5992,0.0,0.6016,0.0,0.0,0.6664,0.0,0.5272
6147,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5752,0.0,0.56,0.0,0.5928,0.0,0.6248,0.0,0.0,0.6464,0.0,0.5248
6148,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.576,0.0,0.5584,0.0,0.5976,0.0,0.652,0.0,0.0,0.6296,0.0,0.5272
6149,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5776,0.0,0.5664,0.0,0.62,0.0,0.6648,0.0,0.0,0.6248,0.0,0.512
6150,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5752,0.0192,0.584,0.0192,0.6488,0.0136,0.6568,0.0064,0.02,0.6232,0.0144,0.4856
6151,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.564,0.1112,0.6096,0.108,0.656,0.0792,0.6264,0.0496,0.1264,0.6096,0.072,0.4632
6152,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5424,0.1952,0.6224,0.2152,0.64,0.1728,0.5704,0.1288,0.244,0.5832,0.1448,0.4424
6153,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5264,0.256,0.62,0.3064,0.6048,0.3056,0.5048,0.2392,0.3288,0.5504,0.2144,0.4128
6154,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5272,0.3,0.5904,0.3872,0.5544,0.4152,0.452,0.3608,0.3944,0.516,0.2456,0.3744
6155,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5112,0.2992,0.5296,0.4456,0.4936,0.4736,0.4136,0.44,0.4128,0.4712,0.2624,0.3416
6156,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.456,0.316,0.4416,0.44,0.4304,0.4808,0.3768,0.4568,0.3952,0.4128,0.2584,0.304
6157,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3664,0.3176,0.3464,0.428,0.3664,0.4472,0.336,0.4128,0.3704,0.34,0.2336,0.2696
6158,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2624,0.288,0.2592,0.3824,0.308,0.3792,0.2952,0.3144,0.2992,0.2648,0.1912,0.2472
6159,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1776,0.2328,0.1952,0.2856,0.2584,0.2816,0.2616,0.212,0.2064,0.1992,0.1328,0.2392
6160,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1176,0.1464,0.1536,0.164,0.2136,0.156,0.2272,0.1056,0.1152,0.1528,0.0672,0.2448
6161,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0816,0.0424,0.1192,0.0432,0.172,0.0384,0.196,0.0208,0.0336,0.1176,0.0128,0.256
6162,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0568,0.0,0.0936,0.0,0.1408,0.0,0.172,0.0,0.0,0.084,0.0,0.2736
6163,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0376,0.0,0.0744,0.0,0.1192,0.0,0.1624,0.0,0.0,0.0528,0.0,0.2952
6164,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0272,0.0,0.0608,0.0,0.1128,0.0,0.1672,0.0,0.0,0.0296,0.0,0.3128
6165,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0216,0.0,0.0512,0.0,0.1144,0.0,0.1816,0.0,0.0,0.0184,0.0,0.3176
6166,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0192,0.0,0.0432,0.0,0.1176,0.0,0.196,0.0,0.0,0.0152,0.0,0.3104
6167,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0184,0.0,0.0416,0.0,0.124,0.0,0.208,0.0,0.0,0.0152,0.0,0.2944
6168,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0176,0.0,0.0472,0.0,0.1352,0.0,0.22,0.0,0.0,0.016,0.0,0.28
6169,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0176,0.0,0.0512,0.0,0.1448,0.0,0.228,0.0,0.0,0.016,0.0,0.276
6170,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0176,0.0,0.0552,0.0,0.1504,0.0,0.2312,0.0,0.0,0.0176,0.0,0.2712
6171,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.016,0.0,0.0552,0.0,0.148,0.0,0.2216,0.0,0.0,0.0168,0.0,0.2608
6172,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0152,0.0,0.0512,0.0,0.136,0.0,0.2064,0.0,0.0,0.0144,0.0,0.2424
6173,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0184,0.0,0.052,0.0,0.1288,0.0,0.1936,0.0,0.0,0.016,0.0,0.2256
6174,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0272,0.008,0.06,0.008,0.1336,0.0088,0.1896,0.0152,0.008,0.0216,0.0352,0.2048
6175,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0328,0.0528,0.068,0.052,0.14,0.056,0.1848,0.084,0.0592,0.0272,0.1416,0.1864
6176,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0392,0.1032,0.076,0.1016,0.148,0.1072,0.1848,0.156,0.1168,0.0344,0.2496,0.1728
6177,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0456,0.152,0.0792,0.1448,0.1448,0.1648,0.1752,0.2288,0.1648,0.0432,0.344,0.1552
6178,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0472,0.176,0.0744,0.1704,0.132,0.1848,0.1576,0.2824,0.1944,0.0496,0.4128,0.136
6179,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0448,0.1944,0.0688,0.1856,0.1168,0.1944,0.1392,0.3112,0.216,0.048,0.4424,0.1256
6180,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0376,0.1928,0.0608,0.1872,0.1032,0.2064,0.1248,0.3264,0.2104,0.0392,0.4408,0.1248
6181,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.028,0.188,0.0552,0.1696,0.0968,0.1896,0.1176,0.3104,0.2,0.028,0.412,0.1288
6182,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0208,0.164,0.0536,0.1384,0.0944,0.156,0.1168,0.2728,0.172,0.0192,0.3296,0.1376
6183,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0192,0.1248,0.0544,0.0968,0.1032,0.112,0.132,0.2,0.1272,0.0168,0.22,0.1464
6184,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0248,0.0664,0.064,0.0504,0.1184,0.06,0.1568,0.1128,0.0696,0.0176,0.108,0.1608
6185,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0328,0.0152,0.0768,0.0112,0.1384,0.0128,0.1824,0.0288,0.0152,0.0168,0.0184,0.1816
6186,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0424,0.0,0.084,0.0,0.1504,0.0,0.2,0.0,0.0,0.0184,0.0,0.1992
6187,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0472,0.0,0.0872,0.0,0.1608,0.0,0.2128,0.0,0.0,0.0232,0.0,0.216
6188,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.052,0.0,0.0896,0.0,0.1752,0.0,0.2272,0.0,0.0,0.0272,0.0,0.2296
6189,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.052,0.0,0.0928,0.0,0.1888,0.0,0.2376,0.0,0.0,0.028,0.0,0.2304
6190,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0472,0.0,0.0912,0.0,0.1872,0.0,0.2352,0.0,0.0,0.0248,0.0,0.2208
6191,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0424,0.0,0.092,0.0,0.1832,0.0,0.2232,0.0,0.0,0.0208,0.0,0.2024
6192,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0368,0.0,0.0912,0.0,0.1824,0.0,0.2096,0.0,0.0,0.0176,0.0,0.1872
6193,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0328,0.0,0.0888,0.0,0.1768,0.0,0.1928,0.0,0.0,0.0136,0.0,0.1808
6194,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0312,0.0,0.0904,0.0,0.1728,0.0,0.1792,0.0,0.0,0.0112,0.0,0.1864
6195,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0288,0.0,0.0928,0.0,0.1728,0.0,0.1752,0.0,0.0,0.0112,0.0,0.2056
6196,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0264,0.0,0.0936,0.0,0.18,0.0,0.1832,0.0,0.0,0.012,0.0,0.2384
6197,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0248,0.0,0.092,0.0,0.1832,0.0,0.1928,0.0,0.0,0.0144,0.0,0.2672
6198,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0216,0.0088,0.0864,0.0136,0.1784,0.0184,0.1984,0.0184,0.0064,0.0144,0.016,0.28
6199,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0192,0.0648,0.0832,0.0848,0.176,0.1184,0.2048,0.092,0.0512,0.0128,0.0816,0.2824
6200,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0208,0.1288,0.0864,0.1824,0.1784,0.2408,0.2128,0.1792,0.1,0.0128,0.1672,0.2744
6201,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0248,0.1848,0.0928,0.272,0.176,0.3336,0.2096,0.2496,0.14,0.0136,0.2528,0.2504
6202,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.028,0.2184,0.0936,0.3336,0.1616,0.396,0.1872,0.2912,0.1744,0.016,0.3296,0.2336
