,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,4.491941780139129,16.23093840837246,-0.0,43.24,-0.0,0.8999999999999999,-0.0,0.47813290766064515,-0.0,82.87052934422151,38.18371720458913,-0.0,-0.0,3.5999999999999996,9.0,90.67166126364782,-0.0,-0.0,65.07588477622251,24.034527057364194,-0.0,23.365472942635805,-0.0,-0.0,119.5,-0.0,12.827828496113533,-0.0,-0.0,10.290655902387478,11.606043487798159
1,-0.0,4.523630963773268,16.23093840837246,-0.0,40.88,-0.0,0.8999999999999999,-0.0,0.4833019120677873,-0.0,82.87052934422151,38.38646260567544,-0.0,-0.0,2.6999999999999993,9.0,103.8241152237775,-0.0,-0.0,65.07588477622251,20.034527057364194,-0.0,23.365472942635805,-0.0,-0.0,110.0,-0.0,17.0,-0.0,-0.0,10.8717033381835,11.606043487798159
2,-0.0,4.428563412870853,16.23093840837246,-0.0,39.86,-0.0,0.8999999999999999,-0.0,0.47813290766064515,-0.0,82.87052934422151,95.62824751237807,-0.0,-0.0,2.5999999999999996,9.0,99.8241152237775,-0.0,-0.0,65.07588477622251,12.50270478489964,-0.0,23.365472942635805,-0.0,-0.0,107.6,-0.0,16.6,-0.0,-0.0,11.116354890097616,11.606043487798159
3,-0.0,4.38895193332818,16.23093840837246,-0.0,38.75,-0.0,0.8999999999999999,-0.0,0.47267673662916204,-0.0,82.87052934422151,95.29033851056755,-0.0,-0.0,2.5,9.0,97.52411522377749,-0.0,-0.0,65.07588477622251,12.417536496174167,-0.0,23.365472942635805,-0.0,-0.0,108.5,-0.0,16.3,-0.0,-0.0,11.406878607995628,11.606043487798159
4,-0.0,4.507786371956199,16.23093840837246,-0.0,38.97,-0.0,0.8999999999999999,-0.0,0.47411257061236767,-0.0,82.87052934422151,93.4294706557785,-0.0,-0.0,2.4000000000000004,9.0,95.42411522377749,-0.0,-0.0,65.07588477622251,12.46863746940945,-0.0,23.365472942635805,-0.0,-0.0,107.1,-0.0,16.1,-0.0,-0.0,10.290655902387478,11.606043487798159
5,-0.0,4.594931626950079,16.23093840837246,-0.0,38.48,-0.0,0.8999999999999999,-0.0,0.4721024025189794,-0.0,82.87052934422151,92.08020299336759,-0.0,-0.0,2.0999999999999996,9.0,95.42411522377749,-0.0,-0.0,65.07588477622251,12.332368207448692,-0.0,23.365472942635805,-0.0,-0.0,106.5,-0.0,16.3,-0.0,-0.0,10.8717033381835,11.606043487798159
6,-0.0,4.563242443315941,16.23093840837246,-0.0,37.25430371153641,0.035696288463593025,0.8999999999999999,0.004866102962773911,0.46463606253260714,-0.0,82.87052934422151,51.332939098631655,0.7855071947523445,-0.0,1.8000000000000007,9.0,88.9737788885013,1.4503363352761947,-0.0,65.07588477622251,12.110930656762458,0.13145698838485714,23.365472942635805,-0.0,3.543583535108959,100.55641646489103,0.10569966666907635,15.394300333330923,-0.0,0.014754293259207785,11.116354890097616,11.606043487798159
7,5.802284879571887,1.796776712055652,16.23093840837246,-0.0,32.43416415353386,5.425835846466139,0.8999999999999999,0.328165911346034,0.18183408865396603,-0.0,82.87052934422151,54.15411091816127,39.27535973761723,-0.0,2.0,9.0,73.40947379696601,20.014641426811487,-0.0,65.07588477622251,11.991695052546794,4.338080616700287,23.365472942635805,-0.0,53.50811138014527,49.59188861985472,4.118741679812938,11.581258320187061,-0.0,0.9295204753300904,11.406878607995628,11.606043487798159
8,11.159144494742272,1.7587496916946856,16.23093840837246,-0.0,27.433513883888068,12.63648611611193,0.8999999999999999,0.6812544147883476,0.17758401778931535,-0.0,82.87052934422151,33.72331838069022,87.71497008067848,-0.0,2.9000000000000004,9.0,60.83614049188652,47.135930896476324,-0.0,65.07588477622251,12.025762368036983,11.217663008841145,23.365472942635805,-0.0,62.57999999999999,47.220000000000006,4.904464533445142,11.878213661730317,-0.0,2.5082298540653234,11.651530159909745,11.606043487798159
9,15.820928095678992,1.6731888958825119,16.23093840837246,-0.0,28.022316278811644,18.776247731849928,0.8999999999999999,1.010202975071864,0.17023254514188013,-0.0,82.87052934422151,32.64200957489655,121.49177945502929,-0.0,3.5999999999999996,9.0,60.9320965494447,70.7764131614783,-0.0,65.07588477622251,12.025762368036983,18.053426404853717,23.365472942635805,-0.0,69.92000000000002,47.279999999999994,8.13887433351888,12.081393632259914,-0.0,4.042676353022933,11.712693047888273,11.606043487798159
10,18.88022358379371,1.546432161345958,16.23093840837246,-0.0,39.05416655152891,32.21982999427267,0.8999999999999999,1.2515616820254498,0.155529598985509,-0.0,82.87052934422151,29.871155760050257,147.41351688185668,-0.0,4.199999999999999,9.0,59.300843570955635,87.8903819177374,-0.0,65.07588477622251,11.923560421566414,22.87351597896515,23.365472942635805,-0.0,84.19554479418886,46.68,10.675666333576713,12.128281317766746,-0.0,5.134494054204309,11.605657993925847,11.606043487798159
