,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,1.7763568394002505e-15,0.0,0.0,1.1102230246251565e-16,0.0,0.0,7.105427357601002e-15,0.0,8.881784197001252e-16
1,1.7763568394002505e-15,0.0,-1.4210854715202004e-14,-3.3306690738754696e-16,0.0,0.0,7.105427357601002e-15,0.0,8.881784197001252e-16
2,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,8.881784197001252e-16
3,0.0,0.0,1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,7.105427357601002e-15,0.0,8.881784197001252e-16
4,0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,8.881784197001252e-16
5,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,8.881784197001252e-16
6,0.0,-3.552713678800501e-15,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,0.0,-1.4210854715202004e-14,-1.7763568394002505e-15,-7.105427357601002e-15,8.881784197001252e-16,-4.440892098500626e-16
9,1.7763568394002505e-15,0.0,0.0,-1.1102230246251565e-16,0.0,-1.7763568394002505e-15,7.105427357601002e-15,1.7763568394002505e-15,-8.881784197001252e-16
10,-1.7763568394002505e-15,0.0,-1.4210854715202004e-14,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0
11,-3.552713678800501e-15,7.105427357601002e-15,0.0,1.1102230246251565e-16,1.4210854715202004e-14,1.7763568394002505e-15,0.0,0.0,0.0
12,0.0,1.7763568394002505e-15,0.0,1.1102230246251565e-16,-1.4210854715202004e-14,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0
13,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,1.7763568394002505e-15,0.0,-1.7763568394002505e-15,-8.881784197001252e-16
14,1.7763568394002505e-15,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,-1.7763568394002505e-15,1.7763568394002505e-15
15,-1.7763568394002505e-15,-3.552713678800501e-15,-7.105427357601002e-15,-5.551115123125783e-17,-1.4210854715202004e-14,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15
16,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,3.552713678800501e-15,8.881784197001252e-16,1.7763568394002505e-15
17,0.0,0.0,0.0,-1.734723475976807e-17,0.0,-3.552713678800501e-15,0.0,0.0,1.7763568394002505e-15
18,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.7763568394002505e-15,0.0,1.4210854715202004e-14,-1.1102230246251565e-16,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,0.0
20,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,-1.4210854715202004e-14,0.0,0.0
21,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0
22,0.0,0.0,0.0,-1.1102230246251565e-16,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,0.0
23,0.0,0.0,0.0,-5.551115123125783e-17,0.0,3.552713678800501e-15,-1.4210854715202004e-14,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0
25,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-3.552713678800501e-15,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0
28,0.0,0.0,0.0,-2.7755575615628914e-17,-1.4210854715202004e-14,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,-8.326672684688674e-17,-1.4210854715202004e-14,0.0,0.0,0.0,0.0
30,-3.552713678800501e-15,0.0,1.4210854715202004e-14,0.0,-1.4210854715202004e-14,3.552713678800501e-15,1.4210854715202004e-14,6.661338147750939e-16,1.7763568394002505e-15
31,0.0,0.0,0.0,8.326672684688674e-17,-2.842170943040401e-14,-3.552713678800501e-15,0.0,-8.881784197001252e-16,0.0
32,5.329070518200751e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
33,7.105427357601002e-15,5.329070518200751e-15,0.0,1.1102230246251565e-16,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,3.552713678800501e-15
34,0.0,0.0,2.842170943040401e-14,-2.220446049250313e-16,-2.1316282072803006e-14,-3.552713678800501e-15,0.0,1.7763568394002505e-15,0.0
35,-3.552713678800501e-15,3.552713678800501e-15,0.0,-1.1102230246251565e-16,-1.4210854715202004e-14,-3.552713678800501e-15,0.0,0.0,0.0
36,-3.552713678800501e-15,0.0,-1.4210854715202004e-14,2.220446049250313e-16,0.0,3.552713678800501e-15,0.0,0.0,0.0
37,0.0,0.0,-1.4210854715202004e-14,2.220446049250313e-16,0.0,0.0,-2.842170943040401e-14,0.0,0.0
38,0.0,0.0,1.4210854715202004e-14,0.0,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0
39,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-1.7763568394002505e-15
40,0.0,-7.105427357601002e-15,0.0,0.0,0.0,-3.552713678800501e-15,-1.4210854715202004e-14,8.881784197001252e-16,0.0
41,-3.552713678800501e-15,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
