,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
12,-0.0,45.11429026883191,6.348257129121066,-0.0,-0.0,-0.0,103.0203234501348,-0.0,0.7354916187780294,1.8004552973074368,-0.0,15.0,-0.0,87.8172859558833,258.608445337605,-0.0,6.6,6.9,-0.0,59.730975924747895,267.15325854391955,-0.0,-0.0,-0.0,50.6,-0.0,-0.0,263.59049676697293,54.525,-0.0,11.680046064611968,17.21207503545286,-0.0,-0.0,-0.0,28.4,-0.0
13,-0.0,38.93337263734629,10.819174760606687,-0.0,-0.0,-0.0,101.45032345013479,-0.0,0.09753806933478737,1.6990211960506798,-0.0,-0.0,-0.0,82.14369725648636,251.8239645185629,-0.0,6.6,6.300000000000001,-0.0,69.26886601515056,248.71536845351685,-0.0,-0.0,-0.0,47.9,-0.0,-0.0,300.48324732653526,11.432249440437658,-0.0,11.142763945639818,16.549357154425007,-0.0,-0.0,16.728632901299026,9.871367098700976,-0.0
14,-0.0,35.59996368979054,9.45969730377653,-0.0,-0.0,9.13412398921831,88.97619946091648,-0.0,0.8830468257080979,1.4429000903773683,-0.0,15.0,-0.0,81.40366394786936,213.11251513932265,-0.0,6.6,5.5,-0.0,107.2,199.58423446866743,-0.0,-0.0,-0.0,45.0,-0.0,-0.0,245.75424956478457,49.5,-0.0,9.424645239183096,17.267475860881728,-0.0,-0.0,-0.0,25.5,-0.0
15,-0.0,22.683162704999283,8.525056552205793,10.0,-0.0,13.8,64.30342318059301,-0.0,-0.0,0.9636239619391915,-0.0,15.0,-0.0,83.13040833464235,159.23575569398827,-0.0,6.6,5.0,-0.0,108.2,146.71852965554464,-0.0,-0.0,-0.0,9.705217363641488,33.79478263635851,-0.0,167.87067582690852,47.175,-0.0,7.848990955419243,16.804083147101004,-0.0,-0.0,-0.0,24.8,-0.0
16,-0.0,9.892379290791355,7.986930058877188,-0.0,-0.0,13.15,24.67277628032346,-0.0,1.5,0.37023446958716305,-0.0,15.0,7.5732707505651575,85.10383049095432,77.42289875848051,-0.0,6.6,5.300000000000001,-0.0,111.80000000000001,68.65171842171206,-0.0,-0.0,-0.0,25.955587747477374,17.344412252522623,-0.0,72.09492974384473,45.449999999999996,-0.0,3.8544152013219497,16.60897042550912,-0.0,-0.0,-0.0,24.4,-0.0
17,-0.0,1.0081405646666348,8.156864740980957,10.0,-0.0,13.25,1.5420485175202163,-0.0,1.5,0.027894377845608175,-0.0,15.0,45.51241225330027,87.32393041680531,4.789045284029722,-0.0,6.6,5.300000000000001,-0.0,115.8,5.09984193989861,-0.0,-0.0,-0.0,44.6,-0.0,-0.0,4.209922904750057,44.925,-0.0,0.39712156619680694,16.73091587650405,-0.0,-0.0,-0.0,24.6,-0.0
18,-0.0,-0.0,8.864925916413334,10.0,30.25119946091643,13.850000000000001,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,90.0373858817343,-0.0,-0.0,6.6,7.4,-0.0,119.6,-0.0,-0.0,-0.0,-0.0,51.6,-0.0,-0.0,-0.0,46.125,-0.0,-0.0,17.047974049090858,-0.0,-0.0,-0.0,29.2,-0.0
19,-0.0,-0.0,9.686276879914889,10.0,-0.0,14.85,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,93.73755242481927,-0.0,-0.0,6.6,7.9,-0.0,123.8,-0.0,-0.0,-0.0,-0.0,54.0,-0.0,-0.0,-0.0,47.925000000000004,-0.0,-0.0,17.486977672672598,-0.0,-0.0,-0.0,30.2,-0.0
20,-0.0,-0.0,10.479305396399148,-0.0,-0.0,16.0,-0.0,-0.0,1.5,-0.0,-0.0,15.0,45.51241225330027,99.65781889375522,-0.0,-0.0,6.6,7.9,-0.0,128.0,-0.0,-0.0,-0.0,-0.0,53.4,-0.0,-0.0,-0.0,49.425000000000004,-0.0,-0.0,17.779646755060423,-0.0,-0.0,-0.0,29.7,-0.0
21,-0.0,-0.0,11.300656359900703,10.0,-0.0,17.1,-0.0,-0.0,1.0340530839145337,-0.0,-0.0,15.0,-0.0,105.33140759315216,-0.0,-0.0,6.6,7.4,-0.0,130.8,-0.0,-0.0,-0.0,-0.0,52.4,-0.0,-0.0,-0.0,49.125,-0.0,-0.0,17.80403584525941,-0.0,-0.0,-0.0,29.2,-0.0
