,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,MSR wind,MSR solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,LCA wind,LCA solar pv,SKN wind,SKN solar pv,SVG wind,SVG solar pv,GRD wind,GRD solar pv,BRB wind,BRB solar pv
3390,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3544,0.0512,0.362133334,0.0488,0.3952,0.0504,0.4544,0.0528,0.4736,0.0528,0.5128,0.048,0.3368,0.0472,0.5472,0.0416,0.4,0.0288,0.5432,0.0536
3391,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3816,0.1752,0.388533334,0.176,0.4232,0.1688,0.4712,0.176,0.4784,0.18,0.5024,0.1672,0.3608,0.1736,0.532,0.1544,0.4232,0.1168,0.5576,0.168
3392,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4056,0.308,0.409866666,0.3088,0.4432,0.3048,0.4824,0.3176,0.484,0.3088,0.496,0.2912,0.3808,0.3072,0.5136,0.2712,0.4328,0.2256,0.552,0.284
3393,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.428,0.412,0.427466666,0.4176,0.4608,0.4192,0.484,0.4216,0.4856,0.4136,0.4944,0.396,0.3936,0.416,0.4912,0.3744,0.4376,0.3344,0.5192,0.3864
3394,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4424,0.4848,0.437866666,0.4944,0.468,0.4936,0.48,0.4928,0.4784,0.4856,0.4872,0.468,0.4032,0.4944,0.4696,0.4472,0.4528,0.3952,0.4808,0.4504
3395,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.448,0.5264,0.438133334,0.5376,0.4648,0.5296,0.4712,0.5312,0.4648,0.5256,0.4768,0.508,0.4016,0.54,0.4568,0.4824,0.4768,0.4144,0.444,0.468
3396,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.448,0.5336,0.434933334,0.5456,0.4616,0.5336,0.468,0.5328,0.4512,0.5232,0.4632,0.5192,0.3952,0.5488,0.4528,0.4888,0.5008,0.3952,0.42,0.4672
3397,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4544,0.5048,0.436533334,0.5184,0.4584,0.5032,0.4592,0.5032,0.4392,0.5024,0.452,0.492,0.3968,0.5224,0.4552,0.4688,0.5208,0.3424,0.4096,0.44
3398,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4664,0.4424,0.446666666,0.452,0.4576,0.4392,0.4496,0.4392,0.4344,0.4368,0.448,0.4288,0.416,0.4576,0.456,0.4112,0.5304,0.2872,0.4112,0.3776
3399,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4896,0.3464,0.4704,0.3528,0.4736,0.3312,0.4536,0.3392,0.4384,0.3344,0.452,0.3288,0.448,0.3584,0.452,0.3176,0.5408,0.22,0.4232,0.284
3400,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5224,0.2176,0.5032,0.2232,0.4992,0.2048,0.472,0.208,0.456,0.2024,0.4648,0.1984,0.488,0.2288,0.452,0.1952,0.5528,0.1384,0.4416,0.1672
3401,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5496,0.0808,0.5296,0.0832,0.5176,0.0736,0.4832,0.072,0.4712,0.0664,0.4776,0.064,0.5216,0.0888,0.46,0.064,0.5512,0.0472,0.4728,0.0488
3402,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.564,0.0032,0.547466666,0.0032,0.5288,0.0016,0.4888,0.0016,0.48,0.0008,0.4896,0.0008,0.5496,0.0048,0.4736,0.0008,0.5392,0.0,0.4968,0.0
3403,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5776,0.0,0.5664,0.0,0.5448,0.0,0.504,0.0,0.492,0.0,0.5048,0.0,0.5768,0.0,0.4936,0.0,0.5144,0.0,0.5168,0.0
3404,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.588,0.0,0.578933334,0.0,0.5536,0.0,0.5208,0.0,0.5032,0.0,0.5176,0.0,0.5952,0.0,0.5096,0.0,0.4896,0.0,0.5312,0.0
