,SVG BRB link,LCA BRB link,SKN ATG link
4538,0.4935959363215794,-22.90539390448237,-9.978308213273209
4539,0.4935959363215794,-22.90539390448237,-9.930708213273213
4540,0.39359593632157797,-22.90539390448237,-10.035308213273208
4541,1.5935959363215773,-22.90539390448237,-8.393308213273212
4542,2.5640759363215757,-4.9645644142485,-6.215008213273212
4543,4.88631593632158,-22.90539390448237,-1.867188213273213
4544,6.500635936321579,-22.90539390448237,0.43537178672679033
4545,6.93511593632158,-22.90539390448237,0.9359317867267904
4546,7.1998359363215805,-9.279835936321579,8.388838449086546
4547,8.075355936321579,-2.2473559363215827,6.498602198665338
4548,8.266715936321578,-1.3427159363216,8.937816026698485
4549,7.780395936321579,-8.068395936321576,21.367556586404074
4550,7.43511593632158,-22.90539390448237,18.907421776512
4551,6.805675936321581,-22.90539390448237,24.251073863421325
4552,5.303795936321578,-22.90539390448237,-1.810908213273212
4553,5.196395936321576,-22.90539390448237,-2.754008213273206
4554,6.493595936321579,-22.90539390448237,-0.7594082132732112
4555,7.393595936321578,-22.90539390448237,1.0230917867267877
4556,6.693595936321579,-22.90539390448237,0.14369178672679084
4557,5.393595936321578,-22.90539390448237,-24.251073863421325
4558,4.493595936321579,-22.90539390448237,-24.251073863421325
4559,2.9935959363215794,-22.90539390448237,-24.251073863421325
4560,2.0935959363215773,-22.90539390448237,-7.20790821327321
4561,1.1935959363215787,-22.90539390448237,-8.46710821327321
4562,0.7935959363215765,-22.90539390448237,-9.242708213273211
4563,0.4935959363215794,-22.90539390448237,-9.514708213273213
4564,0.7935959363215765,-22.90539390448237,-8.94770821327321
4565,1.9935959363215794,-22.90539390448237,-23.184949443255892
4566,3.2604759363215763,-22.90539390448237,-4.80100821327321
4567,5.6733559363215775,-22.90539390448237,-1.6070082132732182
4568,7.572555936321578,-22.90539390448237,1.0546917867267922
4569,8.17535593632158,-3.8224242176205294,3.1535717867267934
4570,7.912715936321575,-5.055529420703664,3.4613717867267866
4571,8.370955936321575,-5.251317188612511,4.3306917867267885
4572,8.75727593632158,-3.5399639134141054,24.251073863421325
4573,8.481755936321576,-12.081755936321564,24.251073863421325
4574,7.7371959363215765,-22.90539390448237,24.251073863421325
4575,15.266356095517633,-22.90539390448237,1.684791786726791
4576,15.266356095517633,-22.90539390448237,0.1568917867267885
4577,6.0675959363215775,-22.90539390448237,-0.8059082132732129
4578,-11.201324382070535,-22.90539390448237,0.3232917867267915
4579,8.193595936321579,-22.90539390448237,3.0362917867267853
4580,7.893595936321578,-18.253028855821377,1.3844917867267839
4581,6.193595936321579,-22.12052814156837,-0.7394918427643518
4582,5.393595936321578,-21.61452757016597,-1.6775082132732138
4583,4.093595936321577,-22.90539390448237,-3.838708213273211
4584,2.5935959363215773,-22.90539390448237,-6.222108213273209
4585,1.5935959363215773,-22.90539390448237,-7.023308213273211
4586,0.6935959363215787,-22.90539390448237,-24.251073863421325
4587,0.6935959363215787,-22.90539390448237,-24.251073863421325
4588,0.893595936321578,-22.90539390448237,-24.251073863421325
4589,2.0935959363215773,-22.90539390448237,-24.251073863421325
4590,3.257595936321575,-22.90539390448237,-5.204708213273211
4591,4.961115936321576,-22.90539390448237,-2.252708213273209
4592,7.1559959363215775,-22.90539390448237,0.6906917867267879
4593,7.865275936321577,-20.39727593632158,3.08253178672679
4594,7.699755936321576,-6.619755936321592,2.803811786726783
4595,8.555115936321581,-5.47511593632159,3.6959317867267956
4596,8.652235936321578,-9.67223593632157,24.251073863421325
4597,8.080315936321579,-21.652315936321568,3.9404117867267914
4598,15.266356095517633,-22.90539390448237,1.5310917867267975
4599,6.445595936321578,-22.90539390448237,0.6603917867267839
4600,6.13359593632158,-22.90539390448237,2.342724583782058
4601,-2.6646060955176516,-22.90539390448237,-1.3777082132732055
4602,6.2935959363215765,-22.90539390448237,-0.13290821327321112
4603,8.793595936321577,-22.90539390448237,2.73549178672679
4604,7.393595936321578,-22.90539390448237,1.4768917867267888
4605,6.7935959363215765,-22.90539390448237,-0.7853082132732112
4606,5.393595936321578,-22.90539390448237,24.251073863421325
4607,4.093595936321577,-22.90539390448237,-3.30410821327321
4608,2.4935959363215794,-22.90539390448237,-5.2917082132732105
4609,1.893595936321578,-22.90539390448237,-24.251073863421325
4610,1.2935959363215765,-22.90539390448237,-24.251073863421325
4611,1.393595936321578,-22.90539390448237,-24.251073863421325
4612,1.4935959363215794,-22.90539390448237,-7.266708213273208
4613,2.4935959363215794,-22.90539390448237,-5.886908213273209
4614,3.1561559363215785,-22.90539390448237,-4.409808213273212
4615,5.566155936321579,-22.90539390448237,-1.8323082132732118
4616,7.27399593632158,-22.90539390448237,1.6209317867267856
4617,8.001275936321576,-22.90539390448237,9.483555594556282
4618,8.255195936321577,-11.595195936321595,20.814738246458383
4619,8.533595936321579,-3.7295959363215623,4.40121178672679
4620,9.024955936321579,-0.08495593632159526,4.0119717867267894
4621,8.746555936321577,-9.866555936321582,4.13301178672679
4622,8.486155936321577,-22.90539390448237,3.4883317867267962
4623,8.039435936321578,-22.90539390448237,1.9104917867267872
4624,7.230875936321578,-22.90539390448237,0.9367917867267863
4625,5.85319593632158,-22.90539390448237,-0.5603082132732098
4626,6.49179593632158,-22.90539390448237,0.08869178672679112
4627,7.993595936321579,-22.90539390448237,24.251073863421325
