,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind
0,-0.0,1.2474,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,95.63901856760549,-0.0,-0.0,-0.0,9.0,153.02969452730323,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,-0.0,120.60000000000001,-0.0,-0.0,26.599644479192538,-0.0,-0.0,38.19659954849938
1,-0.0,1.2562,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,96.1468363653096,-0.0,-0.0,-0.0,9.0,105.22227334707617,-0.0,-0.0,60.0,80.09541520791902,-0.0,9.407394778338148,-0.0,71.82825,-0.0,-0.0,41.376599548499385,-0.0,-0.0,12.803400451500618
2,-0.0,1.2298000000000002,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,95.80829116684019,-0.0,-0.0,-0.0,9.0,101.22227334707617,-0.0,-0.0,60.0,62.74990923561092,-0.0,9.407394778338148,-0.0,118.65,-0.0,-0.0,8.000355520807464,-0.0,-0.0,12.20340045150062
3,-0.0,1.2188,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,95.4697459683708,-0.0,-0.0,-0.0,9.0,139.74439331959047,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,-0.0,-0.0,-0.0,-0.0,48.6928435761913,-0.0,-0.0,11.40340045150062
4,-0.0,1.2518,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,95.13120076990141,-0.0,-0.0,-0.0,9.0,96.82227334707616,-0.0,-0.0,60.0,78.19541520791901,-0.0,9.407394778338148,-0.0,68.92824999999999,-0.0,-0.0,16.68340045150062,-0.0,-0.0,35.29659954849938
5,-0.0,1.276,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,92.25356658291152,-0.0,-0.0,-0.0,9.0,137.6443933195905,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,-0.0,98.28530120771276,-0.0,-0.0,48.6928435761913,-0.0,-0.0,11.603400451500619
6,-0.0,1.2672,36.0,0.33268514964537566,1.4727347826086956,0.00025,-0.0,60.0,88.69884199898281,2.6070816842258697,-0.0,-0.0,9.0,90.93846745730896,0.8838058897672056,-0.0,60.0,34.22815923561093,-0.0,9.407394778338148,5.7,115.95,-0.0,0.13884240182051816,-0.0,-0.0,-0.0,17.464913570487564
7,0.2535,1.2474,36.0,50.568142746097095,1.4727347826086956,0.0355,-0.0,60.0,86.15975301046231,7.8096898945349835,-0.0,-0.0,9.0,129.7504325826871,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,86.07,55.201750000000004,-0.0,-0.0,7.100355520807462,-0.0,1.8210173904969653,9.082383061003654
8,-0.0,-0.0,36.0,37.32310492108967,1.4727347826086956,-0.0,-0.0,60.0,-0.0,291.1241214052221,-0.0,-0.0,9.0,-0.0,70.8556066804095,-0.0,60.0,-0.0,30.661518184687708,9.407394778338148,29.921749999999975,118.05000000000001,-0.0,-0.0,14.76699657173069,-0.0,-0.0,12.603400451500619
9,0.8145,1.1616000000000002,36.0,38.618638979060684,1.4727347826086956,0.12975,-0.0,60.0,81.7586654303601,35.14411080797052,-0.0,-0.0,9.0,114.62227334707619,-0.0,-0.0,60.0,31.21191520791901,-0.0,9.407394778338148,155.37175,-0.0,-0.0,17.21659954849938,-0.0,-0.0,7.919980396764579,6.18342005473604
10,-0.0,-0.0,36.0,99.29682044122916,1.4727347826086956,-0.0,-0.0,60.0,74.8184888617374,98.47873489993196,-0.0,-0.0,9.0,110.88894001374284,-0.0,-0.0,60.0,41.32815923561094,-0.0,9.407394778338148,45.871750000000006,116.7,-0.0,10.100355520807462,-0.0,-0.0,10.058953204649903,5.444447246850714
11,-0.0,-0.0,36.0,149.14229591583708,1.4727347826086956,0.13677898550724588,-0.0,60.0,-0.0,155.86944290499727,-0.0,-0.0,9.0,130.1222733470762,-0.0,-0.0,60.0,-0.0,35.311915207919014,9.407394778338148,50.621750000000006,113.55,-0.0,19.016599548499382,-0.0,-0.0,11.24405976037015,4.85934069113047
12,-0.0,0.9394,36.0,117.20620492108968,1.4727347826086956,0.1775,-0.0,60.0,60.2610453275532,77.00839757744407,-0.0,-0.0,9.0,-0.0,131.42227334707616,-0.0,60.0,-0.0,35.91191520791901,9.407394778338148,188.51374689461798,-0.0,-0.0,-0.0,19.016599548499382,-0.0,-0.0,16.503400451500617
13,-0.0,-0.0,36.0,76.38229591583708,1.4727347826086956,-0.0,-0.0,60.0,56.367775545155105,62.3350006931755,-0.0,-0.0,9.0,122.52227334707617,-0.0,-0.0,60.0,-0.0,33.211915207919006,9.407394778338148,257.37175,104.1,-0.0,17.81659954849938,-0.0,-0.0,10.492528773815847,4.210871677684771
14,0.8474999999999999,0.7348000000000001,36.0,74.46857008750673,1.4727347826086956,0.14225,-0.0,60.0,55.859957747451006,409.5039326808851,-0.0,-0.0,9.0,141.6341885549952,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,266.19,87.48175,-0.0,16.81659954849938,-0.0,-0.0,-0.0,13.603400451500619
15,0.54,0.6622,36.0,20.892841455721918,1.4727347826086956,0.095,-0.0,60.0,57.04486594209391,256.2484508406379,-0.0,-0.0,9.0,50.89833786176146,82.63585069323372,-0.0,60.0,-0.0,-0.0,9.407394778338148,181.83,94.35,-0.0,-0.0,-0.0,-0.0,-0.0,29.12
16,-0.0,-0.0,36.0,53.2296239432601,1.4727347826086956,-0.0,-0.0,60.0,58.399046735971496,168.59128224660623,-0.0,-0.0,9.0,61.26076719331957,38.666507677315245,-0.0,60.0,-0.0,23.235681749333654,9.407394778338148,78.09,90.89999999999999,-0.0,11.454498150192748,-0.0,-0.0,3.0639340221060047,9.439466429394614
17,0.024,0.6336,36.0,3.3268514964537563,1.4727347826086956,0.00275,-0.0,60.0,59.9225001290838,10.428326736903479,-0.0,-0.0,9.0,136.47830055763433,-0.0,-0.0,60.0,-0.0,2.1558879973608542,9.407394778338148,4.5600000000000005,89.85,-0.0,-0.0,-0.0,-0.0,-0.0,29.220000000000002
18,-0.0,0.6886000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,61.7844987206655,-0.0,-0.0,-0.0,9.0,176.04439331959048,-0.0,-0.0,60.0,47.4732952354047,-0.0,9.407394778338148,-0.0,92.25,-0.0,-0.0,44.376599548499385,-0.0,-0.0,17.303400451500618
19,-0.0,0.7524000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,64.323587709186,-0.0,-0.0,-0.0,9.0,182.74439331959047,-0.0,-0.0,60.0,41.85705120771278,-0.0,9.407394778338148,-0.0,95.85000000000001,-0.0,-0.0,52.992843576191305,-0.0,-0.0,18.303400451500618
20,-0.0,0.8140000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,68.38613009081881,-0.0,-0.0,-0.0,9.0,141.02227334707618,-0.0,-0.0,60.0,38.71191520791901,-0.0,9.407394778338148,-0.0,98.85000000000001,-0.0,-0.0,52.992843576191305,-0.0,-0.0,17.803400451500618
21,-0.0,0.8778000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,72.2793998732169,-0.0,-0.0,-0.0,9.0,136.22227334707617,-0.0,-0.0,60.0,89.09541520791902,-0.0,9.407394778338148,-0.0,-0.0,-0.0,-0.0,11.100355520807462,-0.0,-0.0,17.303400451500618
22,-0.0,0.935,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,74.98776146097211,-0.0,-0.0,-0.0,9.0,173.54439331959048,-0.0,-0.0,60.0,33.185301207712776,-0.0,9.407394778338148,-0.0,94.8,-0.0,-0.0,28.499644479192536,-0.0,-0.0,40.69659954849938
23,-0.0,0.9614,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,77.865395647962,-0.0,-0.0,-0.0,9.0,162.3443933195905,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,-0.0,-0.0,-0.0,-0.0,27.099644479192534,-0.0,-0.0,38.99659954849938
24,-0.0,0.9460000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,79.558121640309,-0.0,-0.0,-0.0,9.0,149.1443933195905,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,36.79659954849938
25,-0.0,0.8954,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,79.7273942395437,-0.0,-0.0,-0.0,9.0,100.02227334707615,-0.0,-0.0,60.0,78.99541520791902,-0.0,9.407394778338148,-0.0,70.12825000000001,-0.0,-0.0,16.983400451500618,-0.0,-0.0,35.596599548499384
26,-0.0,0.8360000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,78.54248604490081,-0.0,-0.0,-0.0,9.0,96.12227334707617,-0.0,-0.0,60.0,78.295415207919,-0.0,9.407394778338148,-0.0,76.5,-0.0,-0.0,31.704849548499386,-0.0,-0.0,11.003400451500617
27,-0.0,0.7766000000000001,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,76.5112148540844,-0.0,-0.0,-0.0,9.0,94.62227334707617,-0.0,-0.0,60.0,64.2074211802271,-0.0,9.407394778338148,-0.0,73.2,-0.0,-0.0,24.499644479192536,-0.0,-0.0,34.69659954849938
