,ATG Storage,BRB Storage,DMA Storage,GLP Storage,GRD Storage,LCA Storage,MSR Storage,MTQ Storage,SKN Storage,SVG Storage
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,18.50143782500743,-0.0,-0.0,-0.0,-0.0,-0.0,0.37861594202898513,-0.0,-0.0,-0.0
8,-0.0,-0.0,0.36666666666666714,154.52134516689154,-0.0,-0.0,0.37861594202898513,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,70.0,-0.0,20.0,-0.0,-0.0,-0.0,0.0667789855072457,-0.0,-0.0,-0.0
11,70.0,-0.0,20.0,-0.0,-0.0,-0.0,0.37861594202898513,-0.0,31.50596998025465,-0.0
12,70.0,20.841996894617978,-0.0,-0.0,-0.0,-0.0,0.37861594202898513,-0.0,-0.0,-0.0
13,-0.0,200.0,-0.0,-0.0,-0.0,-0.0,0.31183695652173915,-0.0,31.50596998025465,-0.0
14,19.768492709501174,200.0,20.0,320.0,-0.0,-0.0,0.37861594202898513,-0.0,31.50596998025465,-0.0
15,-0.0,128.10825,20.0,175.3294263543957,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-0.0,19.718249999999998,20.0,74.38671772819188,-0.0,-0.0,-0.0,-0.0,31.50596998025465,-0.0
17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,-0.0,-0.0,-0.0,54.931821684289346,-0.0,-0.0,0.255586956521739,-0.0,-0.0,-0.0
32,-0.0,-0.0,20.0,-0.0,-0.0,-0.0,0.0805869565217392,-0.0,31.50596998025465,-0.0
33,70.0,-0.0,-0.0,314.3776788845079,-0.0,-0.0,0.06533695652173899,122.67340563765799,-0.0,-0.0
34,24.300378049062203,-0.0,20.0,320.0,-0.0,-0.0,0.05508695652173912,-0.0,22.36750928813024,-0.0
35,70.0,7.239424178904869,20.0,-0.0,-0.0,3.4119152079190087,0.039336956521739186,-0.0,29.846161176807946,-0.0
36,70.0,200.0,20.0,320.0,-0.0,-0.0,-0.0,116.48660541993615,29.56786117680795,-0.0
37,70.0,200.0,20.0,320.0,-0.0,-0.0,0.006086956521738962,7.158002463618374,-0.0,-0.0
38,70.0,168.17825000000005,20.0,16.80345050663641,-0.0,-0.0,0.011836956521739106,-0.0,29.87046117680795,-0.0
39,45.69962195093778,84.03824999999995,-0.0,144.84243250725655,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
41,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
43,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
