name,bus,p_nom_max,max_hours,p_nom_extendable,cyclic_state_of_charge,capital_cost,build_year,p_nom_opt
SKN Storage,SaintKittsNevis,45.0,8.0,True,True,74493.0,0,11.47703978960961
ATG Storage,Antigua,70.0,8.0,True,True,74493.0,0,70.0
MSR Storage,Montserrat,3.0,8.0,True,True,74493.0,0,0.8109311826288622
GLP Storage,Guadeloupe,320.0,8.0,True,True,74493.0,0,230.53870429831977
DMA Storage,Dominica,21.0,8.0,True,True,74493.0,0,-0.0
MTQ Storage,Martinique,240.0,8.0,True,True,74493.0,0,174.79702885045467
LCA Storage,SaintLucia,75.0,8.0,True,True,74493.0,0,24.66198480320405
BRB Storage,Barbados,190.0,8.0,True,True,74493.0,0,190.0
SVG Storage,SaintVincentGrenadines,30.0,8.0,True,True,74493.0,0,9.240728984984596
GRD Storage,Grenada,45.0,8.0,True,True,74493.0,0,15.099953982758977
