,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,SVG Electrolyzer,SVG Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,MSR Electrolyzer,MSR Fuel Cell
0,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,0.2060577957726224,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,2.260985618167397,-0.0,-0.0,-0.0
11,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,2.260985618167397,-0.0,-0.0,-0.0
12,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,2.260985618167397,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,2.2343999522717404,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,29.746391917535238,-0.0,11.734231080921946,-0.0,4.195423834895988,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9051613970269088,-0.0,0.5883793418068752,-0.0,2.3500788687641054,-0.0,-0.0,6.456390221782588,-0.0,-0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.374964734043882,-0.0,3.9559687484736195,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.251483526160582,-0.0,4.199470089636032,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.434021296814737,-0.0,3.695137650410973,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.153109947142215,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.9907757197006055,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7061314198285196,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09938161518011412,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,21.659789470287237,-0.0,-0.0,-0.0,-0.0,0.7384620426615651,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4025148823816855,-0.0,2.0819044008533716,2.3500788687641054,-0.0,-0.0,-0.0,-0.0,-0.0
