,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
12,-0.0,57.8528889975259,9.216624784036298,-0.0,-0.0,6.872567713976181,109.58743228602383,-0.0,-0.0,1.8504569930565398,-0.0,-0.0,-0.0,76.74282298701542,377.0293713201983,-0.0,6.6,6.9,-0.0,113.39999999999999,329.3021204240849,-0.0,-0.0,-0.0,50.6,-0.0,-0.0,274.975,54.525,-0.0,10.120206273967275,19.065578688908378,-0.0,-0.0,-0.0,28.4,-0.0
13,-0.0,54.70168414989531,8.245317722486806,-0.0,-0.0,12.30398699891657,102.58601300108343,-0.0,-0.0,1.7462058948561716,-0.0,-0.0,-0.0,71.78471925470825,367.13816867753883,-0.0,6.6,6.300000000000001,-0.0,109.2,306.5749549909982,-0.0,-0.0,-0.0,52.87001772074557,39.403358934567976,-0.0,292.0653474625144,31.2346525374856,-0.0,9.65467678536478,18.484772980504548,-0.0,-0.0,15.847377539043984,10.752622460956017,-0.0
14,-0.0,45.6520702284946,7.209256856834013,-0.0,-0.0,14.95,87.82215059588299,-0.0,1.4173704005479193,1.482971871900241,-0.0,-0.0,-0.0,71.1380100722334,310.7001300694227,-0.0,6.6,5.5,-0.0,107.2,258.21928385677137,-0.0,-0.0,-0.0,51.58050509341031,49.75923293759742,-0.0,238.86955738177625,49.5,-0.0,8.966502758735006,17.8787148499962,-0.0,-0.0,-0.0,25.5,-0.0
15,-0.0,29.088044747359394,6.496965011697718,-0.0,-0.0,13.8,63.46938786565547,-0.0,-0.0,0.9903854329035002,-0.0,-0.0,-0.0,72.64699816467471,232.15234437771474,-0.0,6.6,5.0,-0.0,108.2,180.85021004200843,-0.0,-0.0,-0.0,50.77455970132578,37.92135090808835,-0.0,163.16785611303345,47.175,-0.0,6.800778616106009,17.398918830010427,-0.0,-0.0,-0.0,24.8,-0.0
16,-0.0,12.685619514820624,6.086857585710154,-0.0,-0.0,13.15,24.352762730227518,-0.0,1.5,0.3805165084313448,-0.0,-0.0,-0.0,74.37155598460762,112.87607721623222,-0.0,6.6,5.300000000000001,-0.0,111.80000000000001,84.62242448489698,-0.0,-0.0,-0.0,50.77455970132578,19.462280624786086,-0.0,70.07522347174165,45.449999999999996,-0.0,3.3396680704092008,17.196899453174314,-0.0,-0.0,-0.0,24.4,-0.0
17,-0.0,1.2928019887715287,6.2163651939167535,10.0,-0.0,13.25,1.5220476706392199,-0.0,1.5,0.028669052005101323,-0.0,15.0,-0.0,76.31168353203218,6.982025394818488,-0.0,6.6,5.300000000000001,-0.0,115.8,6.28623724744949,-0.0,-0.0,-0.0,51.74169417182722,1.8057786146708739,-0.0,4.091983852364476,44.925,-0.0,0.3440870133148874,17.323161563696885,-0.0,-0.0,-0.0,24.6,-0.0
18,-0.0,-0.0,6.755980228110917,-0.0,19.39566815527313,13.850000000000001,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,78.68295053443995,-0.0,-0.0,6.6,7.4,-0.0,119.6,-0.0,-0.0,-0.0,-0.0,53.031206799162476,-0.0,-0.0,-0.0,46.125,-0.0,-0.0,17.65144305105557,-0.0,-0.0,-0.0,29.2,-0.0
19,-0.0,-0.0,7.381933667776146,-0.0,-0.0,14.85,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,81.91649644681421,-0.0,-0.0,6.6,7.9,-0.0,123.8,-0.0,-0.0,-0.0,-0.0,54.48190850491464,-0.0,-0.0,-0.0,47.925000000000004,-0.0,-0.0,18.10598664893683,-0.0,-0.0,-0.0,30.2,-0.0
20,-0.0,-0.0,7.986302506073607,-0.0,-0.0,16.0,-0.0,-0.0,1.5,-0.0,-0.0,15.0,20.512418339762714,87.090169906613,-0.0,-0.0,6.6,7.9,-0.0,128.0,-0.0,-0.0,-0.0,-0.0,55.44904297541608,-0.0,-0.0,-0.0,49.425000000000004,-0.0,-0.0,18.409015714191003,-0.0,-0.0,-0.0,29.7,-0.0
21,-0.0,-0.0,8.612255945738836,10.0,-0.0,17.1,-0.0,-0.0,1.1383381158188073,-0.0,-0.0,15.0,-0.0,92.04827363892018,-0.0,-0.0,6.6,7.4,-0.0,130.8,-0.0,-0.0,-0.0,-0.0,55.9326102106668,-0.0,-0.0,-0.0,49.125,-0.0,-0.0,18.43426813629552,-0.0,-0.0,-0.0,29.2,-0.0
22,-0.0,-0.0,9.173455581300765,-0.0,-0.0,18.25,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,95.49738927878603,-0.0,-0.0,6.6,7.200000000000001,-0.0,131.6,-0.0,-0.0,-0.0,-0.0,55.44904297541608,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,18.131239071041346,-0.0,-0.0,-0.0,28.8,-0.0
23,-0.0,-0.0,9.432470797713963,-0.0,-0.0,18.95,-0.0,-0.0,1.5,-0.0,-0.0,15.0,20.512418339762714,99.16207464614352,-0.0,-0.0,6.6,6.300000000000001,-0.0,131.4,-0.0,-0.0,-0.0,-0.0,55.04607027937382,-0.0,-0.0,-0.0,45.449999999999996,-0.0,-0.0,17.82821000578717,-0.0,-0.0,-0.0,27.1,-0.0
24,-0.0,-0.0,9.281378588139598,7.683864764570339,-0.0,19.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,101.31777192105967,-0.0,-0.0,6.6,5.6,-0.0,128.8,-0.0,-0.0,-0.0,-0.0,53.67596311283011,-0.0,-0.0,-0.0,43.199999999999996,-0.0,-0.0,17.29790914159237,-0.0,-0.0,-0.0,24.9,-0.0
25,-0.0,-0.0,8.784932756680968,-0.0,-0.0,18.9,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,101.53334164855129,-0.0,-0.0,6.6,4.9,-0.0,124.2,-0.0,-0.0,-0.0,-0.0,51.01634331895114,-0.0,-0.0,-0.0,40.650000000000006,-0.0,-0.0,16.36356952372534,-0.0,-0.0,-0.0,23.7,-0.0
26,-0.0,-0.0,8.202148519751272,10.0,-0.0,18.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,100.02435355610999,-0.0,-0.0,6.6,4.700000000000001,-0.0,118.8,-0.0,-0.0,-0.0,-0.0,48.19553444665526,-0.0,-0.0,-0.0,38.25,-0.0,-0.0,15.378725061649275,-0.0,-0.0,-0.0,22.9,-0.0
27,-0.0,-0.0,7.619364282821576,-0.0,-0.0,17.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,20.512418339762714,97.43751682621058,-0.0,-0.0,6.6,4.300000000000001,-0.0,114.8,-0.0,-0.0,-0.0,-0.0,46.18067096644391,-0.0,-0.0,-0.0,36.6,-0.0,-0.0,14.67165724272287,-0.0,-0.0,-0.0,22.8,-0.0
28,-0.0,-0.0,7.187672255466247,10.0,-0.0,16.400000000000002,-0.0,-0.0,1.44,-0.0,-0.0,15.0,20.512418339762714,94.63511036881957,-0.0,-0.0,6.6,4.700000000000001,-0.0,111.00000000000001,-0.0,-0.0,-0.0,-0.0,45.13294195673403,-0.0,-0.0,-0.0,35.475,-0.0,-0.0,14.1918612227371,-0.0,-0.0,-0.0,23.5,-0.0
29,-0.0,-0.0,6.626472619904317,10.0,-0.0,15.299999999999999,-0.0,-0.0,1.5,-0.0,-0.0,15.0,20.512418339762714,88.16801854407107,-0.0,-0.0,6.6,5.1,-0.0,102.8,-0.0,-0.0,-0.0,-0.0,42.79570031968887,-0.0,-0.0,-0.0,33.75,-0.0,-0.0,13.51004582591521,-0.0,-0.0,-0.0,24.4,-0.0
30,-0.0,-0.0,6.1516113898134535,10.0,27.15559046587216,14.6,0.304409534127844,-0.0,1.4873937225449907,0.002606277455009211,-0.0,15.0,20.512418339762714,82.34763590179745,1.745506348704622,-0.0,6.6,5.9,-0.0,93.8,3.868453690738148,-0.0,-0.0,-0.0,40.05548598660145,1.003210341483819,-0.0,10.741457612456749,31.349999999999998,-0.0,0.18216371293141093,13.004997383824922,-0.0,-0.0,-0.0,25.5,-0.0
