,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,12.238220740312686,-0.0,-0.0,43.24,-0.0,-0.0,-0.0,0.7268078764646403,15.0,-0.0,62.16759967337588,-0.0,-0.0,6.6,5.922655122655124,0.07734487734487594,179.9,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,-0.0,-0.0,119.5,-0.0,18.0,-0.0,-0.0,-0.0,17.095602766419024,-0.0
1,-0.0,12.324557394565334,-0.0,-0.0,40.88,-0.0,-0.0,-0.0,0.7346652589129067,8.714819142928945,-0.0,62.497693122969025,-0.0,-0.0,5.848917748917747,5.851082251082253,-0.0,168.9,-0.0,-0.0,-0.0,43.4,-0.0,-0.0,-0.0,-0.0,110.0,-0.0,17.0,-0.0,-0.0,-0.0,18.060881971655164,-0.0
2,-0.0,12.065547431807394,-0.0,-0.0,39.86,-0.0,-0.0,-0.0,0.7268078764646403,-0.0,-0.0,62.277630823240266,-0.0,-0.0,5.731024531024529,5.868975468975471,-0.0,164.9,-0.0,-0.0,-0.0,42.3,-0.0,-0.0,-0.0,-0.0,107.6,-0.0,16.6,-0.0,-0.0,-0.0,18.467315321228277,-0.0
3,-0.0,11.957626613991586,-0.0,-0.0,38.75,-0.0,-0.0,-0.0,0.7185139732057692,15.0,-0.0,62.0575685235115,-0.0,-0.0,5.577344877344876,5.922655122655124,-0.0,162.6,-0.0,-0.0,-0.0,42.9,-0.0,-0.0,-0.0,-0.0,108.5,-0.0,16.3,-0.0,-0.0,-0.0,20.450633378092306,-0.0
4,-0.0,12.28138906743901,-0.0,-0.0,38.97,-0.0,-0.0,-0.0,0.7206965785683562,-0.0,-0.0,61.837506223782746,-0.0,-0.0,5.4147186147186135,5.985281385281387,-0.0,160.5,-0.0,-0.0,-0.0,41.5,-0.0,-0.0,-0.0,-0.0,107.1,-0.0,16.1,-0.0,-0.0,-0.0,23.4,-0.0
5,-0.0,12.518814866633788,-0.0,-0.0,38.48,-0.0,-0.0,-0.0,0.7176409302749962,15.0,-0.0,59.96697667608825,-0.0,-0.0,5.266810966810965,5.833189033189035,-0.0,160.5,-0.0,-0.0,-0.0,42.1,-0.0,-0.0,-0.0,-0.0,106.5,-0.0,16.3,-0.0,-0.0,-0.0,23.5,-0.0
6,-0.0,12.432478212381142,-0.0,-0.0,37.25430371153641,0.03569628846359298,0.6988440835445515,0.00486453904224726,0.7062913774132011,15.0,-0.0,57.65632252893622,3.6363371484336517,-0.0,5.2352092352092345,5.564790764790766,-0.0,154.9576506779493,0.5423493220507187,-0.0,-0.0,40.7639842655915,0.13601573440849224,-0.0,-0.0,3.543583535108959,100.55641646489103,0.1017192936618177,15.398280706338182,-0.0,-0.0,0.027272787635908704,22.572727212364093,-0.0
7,17.807028193217096,6.022971806782902,-0.0,-0.0,32.434164153533864,5.425835846466133,-0.0,0.6907645439991108,0.6910131346368368,-0.0,-0.0,56.00585528097049,120.29414471902952,-0.0,5.632034632034631,5.367965367965369,-0.0,139.7889483892502,18.711051610749795,-0.0,-0.0,37.111480764519754,4.488519235480245,-0.0,-0.0,53.50811138014527,49.59188861985472,4.060888016016786,11.639111983983213,-0.0,-0.0,1.7181856210622481,21.081814378937754,-0.0
8,20.4683156889781,4.791684311021899,-0.0,-0.0,27.433513883888082,12.636486116111916,-0.0,1.316186360422149,0.2699447387861415,-0.0,-0.0,21.962217512930668,162.42305929670312,-0.0,6.549927849927849,5.350072150072151,-0.0,123.9341175833791,44.0658824166209,-0.0,-0.0,32.493323997142,11.606676002858006,-0.0,-0.0,62.57999999999999,47.220000000000006,4.719775225908341,11.937550752803295,-0.0,-0.0,4.6363738981044795,19.86362610189552,-0.0
9,45.48534616467867,11.39643836134938,-0.0,-0.0,28.022316278811633,18.77624773184991,-0.0,2.524695762926328,0.6469244882405987,-0.0,-0.0,21.258018153798623,224.9680582497619,-0.0,6.6,5.287445887445888,0.7125541125541117,112.13338270981232,66.16661729018769,-0.0,-0.0,28.76462293091974,18.679494192099604,-0.0,-0.0,69.92000000000002,47.279999999999994,7.832385611959963,12.14174569989072,-0.0,-0.0,7.472743812238985,19.45799661081274,-0.0
10,68.27783591245371,4.5182799940706815,-0.0,-0.0,39.054166551528915,32.21982999427264,-0.0,3.127898604164988,0.5738760372148737,-0.0,-0.0,48.63376824005689,340.6443295781608,-0.0,6.6,4.983261183261185,1.616738816738815,104.9340777093161,82.1659222906839,-0.0,-0.0,28.520164379098894,23.666737787077654,-0.0,-0.0,84.19554479418886,46.68,10.27364865984359,12.18886761075705,-0.0,-0.0,9.490930097296228,19.2801820203745,-0.0
11,69.98189714175317,3.9542187647712246,-0.0,-0.0,34.540831266092795,38.51316527970876,-0.0,3.4051773295730814,0.34659731180678,-0.0,-0.0,43.35227304656655,492.0477269534334,-0.0,6.6,4.571717171717173,2.6282828282828277,102.82090122599193,90.97909877400808,-0.0,-0.0,28.153476551367618,25.66163522506887,-0.0,-0.0,91.8496852300242,45.42,10.477087247167223,12.078916485402281,-0.0,-0.0,10.609114390368484,18.924552839498027,-0.0
