,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,1.2474,36.0,-0.0,1.1216232487074786,-0.0,0.2563767091980803,-0.0,60.0,114.90542793059412,-0.0,-0.0,-0.0,16.843088326735014,9.0,129.69835198905798,-0.0,-0.0,48.99434515270898,-0.0,-0.0,18.765655641336974,-0.0,120.60000000000001,-0.0,-0.0,31.37618965290765,-0.0,-0.0,32.56592942200117,0.7194797365857468
1,-0.0,1.2562,36.0,-0.0,1.1216232487074786,-0.0,0.259148349297519,-0.0,60.0,110.07080509721985,-0.0,-0.0,-0.0,16.639546473843957,9.0,116.642730516146,-0.0,-0.0,48.99434515270898,62.018719072197534,-0.0,18.765655641336974,-0.0,71.82825,-0.0,-0.0,36.41575718159893,-0.0,-0.0,16.995111104827334,0.7194797365857468
2,-0.0,1.2298000000000002,36.0,-0.0,1.1216232487074786,-0.0,0.2563767091980803,-0.0,60.0,115.10880036940932,-0.0,-0.0,-0.0,16.690431937066723,9.0,103.01466002224291,-0.0,-0.0,48.99434515270898,44.4889159067041,-0.0,18.765655641336974,-0.0,118.65,-0.0,-0.0,3.2238103470923467,-0.0,-0.0,16.395111104827336,0.7194797365857468
3,-0.0,1.2188,36.0,-0.0,1.1216232487074786,-0.0,0.2534510892470972,-0.0,60.0,108.27080509721986,-0.0,-0.0,-0.0,16.843088326735014,9.0,133.628675989239,-0.0,-0.0,48.99434515270898,-0.0,-0.0,18.765655641336974,-0.0,-0.0,-0.0,-0.0,43.64700797008149,-0.0,-0.0,15.595111104827335,0.7194797365857468
4,-0.0,1.2518,36.0,-0.0,1.1216232487074786,-0.0,0.25422098896675904,-0.0,60.0,114.2953106141485,-0.0,-0.0,-0.0,17.02118744801469,9.0,91.49385241366471,-0.0,-0.0,48.99434515270898,60.118719072197536,-0.0,18.765655641336974,-0.0,68.92824999999999,-0.0,-0.0,21.544938864425095,-0.0,-0.0,29.66592942200117,0.7194797365857468
5,-0.0,1.276,36.0,-0.0,1.1216232487074786,-0.0,0.2531431290820685,-0.0,60.0,110.83797915428991,-0.0,-0.0,-0.0,16.58866101062119,9.0,131.52867598923902,-0.0,-0.0,48.99434515270898,-0.0,-0.0,18.765655641336974,-0.0,97.82977281062195,-0.0,-0.0,43.64700797008149,-0.0,-0.0,15.795111104827335,0.7194797365857468
6,-0.0,1.2672,36.0,0.29786729984912286,1.1216232487074786,0.001813854776024461,0.24913964878445474,-0.0,60.0,96.5810642051036,2.4897408921162616,-0.0,-0.0,15.825379062279726,9.0,101.93075088773331,1.311979628412693,-0.0,48.99434515270898,15.967165906704112,-0.0,18.765655641336974,5.7,115.95,-0.0,0.07812600152115534,-0.0,-0.0,-0.0,16.940795450398525,0.7194797365857468
7,0.2535,1.2474,36.0,45.27582957706667,1.1216232487074786,0.25756737819547343,0.24375034889906172,-0.0,60.0,103.27080509721988,-0.0,-0.0,-0.0,15.265638966829318,9.0,122.90989642285011,-0.0,-0.0,48.99434515270898,-0.0,-0.0,18.765655641336974,86.07,55.201750000000004,-0.0,-0.0,2.3238103470923446,-0.0,3.228739088491758,11.866372016335578,0.7194797365857468
8,-0.0,-0.0,36.0,36.55237977835735,1.1216232487074786,0.6348491716085614,0.23805308838669992,-0.0,60.0,-0.0,278.0210662863159,-0.0,-0.0,15.214753503606554,9.0,-0.0,98.98263370534303,-0.0,48.99434515270898,-0.0,15.02398695660623,18.765655641336974,29.921749999999975,118.05000000000001,-0.0,-0.0,7.366989297190233,-0.0,-0.0,16.795111104827335,0.7194797365857468
9,0.8145,1.1616000000000002,36.0,38.23627977835734,1.1216232487074786,0.9413906287566953,0.2281983681871201,-0.0,60.0,98.22888794774683,12.80030695503331,-0.0,-0.0,15.036654382326878,9.0,109.28263370534304,-0.0,-0.0,48.99434515270898,13.03591511822155,-0.0,18.765655641336974,155.37175,-0.0,-0.0,12.355061135574909,-0.0,-0.0,14.042452543599074,4.2526585612282615,0.7194797365857468
10,-0.0,-0.0,36.0,99.90076958391762,1.1216232487074786,0.5562727405850141,0.20848892732602042,-0.0,60.0,89.8906179563232,81.18863403875825,-0.0,-0.0,14.171601507539885,9.0,118.08263370534303,-0.0,-0.0,48.99434515270898,23.067165906704112,-0.0,18.765655641336974,45.871750000000006,116.7,-0.0,5.323810347092346,-0.0,-0.0,17.83493972690685,1.8601713779204845,0.7194797365857468
11,1.0545,1.0076,36.0,151.7666101776794,1.1216232487074786,1.2696983432171227,0.18893346677840508,-0.0,60.0,-0.0,131.8479106439624,-0.0,-0.0,13.001235853416302,9.0,141.542730516146,-0.0,-0.0,48.99434515270898,-0.0,17.13591511822155,18.765655641336974,50.621750000000006,113.55,-0.0,14.15506113557491,-0.0,-0.0,19.93618262576657,0.35892847906076586,0.7194797365857468
