,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,MSR wind,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,BRB biomass,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,-0.0,3.724339592020182,23.225660407979817,29.915,13.325000000000001,-0.0,0.18148706896551725,1.35,-0.0,0.08851293103448286,41.750000000000014,15.0,45.0,84.74999999999999,-0.0,10.0,3.5999999999999996,9.0,22.600000000000016,70.89999999999999,-0.0,41.4,45.0,1.454737687366162,18.945262312633837,-0.0,27.0,78.948,-0.0,30.552000000000003,10.0,-0.0,-0.0,14.820021299254527,3.1799787007454725,1.2929832289580503,-0.0,8.51986806946304,16.48714870157891
1,-0.0,-0.0,3.7506135926693545,21.529386407330648,27.28,13.600000000000001,-0.0,0.09053017241379302,1.35,-0.0,0.089469827586207,27.900000000000006,15.0,45.0,85.19999999999999,-0.0,10.0,2.6999999999999993,9.0,12.70000000000001,69.8,-0.0,41.4,45.0,-0.0,18.720021413276232,-0.0,24.679978586723767,69.638,-0.0,30.362000000000002,10.0,-0.0,-0.0,14.706602768903089,2.293397231096911,-0.0,-0.0,9.00093045674327,15.69906954325673
2,-0.0,-0.0,3.671791590721838,21.338208409278163,26.36,13.5,-0.0,0.061487068965517144,1.35,-0.0,0.08851293103448286,28.40000000000002,15.0,45.0,84.89999999999999,-0.0,10.0,2.5999999999999996,9.0,9.400000000000013,69.1,-0.0,41.4,45.0,-0.0,18.369646680942186,-0.0,23.93035331905781,67.542,-0.0,30.058,10.0,-0.0,-0.0,14.366347177848775,2.2336528221512264,-0.0,-0.0,9.203483040861261,14.89651695913874
3,-0.0,-0.0,3.6389490899103722,21.041050910089627,25.549999999999997,13.200000000000001,-0.0,0.022497126383620447,1.35,-0.0,0.08750287361637941,26.700000000000017,15.0,45.0,84.6,-0.0,10.0,2.5,9.0,6.899999999999999,69.3,-0.0,41.4,45.0,-0.0,18.24451284796574,-0.0,24.655487152034258,68.67,-0.0,29.830000000000002,10.0,-0.0,-0.0,14.063897763578275,2.2361022364217256,-0.0,-0.0,9.444014234501378,13.855985765498623
4,-0.0,-0.0,3.737476592344768,19.992523407655234,25.97,13.0,-0.0,0.022231321892241196,1.35,-0.0,0.08776867810775872,22.0,15.0,45.0,84.30000000000001,-0.0,10.0,2.4000000000000004,9.0,4.20000000000001,69.89999999999999,-0.0,41.4,45.0,-0.0,18.319593147751608,-0.0,23.180406852248392,67.49799999999999,-0.0,29.602,10.0,-0.0,-0.0,14.044994675186368,2.0550053248136333,-0.0,-0.0,8.51986806946304,14.880131930536958
5,-0.0,-0.0,3.8097300941299923,20.340269905870006,25.504999999999995,12.975,-0.0,-0.0,1.332603448275862,-0.0,0.08739655172413803,23.349999999999994,15.0,45.0,81.75,-0.0,10.0,2.0999999999999996,9.0,5.600000000000001,68.5,-0.0,41.4,45.0,-0.0,18.119379014989295,-0.0,23.980620985010706,67.164,-0.0,29.336000000000002,10.0,-0.0,-0.0,13.931576144834931,2.3684238551650694,-0.0,-0.0,9.00093045674327,14.49906954325673
6,-0.0,-0.0,3.7834560934808197,19.55654390651918,24.29546982167352,12.950000000000001,0.04453017832647462,-0.0,1.322985632237069,0.001,0.08601436776293113,23.213043478260843,15.0,45.0,78.60000000000001,0.2869565217391305,10.0,1.8000000000000007,9.0,2.7586805555555642,65.8,0.5413194444444445,41.4,45.0,-0.0,17.79403104925054,0.05099966189563846,23.054969288853822,63.306,1.42,29.374000000000002,10.0,-0.0,0.01403135857830066,13.855963791267305,1.6300048501543942,-0.0,0.009951495922725411,9.203483040861261,13.386565463216014
7,-0.0,1.4661846429892764,3.724339592020182,18.63947576499054,18.416412894375856,12.675,6.768587105624142,-0.0,1.183846264314655,0.142,0.08415373568534491,15.602173913043487,15.0,45.0,76.35,14.347826086956525,10.0,2.0,9.0,-0.0,63.7,18.675520833333334,31.12447916666666,45.0,-0.0,17.61884368308351,1.682988842556069,22.29816747436042,42.05599999999999,21.442,29.602,10.0,-0.0,0.63842681531268,14.007188498402556,1.0543846862847635,-0.0,0.6269442431317008,9.444014234501378,12.729041522366922
8,-0.0,3.322773480857354,3.6455175900726653,18.291708929069983,12.006316872427984,12.3,15.763683127572014,-0.0,1.0578132184439655,0.35,0.08218678155603457,7.306521739130432,15.0,45.0,74.85,32.04347826086958,10.0,2.9000000000000004,9.0,-0.0,63.4,43.982204861111114,15.617795138888887,45.0,-0.0,17.66889721627409,4.351971148427815,22.079131635298097,22.60799999999999,47.286,29.906000000000002,10.0,-0.0,1.6276375950828765,14.366347177848775,0.6060152270683499,-0.0,1.6917543068633198,9.64656681861937,13.16167887451731
9,-0.0,4.710877284870871,3.4681680856907517,18.400954629438374,7.212126200274348,11.774999999999999,23.42287379972565,-0.0,1.0122155172413794,0.519,0.07878448275862078,11.167391304347817,15.0,45.0,72.45,44.38260869565219,10.0,3.5999999999999996,9.0,-0.0,63.5,66.04097222222222,3.7590277777777885,45.0,-0.0,17.66889721627409,7.003953567001014,21.227149216724897,7.391999999999996,69.864,29.944000000000003,10.0,-0.0,2.701036526322877,14.612087326943557,0.4868761467335663,-0.0,2.7267098828267624,9.697204964648868,13.576085152524369
