,ATG GLP link,SVG BRB link,LCA BRB link,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,SVG Electrolyzer,SVG Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,MSR Electrolyzer,MSR Fuel Cell
21,12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
22,12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
23,12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
24,12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
25,-12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
26,-12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
27,-12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
28,-12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
29,-12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
30,12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.993189713869742,-0.0,-0.0
31,10.205544407042986,18.256,-4.199999999999996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,12.512474754013455,18.256,-18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
33,12.512474754013455,5.759999999999998,18.311919922323426,2.9885927524938207,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
34,12.512474754013455,18.256,11.580662887849769,2.9885927524938207,-0.0,-0.0,-0.0,8.133718708373626,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
35,12.512474754013455,8.501154490883522,18.311919922323426,2.9885927524938207,-0.0,-0.0,-0.0,8.133718708373626,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
36,12.512474754013455,8.214542002053847,-18.311919922323426,2.9885927524938207,-0.0,-0.0,-0.0,8.133718708373626,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
37,12.512474754013455,-18.256,18.311919922323426,2.9885927524938207,-0.0,-0.0,-0.0,8.00120173829886,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
38,12.512474754013455,11.615243521216797,-8.090243521216848,1.5895332729155882,-0.0,-0.0,-0.0,-0.0,22.681650504393815,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
39,12.512474754013455,18.256,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.158856812720508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,0.06381835610444053,10.294097408486723,12.380341889848964,-0.0,11.572747924769283,-0.0,-0.0,-0.0,-0.0,-0.0,72.9528411739534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
41,12.512474754013455,-7.088075290428213,18.311919922323426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,72.98295371774648,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.418262906344471,-0.0,-0.0
