,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Martinique Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen
0,1.4432899320127035e-15,0.0,-1.7763568394002505e-15,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
1,1.4432899320127035e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.4432899320127035e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.4432899320127035e-15,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0
4,1.4432899320127035e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.4432899320127035e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0
6,1.4432899320127035e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.4432899320127035e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0
8,-2.1094237467877974e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.9960036108132044e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,2.4868995751603507e-14,0.0,0.0,0.0,0.0,0.0
10,4.9960036108132044e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-2.1094237467877974e-15,-1.7763568394002505e-15,-5.5067062021407764e-14,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-2.1094237467877974e-15,-1.7763568394002505e-15,-5.5067062021407764e-14,0.0,2.1316282072803006e-14,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
13,4.9960036108132044e-15,-1.7763568394002505e-15,5.861977570020827e-14,0.0,-7.105427357601002e-15,7.105427357601002e-15,4.263256414560601e-14,0.0,0.0,0.0,0.0,0.0
14,4.9960036108132044e-15,-1.7763568394002505e-15,-5.5067062021407764e-14,-2.220446049250313e-16,-7.105427357601002e-15,0.0,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0
15,1.4432899320127035e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,1.4210854715202004e-14,-3.552713678800501e-15,0.0,0.0,0.0,0.0
16,0.0,-1.7763568394002505e-15,-1.2434497875801753e-14,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-2.6645352591003757e-15,-1.7763568394002505e-15,1.5987211554602254e-14,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.6645352591003757e-15,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-8.881784197001252e-16,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-8.881784197001252e-16,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2.6645352591003757e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0
22,8.881784197001252e-16,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23,-8.881784197001252e-16,1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
24,-8.881784197001252e-16,1.7763568394002505e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,-5.329070518200751e-15,1.5987211554602254e-14,-5.551115123125783e-17,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,-2.1316282072803006e-14,0.0,-7.105427357601002e-15,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
32,3.552713678800501e-15,-1.7763568394002505e-15,-2.6645352591003757e-14,0.0,-7.105427357601002e-15,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0
33,3.552713678800501e-15,-7.105427357601002e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
34,0.0,-7.105427357601002e-15,1.0658141036401503e-14,0.0,-7.105427357601002e-15,0.0,-2.842170943040401e-14,-3.552713678800501e-15,0.0,0.0,0.0,0.0
35,0.0,7.105427357601002e-15,1.0658141036401503e-14,0.0,2.1316282072803006e-14,0.0,-5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0
36,-7.105427357601002e-15,-7.105427357601002e-15,-4.618527782440651e-14,0.0,2.1316282072803006e-14,0.0,-7.105427357601002e-14,-3.552713678800501e-15,0.0,0.0,0.0,0.0
37,3.552713678800501e-15,2.1316282072803006e-14,-1.2434497875801753e-14,0.0,-7.105427357601002e-15,0.0,-8.526512829121202e-14,0.0,0.0,0.0,0.0,0.0
38,0.0,-1.7763568394002505e-15,-1.0658141036401503e-14,2.220446049250313e-16,-3.552713678800501e-14,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0
39,0.0,5.329070518200751e-15,1.7763568394002505e-15,0.0,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
40,-8.881784197001252e-16,7.105427357601002e-15,-2.220446049250313e-14,0.0,0.0,0.0,-1.4210854715202004e-14,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0
