,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,14.65525994632802,-0.0,26.650000000000002,-0.0,0.2217923479933408,-0.0,-0.0,-0.0,138.27063798265127,-0.0,-0.0,6.6,6.0,141.79999999999998,-0.0,-0.0,-0.0,65.71191992232343,-0.0,-0.0,-0.0,60.300000000000004,-0.0,-0.0,36.256,-0.0,-0.0,26.3,-0.0
1,-0.0,14.758648023550792,-0.0,27.200000000000003,-0.0,1.5,-0.0,-0.0,-0.0,139.0048183613202,-0.0,-0.0,6.6,5.1,139.6,-0.0,-0.0,-0.0,61.711919922323425,-0.0,-0.0,-0.0,59.925000000000004,-0.0,-0.0,35.256,-0.0,-0.0,24.7,-0.0
2,-0.0,14.448483791882477,-0.0,27.0,-0.0,1.5,-0.0,-0.0,-0.0,138.51536477554092,-0.0,-0.0,6.6,5.0,138.2,-0.0,-0.0,-0.0,60.61191992232342,-0.0,-0.0,-0.0,59.325,-0.0,-0.0,34.856,-0.0,-0.0,24.1,-0.0
3,-0.0,14.31924869535401,-0.0,26.400000000000002,-0.0,1.46,-0.0,-0.0,-0.0,138.02591118976162,-0.0,-0.0,6.6,4.9,138.6,-0.0,-0.0,-0.0,61.211919922323425,-0.0,-0.0,-0.0,58.875,-0.0,-0.0,34.556,-0.0,-0.0,23.3,-0.0
4,-0.0,14.706953984939407,-0.0,26.0,-0.0,1.5,-0.0,-0.0,-0.0,137.53645760398234,-0.0,-0.0,6.6,4.800000000000001,139.79999999999998,-0.0,-0.0,-0.0,59.811919922323426,-0.0,-0.0,-0.0,58.425000000000004,-0.0,-0.0,34.356,-0.0,-0.0,23.4,-0.0
5,-0.0,14.991271197302032,-0.0,25.95,-0.0,1.42,-0.0,-0.0,-0.0,133.3761021248583,-0.0,-0.0,6.6,4.5,137.0,-0.0,-0.0,-0.0,60.41191992232343,-0.0,-0.0,-0.0,57.9,-0.0,-0.0,34.556,-0.0,-0.0,23.5,-0.0
6,-0.0,14.887883120079259,-0.0,25.900000000000002,0.26028288451579495,1.365679135806937,0.004320864193063046,-0.0,-0.0,128.2368394741757,2.4429016708413465,-0.0,6.6,4.200000000000001,131.6,2.6377546793091047,-0.0,-0.0,59.211919922323425,-0.0,-0.0,5.7,57.975,-0.0,-0.0,33.756,-0.0,-0.0,22.6,-0.0
7,16.709201365832953,14.65525994632802,-0.0,25.35,25.02247475401345,0.7964372845850475,0.6135627154149524,-0.0,-0.0,124.56593758083098,39.22158766515558,-0.0,6.6,4.4,127.4,31.099999999999994,-0.0,-0.0,59.91191992232343,-0.0,-0.0,8.107080077676564,58.425000000000004,-0.0,-0.0,33.956,-0.0,-0.0,22.8,-0.0
8,37.867598361621425,14.345095714659704,-0.0,24.6,27.982474754013452,-0.0,1.512302467572066,-0.0,-0.0,122.11866965193448,49.56885559405205,-0.0,6.6,5.300000000000001,-0.0,190.1588568127205,-0.0,-0.0,6.650489687383107,55.76143023494032,-0.0,14.207080077676565,59.025000000000006,-0.0,20.09409740848672,14.76190259151328,-0.0,15.498390342052316,9.001609657947684,-0.0
9,53.68696060146328,13.647226193405988,-0.0,-0.0,70.74605256343855,-0.0,2.242528516199721,-0.0,-0.0,118.20304096570011,67.28448428028643,-0.0,6.6,6.0,127.0,254.61860863634632,-0.0,-0.0,27.588080077676572,-0.0,-0.0,153.31191992232345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,26.0,-0.0
10,60.85180555239494,12.613345421178261,-0.0,21.2,105.91247475401346,-0.0,2.7783156761395387,-0.0,-0.0,108.16924245722454,145.96033659373143,-0.0,6.6,6.6,123.6,325.6588568127205,-0.0,-0.0,29.688080077676574,-0.0,-0.0,160.96791992232343,-0.0,-0.0,0.44399999999999906,-0.0,-0.0,27.4,-0.0,-0.0
11,62.76721613156573,11.837934842007467,-0.0,-0.0,128.89247475401345,-0.0,3.024604935144132,-0.0,-0.0,96.42235639852142,426.4651688474651,-0.0,6.6,7.200000000000001,118.39999999999999,337.55885681272053,-0.0,-0.0,31.688080077676574,-0.0,-0.0,162.56791992232343,-0.0,-0.0,1.3440000000000012,-0.0,-0.0,28.0,-0.0,-0.0
12,70.79164602329227,4.253504950280927,-0.0,17.299999999999997,111.67247475401345,-0.0,3.0678135770747623,-0.0,-0.0,-0.0,524.5875252459865,-0.0,6.6,6.9,8.181122660345409,449.0777341523751,-0.0,-0.0,-0.0,68.91191992232342,-0.0,38.407080077676575,54.525,-0.0,-0.0,37.856,-0.0,28.4,-0.0,-0.0
13,63.46158959879842,9.873561374774788,-0.0,-0.0,127.40247475401345,-0.0,2.894979009352241,-0.0,-0.0,81.49402203225287,428.3935032137337,-0.0,6.6,6.300000000000001,30.274740142227415,418.0841166704931,-0.0,-0.0,-0.0,66.21191992232343,-0.0,241.92036132050188,-0.0,-0.0,-0.0,36.656,-0.0,-0.0,26.6,-0.0
