,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,4.491941780139128,16.23093840837246,-0.0,43.24,-0.0,0.8999999999999999,-0.0,0.4781329076606453,-0.0,60.0,62.16759967337588,-0.0,-0.0,3.5999999999999996,9.0,131.29491844026302,-0.0,-0.0,48.60508155973699,38.192138762743525,-0.0,9.207861237256477,-0.0,-0.0,119.5,-0.0,18.0,-0.0,-0.0,22.629321917435195,3.6706780825648067
1,-0.0,4.523630963773266,16.23093840837246,-0.0,40.88,-0.0,0.8999999999999999,-0.0,0.4833019120677874,-0.0,60.0,62.497693122969025,-0.0,-0.0,2.6999999999999993,9.0,120.29491844026302,-0.0,-0.0,48.60508155973699,34.192138762743525,-0.0,9.207861237256477,-0.0,-0.0,110.0,-0.0,17.0,-0.0,-0.0,21.029321917435194,3.6706780825648067
2,-0.0,4.428563412870852,16.23093840837246,-0.0,39.86,-0.0,0.8999999999999999,-0.0,0.4781329076606453,-0.0,60.0,62.277630823240266,-0.0,-0.0,2.5999999999999996,9.0,116.29491844026302,-0.0,-0.0,48.60508155973699,33.09213876274352,-0.0,9.207861237256477,-0.0,-0.0,107.6,-0.0,16.6,-0.0,-0.0,20.429321917435196,3.6706780825648067
3,-0.0,4.388951933328179,16.23093840837246,-0.0,38.75,-0.0,0.8999999999999999,-0.0,0.47267673662916215,-0.0,60.0,62.0575685235115,-0.0,-0.0,2.5,9.0,113.994918440263,-0.0,-0.0,48.60508155973699,33.692138762743525,-0.0,9.207861237256477,-0.0,-0.0,108.5,-0.0,16.3,-0.0,-0.0,19.629321917435195,3.6706780825648067
4,-0.0,4.507786371956198,16.23093840837246,-0.0,38.97,-0.0,0.8999999999999999,-0.0,0.4741125706123678,-0.0,60.0,61.837506223782746,-0.0,-0.0,2.4000000000000004,9.0,111.89491844026301,-0.0,-0.0,48.60508155973699,32.29213876274352,-0.0,9.207861237256477,-0.0,-0.0,107.1,-0.0,16.1,-0.0,-0.0,19.729321917435193,3.6706780825648067
5,-0.0,4.594931626950078,16.23093840837246,-0.0,38.48,-0.0,0.8999999999999999,-0.0,0.4721024025189795,-0.0,60.0,59.96697667608825,-0.0,-0.0,2.0999999999999996,9.0,111.89491844026301,-0.0,-0.0,48.60508155973699,32.89213876274353,-0.0,9.207861237256477,-0.0,-0.0,106.5,-0.0,16.3,-0.0,-0.0,19.829321917435195,3.6706780825648067
6,-0.0,4.56324244331594,16.23093840837246,-0.0,37.29,-0.0,0.8999999999999999,0.004866102962773911,0.46463606253260725,-0.0,60.0,57.65632252893622,3.6363371484336517,-0.0,1.8000000000000007,9.0,105.160880807294,1.7340376329690128,-0.0,48.60508155973699,31.69213876274352,-0.0,9.207861237256477,-0.0,-0.0,104.1,-0.0,15.5,-0.0,-0.0,18.929321917435196,3.6706780825648067
7,3.1071198114884107,4.491941780139128,16.23093840837246,-0.0,37.86,-0.0,0.8999999999999999,0.6909866207138953,-0.0,-0.0,60.0,56.00585528097049,60.29414471902952,-0.0,2.0,9.0,50.070620102832066,59.824298337430946,-0.0,48.60508155973699,16.783406099862212,15.608732662881318,9.207861237256477,-0.0,-0.0,103.1,-0.0,15.7,-0.0,-0.0,19.129321917435195,3.6706780825648067
8,27.89786123685568,4.396874229236714,16.23093840837246,-0.0,12.808025325352236,31.542708544736872,0.8999999999999999,0.1460399550959613,0.4439600449040388,-0.0,60.0,54.90554378232667,367.9283632783631,-0.0,2.9000000000000004,9.0,119.39491844026301,-0.0,-0.0,48.60508155973699,34.89213876274353,-0.0,9.207861237256477,-0.0,-0.0,109.8,11.81891120936968,4.781088790630321,-0.0,15.760781154294326,5.0685407631408665,3.6706780825648067
9,39.20105076356293,-0.0,16.23093840837246,-0.0,-0.0,42.41,0.8999999999999999,0.28441863714529975,0.42558136285470044,-0.0,60.0,-0.0,138.0,-0.0,3.5999999999999996,9.0,129.69491844026302,-0.0,-0.0,48.60508155973699,-0.0,36.692138762743525,9.207861237256477,-0.0,117.2,-0.0,17.8,-0.0,-0.0,22.329321917435195,-0.0,3.6706780825648067
10,11.78906159162754,-0.0,16.23093840837246,-0.0,39.089214593316086,32.04262680131191,0.8999999999999999,0.39117600210547704,0.388823997894523,-0.0,60.0,48.63376824005689,97.0662317599431,-0.0,4.199999999999999,9.0,-0.0,138.494918440263,-0.0,48.60508155973699,38.79213876274352,-0.0,9.207861237256477,-0.0,7.700000000000003,116.7,18.7,-0.0,-0.0,23.729321917435193,-0.0,3.6706780825648067
11,12.92906159162754,-0.0,16.23093840837246,-0.0,34.57182894456022,38.34001245006778,0.8999999999999999,1.296549603277677,0.3523538004201872,-0.0,60.0,43.35227304656655,432.0477269534334,-0.0,4.800000000000001,9.0,145.19491844026302,-0.0,-0.0,48.60508155973699,40.79213876274352,-0.0,9.207861237256477,-0.0,12.450000000000003,113.55,19.6,-0.0,-0.0,-0.0,24.329321917435195,3.6706780825648067
12,46.17565098467916,-0.0,16.23093840837246,-0.0,8.837179947705565,64.15466144692245,0.8999999999999999,3.1666489561525273,-0.0,-0.0,60.0,39.17108935172003,117.92891064827997,-0.0,4.5,9.0,-0.0,146.494918440263,-0.0,48.60508155973699,-0.0,41.39213876274353,9.207861237256477,-0.0,112.61755447941887,109.05,-0.0,19.6,-0.0,24.729321917435193,-0.0,3.6706780825648067
13,11.659061591627541,-0.0,16.23093840837246,-0.0,29.962251751952188,41.459589642675816,0.8999999999999999,3.0666489561525276,-0.0,-0.0,60.0,36.64037290483924,425.7596270951608,-0.0,3.9000000000000004,9.0,-0.0,137.594918440263,-0.0,48.60508155973699,-0.0,38.692138762743525,9.207861237256477,-0.0,149.4093220338983,104.1,-0.0,18.4,-0.0,-0.0,22.929321917435196,3.6706780825648067
14,7.63301475817698,2.6460468334505625,16.23093840837246,-0.0,16.669008540635986,51.412832853992015,0.8999999999999999,0.3734582642178972,0.27654173578210295,-0.0,60.0,36.310279455246096,415.0897205447539,-0.0,3.0999999999999996,9.0,126.39491844026301,-0.0,-0.0,48.60508155973699,35.79213876274352,-0.0,9.207861237256477,-0.0,165.4853510895884,80.22397094430991,-0.0,17.4,-0.0,-0.0,21.829321917435195,3.6706780825648067
15,26.222532755269047,2.38461106846892,16.23093840837246,-0.0,25.444866103196322,37.156241421342585,0.8999999999999999,0.3375294425946171,0.262470557405383,-0.0,60.0,-0.0,124.5,-0.0,2.5999999999999996,9.0,119.79491844026302,-0.0,-0.0,48.60508155973699,34.29213876274352,-0.0,9.207861237256477,-0.0,113.0403147699758,94.35,-0.0,16.8,-0.0,-0.0,21.129321917435195,3.6706780825648067
16,11.43593789604789,2.2340874462067624,16.23093840837246,-0.0,24.24637603311823,14.256591432649435,0.8999999999999999,0.33442144847080657,0.2555785515291935,-0.0,60.0,37.960746703211825,87.13925329678817,-0.0,2.9000000000000004,9.0,43.03077199786871,75.8641464423943,-0.0,48.60508155973699,34.09213876274352,-0.0,9.207861237256477,-0.0,48.547094430992736,90.89999999999999,8.405691161836195,8.194308838163806,-0.0,-0.0,20.729321917435193,3.6706780825648067
17,1.16544590023418,2.28162122165797,16.23093840837246,18.365236448869194,24.430759120822554,0.8910369645405897,0.8999999999999999,0.05352713259051302,0.2604603884504939,-0.0,60.0,38.95102705199126,14.545348593734607,-0.0,2.9000000000000004,9.0,123.79491844026302,-0.0,-0.0,48.60508155973699,32.55418736949238,2.8379513932511484,9.207861237256477,-0.0,2.834866828087167,89.85,-0.0,17.1,-0.0,1.2979466832948268,19.631375234140368,3.6706780825648067
