,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,1.2474,39.45957523809529,-0.0,1.4235271428571434,-0.0,-0.0,120.0,12.4865,-0.0,-0.0,-0.0,9.0,9.216999999999999,-0.0,-0.0,90.0,-0.0,36.0,-0.0,68.46178579517401,-0.0,-0.0,18.0,-0.0,-0.0,11.435458238281257,24.0
1,-0.0,1.2562,39.45957523809529,-0.0,1.4235271428571434,-0.0,-0.0,120.0,12.5528,-0.0,-0.0,-0.0,9.0,9.074,-0.0,-0.0,90.0,-0.0,36.0,-0.0,68.03602842082591,-0.0,-0.0,18.0,-0.0,-0.0,12.08114533048733,24.0
2,-0.0,1.2298000000000002,39.45957523809529,-0.0,1.4235271428571434,-0.0,-0.0,120.0,12.5086,-0.0,-0.0,-0.0,9.0,8.982999999999999,-0.0,-0.0,90.0,-0.0,36.0,-0.0,67.35481662186895,-0.0,-0.0,18.0,-0.0,-0.0,12.353013579837256,24.0
3,-0.0,1.2188,39.45957523809529,-0.0,1.4235271428571434,-0.0,-0.0,120.0,12.4644,-0.0,-0.0,-0.0,9.0,9.008999999999999,-0.0,-0.0,90.0,-0.0,36.0,-0.0,66.84390777265124,-0.0,-0.0,18.0,-0.0,-0.0,12.675857125940293,24.0
4,-0.0,1.2518,39.45957523809529,-0.0,1.4235271428571434,-0.0,-0.0,120.0,12.420200000000001,-0.0,-0.0,-0.0,9.0,9.087,-0.0,-0.0,90.0,-0.0,36.0,-0.0,66.33299892343352,-0.0,-0.0,18.0,-0.0,-0.0,11.435458238281257,24.0
5,-0.0,1.276,39.45957523809529,-0.0,1.4235271428571434,-0.0,-0.0,120.0,12.044500000000001,-0.0,-0.0,-0.0,9.0,8.905000000000001,-0.0,-0.0,90.0,-0.0,36.0,-0.0,65.73693859934619,-0.0,-0.0,18.0,-0.0,-0.0,12.08114533048733,24.0
6,-0.0,1.2672,39.45957523809529,0.20699903468589284,1.4235271428571434,0.00025,-0.0,120.0,11.580400000000001,0.9170812269405129,-0.0,-0.0,9.0,8.554,1.2211933257582026,-0.0,90.0,0.018000000000000002,36.0,5.052266169080166,65.82209007421581,-0.0,0.0036000000000000003,18.0,-0.0,0.025961987461651403,12.353013579837256,24.0
7,0.2535,1.2474,39.45957523809529,31.46385327225571,1.4235271428571434,0.0355,-0.0,120.0,11.2489,45.85406134702564,-0.0,-0.0,9.0,8.281,42.13116973865799,-0.0,90.0,0.5940000000000001,36.0,76.28921915311051,66.33299892343352,-0.0,0.1638,18.0,-0.0,1.6356052100840384,12.675857125940293,24.0
8,0.4596,0.9768000000000001,39.45957523809529,58.622126623044856,1.4235271428571434,0.0875,-0.0,120.0,11.0279,102.40740367502394,-0.0,-0.0,9.0,8.242,99.22195771785395,-0.0,90.0,1.536,36.0,168.24046343036954,67.01421072239047,-0.0,0.4176,18.0,-0.0,4.413537868480739,12.947725375290219,24.0
9,0.6516,0.9292800000000001,39.45957523809529,87.10519379582371,1.4235271428571434,0.12975,-0.0,120.0,10.6743,141.841896433466,-0.0,-0.0,9.0,8.255,148.9855857425007,-0.0,90.0,2.472,36.0,248.57149551874417,67.09936219726009,-0.0,0.6930000000000001,18.0,-0.0,7.113584564492485,13.0156924376277,24.0
10,0.972,1.0736,39.45957523809529,124.27583505569987,1.4235271428571434,0.16075,-0.0,120.0,9.7682,172.1055769225029,-0.0,-0.0,9.0,8.034,185.01078885236768,-0.0,90.0,3.132,36.0,300.1046104433619,66.2478474485639,-0.0,0.909,18.0,-0.0,9.034771636654687,12.896750078537108,24.0
11,1.0545,1.0076,39.45957523809529,148.21130883509926,1.4235271428571434,0.175,-0.0,120.0,8.707400000000002,190.44720146131317,-0.0,-0.0,9.0,7.696,204.85518039593848,-0.0,90.0,3.396,36.0,314.6327148096299,64.45966647630189,-0.0,0.927,18.0,-0.0,10.099213122582396,12.658865360355923,24.0
12,1.0739999999999998,0.9394,39.45957523809529,149.03930497384283,1.4235271428571434,0.1775,-0.0,120.0,7.8676,198.0895450191508,-0.0,-0.0,9.0,7.3709999999999996,207.90816371033398,-0.0,90.0,3.4499999999999997,36.0,322.83980820422266,59.75257308170907,-0.0,0.9,18.0,-0.0,10.1511370975057,12.471955938927849,24.0
13,1.0155,0.8404,39.45957523809529,139.51734937829178,1.4235271428571434,0.1675,-0.0,120.0,7.359300000000001,192.8927513998212,-0.0,-0.0,9.0,7.098000000000001,193.5591421326751,-0.0,90.0,3.3000000000000003,36.0,288.48439825447747,59.09512355951586,-0.0,0.8586,18.0,-0.0,9.42420144857946,12.285046517499774,24.0
14,0.8474999999999999,0.7348000000000001,39.45957523809529,119.43844301376016,1.4235271428571434,0.14225,-0.0,120.0,7.293000000000001,163.2404583954113,-0.0,-0.0,9.0,6.968,163.02930898872003,-0.0,90.0,2.976,36.0,235.94083009604378,56.19997341394881,-0.0,0.7974,18.0,-0.0,7.606862326263861,12.183095923993552,24.0
15,0.54,0.6622,39.45957523809529,86.31859746401732,1.4235271428571434,0.095,-0.0,120.0,7.447700000000001,121.97180318308821,-0.0,-0.0,9.0,7.033,114.18157595839193,-0.0,90.0,2.268,36.0,161.16729079365732,53.56027769299061,-0.0,0.6048,18.0,-0.0,5.37413140456184,12.386997111005996,24.0
16,0.2355,0.6204,39.45957523809529,33.119845549742855,1.4235271428571434,0.0365,-0.0,120.0,7.6245,59.30458600881983,-0.0,-0.0,9.0,7.267,53.42720800192136,-0.0,90.0,1.1640000000000001,36.0,69.21604651639828,51.60179377098936,-0.0,0.29700000000000004,18.0,-0.0,2.751970670935049,12.845774781783996,24.0
17,0.024,0.6336,39.45957523809529,2.0699903468589285,1.4235271428571434,0.00275,15.0,120.0,7.8234,3.6683249077620514,-0.0,8.0,9.0,7.526999999999999,3.968878308714158,-0.0,90.0,0.10799999999999998,36.0,4.041812935264133,51.00573344690202,-0.0,0.030600000000000002,18.0,8.0,0.36346782446311965,13.40650304606822,24.0
18,-0.0,0.6886000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,8.0665,-0.0,-0.0,8.0,9.0,7.774,-0.0,-0.0,90.0,-0.0,36.0,-0.0,52.36815704481593,-0.0,-0.0,18.0,8.0,-0.0,13.865280716846218,24.0
19,-0.0,0.7524000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,8.398000000000001,-0.0,-0.0,8.0,9.0,8.047,-0.0,-0.0,90.0,-0.0,36.0,-0.0,54.4117924416868,-0.0,-0.0,18.0,8.0,-0.0,13.96723131035244,24.0
20,-0.0,0.8140000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,8.928400000000002,-0.0,-0.0,8.0,9.0,8.32,-0.0,-0.0,90.0,-0.0,36.0,-0.0,56.11482193907919,-0.0,-0.0,18.0,8.0,-0.0,13.746338357755628,24.0
21,-0.0,0.8778000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,9.4367,-0.0,-0.0,8.0,9.0,8.502,-0.0,-0.0,90.0,-0.0,36.0,-0.0,55.77421603960072,-0.0,-0.0,18.0,8.0,-0.0,13.321544218146368,24.0
22,-0.0,0.935,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,9.7903,-0.0,-0.0,8.0,9.0,8.554,-0.0,-0.0,90.0,-0.0,36.0,-0.0,53.81573211759947,-0.0,-0.0,18.0,8.0,-0.0,12.777807719446516,24.0
23,-0.0,0.9614,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,10.166,-0.0,-0.0,8.0,9.0,8.541,-0.0,-0.0,90.0,-0.0,36.0,-0.0,51.60179377098936,-0.0,-0.0,18.0,8.0,-0.0,12.285046517499774,24.0
24,-0.0,0.9460000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,10.387,-0.0,-0.0,8.0,9.0,8.372,-0.0,-0.0,90.0,-0.0,36.0,-0.0,49.04724952490077,-0.0,-0.0,18.0,8.0,-0.0,11.962202971396737,24.0
25,-0.0,0.8954,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,10.4091,-0.0,-0.0,8.0,9.0,8.073,-0.0,-0.0,90.0,-0.0,36.0,-0.0,46.15209937933372,-0.0,-0.0,18.0,8.0,-0.0,11.928219440227997,24.0
26,-0.0,0.8360000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,10.2544,-0.0,-0.0,8.0,9.0,7.7219999999999995,-0.0,-0.0,90.0,-0.0,36.0,-0.0,43.4272521835059,-0.0,-0.0,18.0,8.0,-0.0,12.115128861656071,24.0
27,-0.0,0.7766000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,9.9892,-0.0,-0.0,8.0,9.0,7.462,-0.0,-0.0,90.0,-0.0,36.0,-0.0,41.55391973637427,-0.0,-0.0,18.0,8.0,-0.0,12.370005345421626,24.0
28,-0.0,0.7326000000000001,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,9.7019,-0.0,-0.0,8.0,9.0,7.215000000000001,-0.0,-0.0,90.0,-0.0,36.0,-0.0,40.27664761332998,-0.0,-0.0,18.0,8.0,-0.0,12.658865360355923,24.0
29,-0.0,0.6754,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,9.0389,-0.0,-0.0,8.0,9.0,6.682,-0.0,-0.0,105.90193675688336,-0.0,36.0,-0.0,38.318163691328735,-0.0,-0.0,18.0,8.0,-0.0,12.777807719446516,24.0
30,-0.0,0.627,39.45957523809529,0.4139980693717857,1.4235271428571434,0.00025,15.0,120.0,8.442200000000001,0.9170812269405129,-0.0,8.0,9.0,6.0969999999999995,2.442386651516405,-0.0,90.0,0.06,36.0,10.60975895506835,35.59331649550091,-0.0,0.0162,18.0,8.0,0.12980993730825702,12.607890063602811,24.0
31,0.2415,0.6094,39.45957523809529,33.32684458442875,1.4235271428571434,0.03375,15.0,120.0,8.1328,44.32559263545812,-0.0,8.0,9.0,5.681,62.58615794510787,-0.0,90.0,1.248,36.0,118.2230283564759,32.783317824803476,-0.0,0.36360000000000003,18.0,8.0,3.686602219554499,12.420980642174737,24.0
32,0.5640000000000001,0.6028000000000001,39.45957523809529,76.58964283378035,1.4235271428571434,0.08875,15.0,120.0,8.177,101.79601619039693,-0.0,8.0,9.0,5.512,124.2564208958971,-0.0,90.0,2.514,36.0,220.78403158880326,30.484228003323746,-0.0,0.7488,18.0,8.0,8.48956989996001,12.166104158409182,24.0
33,0.81,0.5698000000000001,39.45957523809529,109.29549031415142,1.4235271428571434,0.1335,15.0,120.0,8.177,148.8728525066766,-0.0,8.0,9.0,5.33,171.882960600467,-0.0,90.0,3.444,36.0,295.5575708911897,27.759380807495926,-0.0,1.0242,18.0,8.0,13.552157454982034,11.792285315553034,24.0
34,0.9705,0.49500000000000005,39.45957523809529,131.65138606022785,1.4235271428571434,0.16325,15.0,120.0,7.7571,183.72193913041608,-0.0,8.0,9.0,4.953,201.80219708154297,-0.0,90.0,4.0680000000000005,36.0,343.04887288054334,24.523624762450385,-0.0,1.2132,18.0,8.0,16.84932986261176,11.282532348021924,24.0
35,1.041,0.4312,39.45957523809529,143.65733007200961,1.4235271428571434,0.1775,15.0,120.0,7.248800000000001,203.89772612310736,-0.0,8.0,9.0,4.563,217.0671136535205,-0.0,90.0,4.32,36.0,359.2161246215998,22.565140840449143,-0.0,1.2906,18.0,8.0,18.12146724823268,10.840746442828294,24.0
36,1.0245000000000002,0.3894,39.45957523809529,143.86432910669552,1.4235271428571434,0.1745,15.0,120.0,6.5637,210.31729471169092,-0.0,8.0,9.0,4.186,216.76181532208093,-0.0,90.0,4.356,36.0,357.19521815396774,21.54332314201371,-0.0,1.2888,18.0,8.0,18.277239173002588,10.68782055256896,24.0
37,0.942,0.3542,39.45957523809529,130.82338992148428,1.4235271428571434,0.15425,15.0,120.0,5.8344000000000005,194.1155263690752,-0.0,8.0,9.0,3.7569999999999997,197.52802044138926,-0.0,90.0,4.08,36.0,331.42866069165893,21.54332314201371,-0.0,1.2114,18.0,8.0,17.108949737228276,10.449935834387775,24.0
38,0.7965,0.33440000000000003,39.45957523809529,103.9135154123182,1.4235271428571434,0.12,15.0,120.0,5.2819,158.34935851839523,-0.0,8.0,9.0,3.341,168.52467895463195,-0.0,90.0,3.4979999999999998,36.0,282.92690546848934,22.565140840449143,-0.0,1.044,18.0,8.0,14.772370865679648,10.314001709712812,24.0
39,0.6045,0.3322,39.45957523809529,66.23969109948571,1.6209771428571436,0.07975,15.0,120.0,4.862,99.9618537365159,-0.0,8.0,9.0,3.0549999999999997,122.42463090725981,-0.0,90.0,2.598,36.0,206.13245969847077,24.09786738810229,-0.0,0.7848,18.0,8.0,11.059806658663497,10.330993475297182,24.0
40,0.3225,0.341,39.45957523809529,29.393862925396782,1.4235271428571434,0.0395,15.0,120.0,4.641,34.84908662373949,-0.0,8.0,9.0,2.964,60.754367956470574,-0.0,90.0,1.374,36.0,102.05577661541936,26.141502784973156,-0.0,0.4176,18.0,8.0,5.997219103641474,10.415952303219035,24.0
41,0.03,0.35640000000000005,39.45957523809529,2.483988416230714,1.4235271428571434,0.00425,15.0,120.0,4.5526,2.445549938508034,-0.0,8.0,9.0,3.081,4.88477330303281,-0.0,90.0,0.138,36.0,6.567946019804216,27.844532282365545,-0.0,0.0468,18.0,8.0,0.7788596238495421,10.432944068803405,24.0
42,-0.0,0.385,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,4.6852,-0.0,-0.0,8.0,9.0,3.367,-0.0,-0.0,90.0,-0.0,36.0,-0.0,30.143622103845267,-0.0,-0.0,18.0,8.0,-0.0,10.2630264129597,24.0
43,-0.0,0.40700000000000003,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,4.7515,-0.0,-0.0,8.0,9.0,3.7699999999999996,-0.0,-0.0,90.0,-0.0,36.0,-0.0,33.37937814889081,-0.0,-0.0,18.0,8.0,-0.0,9.75327344542859,24.0
44,-0.0,0.3916,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,180.0,4.641,-0.0,-0.0,8.0,9.0,4.147,-0.0,-0.0,90.0,-0.0,36.0,-0.0,36.78543714367558,-0.0,-0.0,18.0,8.0,-0.0,9.022627525300665,24.0
45,-0.0,0.3432,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,120.0,4.265300000000001,-0.0,-0.0,8.0,9.0,4.394,-0.0,-0.0,90.0,-0.0,36.0,-0.0,39.51028433950341,-0.0,-0.0,18.0,8.0,-0.0,8.207022777250886,24.0
46,-0.0,0.3102,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,180.0,3.7570000000000006,-0.0,-0.0,8.0,9.0,4.42,-0.0,-0.0,135.0,-0.0,42.17112736375762,-0.0,41.38361678663503,-0.0,-0.0,18.0,8.0,-0.0,7.459385091538591,24.0
