,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
1,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.3322676295501878e-15
2,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
3,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
4,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
5,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
6,1.7763568394002505e-15,-1.7763568394002505e-15,-1.4210854715202004e-14,-2.220446049250313e-16,-1.7763568394002505e-15,0.0,0.0,0.0,4.440892098500626e-16
7,0.0,0.0,-7.105427357601002e-15,0.0,0.0,1.7763568394002505e-15,-7.105427357601002e-15,0.0,-8.881784197001252e-16
8,0.0,-1.7763568394002505e-15,0.0,-5.551115123125783e-17,1.4210854715202004e-14,0.0,0.0,-2.6645352591003757e-15,-1.7763568394002505e-15
9,0.0,0.0,0.0,-1.1102230246251565e-16,1.4210854715202004e-14,0.0,0.0,0.0,0.0
10,0.0,-7.105427357601002e-15,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.7763568394002505e-15,-1.7763568394002505e-15
11,-3.552713678800501e-15,0.0,-2.842170943040401e-14,1.1102230246251565e-16,-2.842170943040401e-14,-7.105427357601002e-15,0.0,1.7763568394002505e-15,-1.7763568394002505e-15
12,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,1.4210854715202004e-14,1.7763568394002505e-15,-1.7763568394002505e-15
13,7.105427357601002e-15,-7.105427357601002e-15,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,-3.552713678800501e-15
14,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
15,0.0,3.552713678800501e-15,0.0,1.1102230246251565e-16,1.4210854715202004e-14,0.0,-7.105427357601002e-15,1.7763568394002505e-15,0.0
16,0.0,0.0,-7.105427357601002e-15,0.0,0.0,-3.552713678800501e-15,0.0,1.7763568394002505e-15,0.0
17,5.329070518200751e-15,0.0,-1.4210854715202004e-14,8.673617379884035e-17,-1.4210854715202004e-14,0.0,0.0,0.0,-1.7763568394002505e-15
18,1.7763568394002505e-15,0.0,0.0,-2.7755575615628914e-17,-1.4210854715202004e-14,-3.552713678800501e-15,-7.105427357601002e-15,0.0,-1.7763568394002505e-15
19,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.7763568394002505e-15
20,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.3322676295501878e-15
21,0.0,0.0,0.0,-5.551115123125783e-17,-1.4210854715202004e-14,3.552713678800501e-15,1.4210854715202004e-14,0.0,1.7763568394002505e-15
22,0.0,0.0,0.0,-8.326672684688674e-17,-1.4210854715202004e-14,0.0,0.0,0.0,1.7763568394002505e-15
23,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,-7.105427357601002e-15,1.7763568394002505e-15,-1.7763568394002505e-15
24,1.7763568394002505e-15,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,-1.7763568394002505e-15,0.0
25,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,-1.3322676295501878e-15
26,1.7763568394002505e-15,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,-7.105427357601002e-15,0.0,-1.3322676295501878e-15
27,1.7763568394002505e-15,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.3322676295501878e-15
28,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
29,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15
30,-1.7763568394002505e-15,0.0,-1.4210854715202004e-14,-9.71445146547012e-17,0.0,3.552713678800501e-15,0.0,8.326672684688674e-16,4.440892098500626e-16
31,1.7763568394002505e-15,-7.105427357601002e-15,0.0,8.326672684688674e-17,5.329070518200751e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,-4.440892098500626e-16
32,1.7763568394002505e-15,0.0,7.105427357601002e-15,0.0,-2.1316282072803006e-14,3.552713678800501e-15,0.0,1.7763568394002505e-15,-3.1086244689504383e-15
33,-3.552713678800501e-15,1.7763568394002505e-15,0.0,-2.220446049250313e-16,0.0,0.0,1.4210854715202004e-14,0.0,-3.1086244689504383e-15
34,0.0,-7.105427357601002e-15,0.0,-2.220446049250313e-16,-1.4210854715202004e-14,1.0658141036401503e-14,0.0,1.7763568394002505e-15,3.9968028886505635e-15
35,-7.105427357601002e-15,7.105427357601002e-15,2.842170943040401e-14,-1.1102230246251565e-16,-5.684341886080802e-14,0.0,0.0,-1.7763568394002505e-15,2.220446049250313e-15
36,-7.105427357601002e-15,0.0,0.0,2.220446049250313e-16,-2.842170943040401e-14,-1.0658141036401503e-14,0.0,0.0,-1.3322676295501878e-15
37,0.0,0.0,2.842170943040401e-14,1.1102230246251565e-16,-1.4210854715202004e-14,0.0,0.0,0.0,4.440892098500626e-16
