,ATG H2 Tank,BRB H2 Tank,GLP H2 Tank,MTQ H2 Tank,LCA H2 Tank,SKN H2 Tank,SVG H2 Tank,GRD H2 Tank
0,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,5.253891927991744,-2.2704959918344447,-2.462338173164568
1,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,5.253891927991744,-2.2704959918344447,-2.462338173164568
2,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,5.253891927991744,-2.2704959918344447,-2.462338173164568
3,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,5.253891927991744,-2.2704959918344447,-2.462338173164568
4,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,1.292944362244386,-2.2704959918344447,-2.462338173164568
5,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
6,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
7,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
8,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
9,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
10,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
11,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.40225757724377864,-2.2704959918344447,-2.462338173164568
12,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.25729519748921276,-2.2704959918344447,-2.462338173164568
13,-5.781327172736747,-0.0,-18.369392202754582,-19.8508821877139,-0.0,0.6595527747329915,-2.2704959918344447,-2.462338173164568
14,-5.781327172736747,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
15,-2.5267031034273657,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
16,-0.0,-0.0,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
30,-0.0,-0.0,-0.0,-10.465790864032371,-0.0,-0.0,-2.2704959918344447,-2.462338173164568
31,-3.754845988403712,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0211833482685635,-2.462338173164568
32,-5.781327172736747,-0.0,-0.0,-19.8508821877139,-0.0,-0.0,-1.5460525869505326,-2.462338173164568
33,-5.781327172736747,-0.0,-0.0,-19.8508821877139,-0.0,-0.0,-1.2645173874938749,-2.462338173164568
34,-5.781327172736747,-11.805873608472227,-0.0,-19.8508821877139,-0.0,-0.0,-1.5480687826177353,-2.462338173164568
35,-5.781327172736747,-11.805873608472227,-18.369392202754582,-19.8508821877139,-0.0,-0.0,-0.851508659695031,-2.462338173164568
36,-5.781327172736747,-11.805873608472227,-0.6956296971197389,-19.8508821877139,-0.0,-0.0,-0.08985609253801154,-2.462338173164568
37,-5.781327172736747,-11.805873608472227,-18.369392202754582,-19.8508821877139,-0.0,-0.0,2.1426059326750644,-1.8779135822629331
38,-5.781327172736747,26.650748049578198,-18.369392202754582,-19.8508821877139,-0.0,-0.0,3.28716209903657,-1.4833575499843379
39,-5.781327172736747,-0.0,-18.369392202754582,-17.292882631286187,-0.0,-0.0,3.28716209903657,-0.10745542834565781
40,22.359361148391393,20.57274638431071,78.41631579221806,51.40062836695617,-0.0,-0.0,3.28716209903657,1.4117738078458286
41,23.65911849910671,-0.0,78.41631579221806,51.40062836695617,-0.0,-0.0,3.28716209903657,4.716524236985754
42,18.076341171700417,-0.0,78.41631579221806,51.40062836695617,-0.0,-0.0,3.28716209903657,6.4319733737010525
43,-0.0,-0.0,78.41631579221806,51.40062836695617,-0.0,-0.0,3.28716209903657,6.4319733737010525
44,-0.0,-0.0,78.41631579221806,51.40062836695617,-0.0,-0.0,3.28716209903657,6.4319733737010525
45,-0.0,-0.0,78.41631579221806,51.40062836695617,-0.0,-0.0,3.28716209903657,6.4319733737010525
