,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA solar pv,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
4572,40.785468516606564,14.192261641570092,-0.0,-0.0,137.87048754021245,-0.0,0.155,-0.0,-0.0,157.1760013770672,451.9336804802131,-0.0,-0.0,3.5125981732536133,1.645202876888119,-0.0,155.0,329.0371847709645,-0.0,-0.0,59.6418420791767,47.57967321124234,-0.0,336.20807478949104,52.875,-0.0,4.650005740000918,12.808983329447448,-0.0,-0.0,7.087753903345897,38.706126263399305,-0.0
4573,38.73937477831526,13.517443851777754,-0.0,31.75,105.90048754021245,-0.0,0.145,-0.0,-0.0,147.65689143451243,442.3651287430627,-0.0,-0.0,3.3759212015316824,1.5341452258579948,-0.0,150.0,306.65016112357284,-0.0,-0.0,75.1,44.744813454694885,-0.0,310.65000000000003,50.925000000000004,-0.0,4.38911432884575,12.360151029493764,-0.0,-0.0,6.552297346035472,39.20045737787439,-0.0
4574,32.942109186489915,12.737185782330364,-0.0,16.37796587737823,118.96252166283422,-0.0,0.12375,-0.0,-0.0,139.68740404074563,371.1625224042821,-0.0,-0.0,3.239244229809752,1.3042817155863424,-0.0,144.4,260.8348569149576,-0.0,-0.0,72.5,38.07906213524548,-0.0,257.07,49.35,-0.0,3.798272015347284,11.87679316800518,-0.0,-0.0,5.932295016518137,39.05215804353186,-0.0
4575,24.212109236447038,12.020191880676006,-0.0,28.849999999999998,87.76339551245339,-0.0,0.092,-0.0,-0.0,133.4889138455937,272.6908327868195,-0.0,-0.0,3.1435703496044005,0.9633605542845658,-0.0,139.79999999999998,188.98812986053812,-0.0,-0.0,70.5,27.582419252894105,-0.0,184.68,48.300000000000004,-0.0,2.8237658619147483,11.531537552656195,-0.0,-0.0,4.819109015793831,38.310661371819236,-0.0
4576,14.595468666477935,11.535166594262764,8.696232229834656,28.9,51.237589287617304,-0.0,0.05525,-0.0,-0.0,129.50417014871027,160.58460153001593,-0.0,-0.0,3.0615641665712428,0.5785328797848331,-0.0,137.0,112.45574669387392,-0.0,-0.0,69.19999999999999,16.08974456418823,-0.0,104.88,47.175,-0.0,1.6497545117164971,11.393435306516599,-0.0,-0.0,3.0154658753797654,37.470298477211585,-0.0
4577,5.456249968776798,11.092317419711543,17.06830010208701,29.049999999999997,18.262903112418048,-0.0,0.02,-0.0,-0.0,127.29042365044174,56.053115628401784,-0.0,-0.0,2.9613343873084936,0.20403614956697239,-0.0,132.6,38.00587735487406,-0.0,-0.0,67.0,5.286630356804705,-0.0,31.92,47.325,-0.0,0.5371293759076968,11.220807498842106,-0.0,-0.0,1.0709131146208513,36.531069359708916,-0.0
4578,0.2728124984388399,10.754908524815374,20.216334898151914,29.349999999999998,0.5073028642338346,-0.0,0.00075,-0.0,-0.0,123.30567995355835,1.5149490710378861,-0.0,-0.0,2.8155456174717677,0.00516547214093601,-0.0,126.0,0.5206284569160831,-0.0,-0.0,64.2,0.07661783125803918,-0.0,-0.0,48.225,-0.0,-0.0,10.979128568097813,-0.0,-0.0,0.014090962034484886,35.64127335365376,-0.0
4579,-0.0,11.071229363780532,8.720343702137207,29.9,-0.0,-0.0,-0.0,-0.0,-0.0,121.97743205459723,-0.0,-0.0,-0.0,2.7563189297255977,-0.0,-0.0,122.0,-0.0,-0.0,-0.0,62.0,-0.0,-0.0,-0.0,48.675000000000004,-0.0,-0.0,10.668398514283725,-0.0,-0.0,-0.0,34.55374490180857,-0.0
4580,-0.0,11.471902426469732,20.216334898151914,30.049999999999997,-0.0,-0.0,-0.0,-0.0,-0.0,124.63392785251946,-0.0,-0.0,-0.0,2.7426512325534045,-0.0,-0.0,119.6,-0.0,-0.0,-0.0,60.6,-0.0,-0.0,-0.0,48.300000000000004,-0.0,-0.0,10.357668460469634,-0.0,-0.0,-0.0,33.61451578430591,-0.0
4581,-0.0,11.640606873917818,20.216334898151914,30.349999999999998,-0.0,-0.0,-0.0,-0.0,-0.0,123.74842925321207,-0.0,-0.0,-0.0,2.6879804438646326,-0.0,-0.0,117.19999999999999,-0.0,-0.0,-0.0,59.099999999999994,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,10.012412845120647,-0.0,-0.0,-0.0,32.92245222404079,-0.0
4582,-0.0,11.682782985779838,-0.0,29.45,-0.0,-0.0,-0.0,-0.0,-0.0,118.6568123071944,-0.0,-0.0,-0.0,2.546747573085305,-0.0,-0.0,113.19999999999999,-0.0,-0.0,-0.0,57.9,-0.0,-0.0,-0.0,46.35,-0.0,-0.0,9.787996695143805,-0.0,-0.0,-0.0,32.82358600114577,-0.0
4583,-0.0,11.598430762055797,-0.0,28.15,-0.0,-0.0,-0.0,-0.0,-0.0,116.6644404587527,-0.0,-0.0,-0.0,2.528523976855714,-0.0,-0.0,113.19999999999999,-0.0,-0.0,-0.0,57.699999999999996,-0.0,-0.0,-0.0,45.3,-0.0,-0.0,9.90883616051595,-0.0,-0.0,-0.0,32.971885335488295,-0.0
4584,-0.0,11.535166594262764,20.216334898151914,27.500000000000004,-0.0,-0.0,-0.0,-0.0,-0.0,118.6568123071944,-0.0,-0.0,-0.0,2.6287537561184626,-0.0,-0.0,115.8,-0.0,-0.0,-0.0,57.8,-0.0,-0.0,-0.0,44.324999999999996,-0.0,-0.0,10.029675625888096,-0.0,-0.0,-0.0,33.16961778127833,-0.0
4585,-0.0,11.450814370538723,20.216334898151914,27.1,-0.0,-0.0,-0.0,-0.0,-0.0,119.76368555632867,-0.0,-0.0,-0.0,2.665200948577644,-0.0,-0.0,115.8,-0.0,-0.0,-0.0,57.8,-0.0,-0.0,-0.0,43.724999999999994,-0.0,-0.0,10.029675625888096,-0.0,-0.0,-0.0,33.51564956141089,-0.0
