,ATG H2 Tank,BRB H2 Tank,GLP H2 Tank,MTQ H2 Tank,LCA H2 Tank,SKN H2 Tank,SVG H2 Tank,GRD H2 Tank
0,-0.0,-0.0,1855.842942473219,2006.0807671564467,-0.0,17.05462014621962,194.91648112182483,376.3549155237346
1,-0.0,-0.0,1874.2123346759736,2025.9316493441606,-0.0,11.800728218227874,197.18697711365928,378.8172536968991
2,-0.0,-0.0,1892.5817268787282,2045.7825315318746,-0.0,6.54683629023613,199.45747310549373,381.27959187006365
3,-0.0,-0.0,1910.9511190814828,2065.6334137195886,-0.0,1.292944362244386,201.72796909732818,383.7419300432282
4,-0.0,-0.0,1929.3205112842375,2085.4842959073026,-0.0,-0.0,203.99846508916264,386.20426821639273
5,-0.0,-0.0,1947.689903486992,2105.3351780950165,-0.0,-0.0,206.2689610809971,388.6666063895573
6,-0.0,-0.0,1966.0592956897467,2125.1860602827305,-0.0,-0.0,208.53945707283154,391.1289445627218
7,-0.0,-0.0,1984.4286878925013,2145.0369424704445,-0.0,-0.0,210.809953064666,393.59128273588635
8,-0.0,-0.0,2002.798080095256,2164.8878246581585,-0.0,-0.0,213.08044905650044,396.0536209090509
9,-0.0,-0.0,2021.1674722980106,2184.7387068458725,-0.0,-0.0,215.3509450483349,398.51595908221543
10,-0.0,-0.0,2039.5368645007652,2204.5895890335864,-0.0,-0.0,217.62144104016934,400.97829725537997
11,-0.0,-0.0,2057.90625670352,2224.4404712213004,-0.0,0.40225757724377864,219.8919370320038,403.4406354285445
12,-0.0,-0.0,2076.2756489062745,2244.2913534090144,-0.0,0.6595527747329915,222.16243302383825,405.90297360170905
13,5.781327172736747,-0.0,2094.645041109029,2264.1422355967284,-0.0,-0.0,224.4329290156727,408.3653117748736
14,11.562654345473494,-0.0,2113.0144333117837,2283.9931177844423,-0.0,-0.0,226.70342500750715,410.82764994803813
15,14.08935744890086,-0.0,2131.3838255145383,2303.8439999721563,-0.0,-0.0,228.9739209993416,413.28998812120267
16,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,231.24441699117605,415.7523262943672
17,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,233.5149129830105,418.21466446753175
18,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,235.78540897484496,420.6770026406963
19,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,238.0559049666794,423.1393408138608
20,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,240.32640095851386,425.60167898702537
21,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,242.5968969503483,428.0640171601899
22,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,244.86739294218276,430.52635533335445
23,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,247.1378889340172,432.988693506519
24,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,249.40838492585166,435.4510316796835
25,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,251.67888091768612,437.91336985284806
26,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,253.94937690952057,440.3757080260126
27,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,256.219872901355,442.83804619917714
28,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,258.49036889318944,445.3003843723417
29,14.08935744890086,-0.0,2149.753217717293,2323.6948821598703,-0.0,-0.0,260.76086488502386,447.7627225455062
30,14.08935744890086,-0.0,2149.753217717293,2334.1606730239027,-0.0,-0.0,263.0313608768583,450.22506071867076
31,17.84420343730457,-0.0,2149.753217717293,2334.1606730239027,-0.0,-0.0,265.05254422512684,452.6873988918353
32,23.625530610041316,-0.0,2149.753217717293,2354.0115552116167,-0.0,-0.0,266.59859681207735,455.14973706499984
33,29.40685778277806,-0.0,2149.753217717293,2373.8624373993307,-0.0,-0.0,267.8631141995712,457.6120752381644
34,35.18818495551481,11.805873608472227,2149.753217717293,2393.7133195870447,-0.0,-0.0,269.41118298218896,460.0744134113289
35,40.96951212825155,23.611747216944455,2168.1226099200476,2413.5642017747587,-0.0,-0.0,270.262691641884,462.53675158449346
36,46.7508393009883,35.417620825416684,2168.8182396171674,2433.4150839624726,-0.0,-0.0,270.352547734422,464.99908975765806
37,52.53216647372504,47.22349443388891,2187.187631819922,2453.2659661501866,-0.0,-0.0,268.20994180174694,466.877003339921
38,58.31349364646179,20.57274638431071,2205.5570240226766,2473.1168483379006,-0.0,-0.0,264.9227797027104,468.36036088990534
39,64.09482081919853,20.57274638431071,2223.9264162254312,2490.409730969187,-0.0,-0.0,261.63561760367384,468.467816318251
40,41.73545967080713,-0.0,2145.510100433213,2439.009102602231,-0.0,-0.0,258.3484555046373,467.0560425104052
41,18.076341171700417,-0.0,2067.093784640995,2387.608474235275,-0.0,-0.0,255.0612934056007,462.3395182734194
42,-0.0,-0.0,1988.6774688487772,2336.207845868319,-0.0,-0.0,251.77413130656413,455.90754489971835
43,-0.0,-0.0,1910.2611530565591,2284.807217501363,-0.0,-0.0,248.48696920752755,449.4755715260173
44,-0.0,-0.0,1831.844837264341,2233.406589134407,-0.0,-0.0,245.19980710849097,443.04359815231624
45,-0.0,-0.0,1753.428521472123,2182.005960767451,-0.0,-0.0,241.9126450094544,436.6116247786152
46,-0.0,-0.0,1675.012205679905,2130.605332400495,-0.0,-0.0,238.62548291041782,430.1796514049141
