,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
11,-0.0,10.981332545178175,17.10640552995392,1.0722619248679042,-0.0,-0.0,46.38,-0.0,1.3435646687697163,0.38643533123028373,-0.0,-0.0,-0.0,104.9935652173913,110.4064347826087,-0.0,6.6,7.200000000000001,-0.0,60.892455858748036,132.90754414125198,-0.0,-0.0,-0.0,50.0,-0.0,-0.0,-0.0,69.225,56.775,-0.0,-0.0,19.6,-0.0,-0.0,-0.0,0.778,27.222,-0.0
12,-0.0,11.18440128356696,15.948548387096775,2.467050329336267,-0.0,-0.0,46.46,-0.0,1.3680441640378551,0.39195583596214495,-0.0,-0.0,-0.0,106.8,110.3,-0.0,6.6,6.9,-0.0,60.21171749598716,134.88828250401284,-0.0,-0.0,-0.0,50.6,-0.0,-0.0,-0.0,74.975,54.525,-0.0,-0.0,19.6,-0.0,-0.0,-0.0,-0.0,28.4,-0.0
13,-0.0,10.575195068400605,14.267788018433182,3.047016913166214,-0.0,-0.0,44.89,-0.0,1.2901261829652997,0.3698738170347002,-0.0,-0.0,-0.0,99.9,102.5,-0.0,6.6,6.300000000000001,-0.0,109.2,76.99999999999999,-0.0,-0.0,-0.0,34.66087106096051,13.23912893903949,-0.0,-0.0,71.25,52.05,-0.0,-0.0,18.4,-0.0,-0.0,-0.0,-0.0,26.6,-0.0
14,-0.0,8.825679783820297,12.474976958525348,5.209343257654357,-0.0,-0.0,41.55,-0.0,1.2358832807570979,0.3141167192429021,-0.0,-0.0,-0.0,99.0,92.4,-0.0,6.6,5.5,-0.0,107.2,67.8,-0.0,-0.0,-0.0,45.0,-0.0,-0.0,-0.0,66.0,49.5,-0.0,3.9727705609623656,13.427229439037633,-0.0,-0.0,-0.0,0.586,24.914,-0.0
15,-0.0,5.6234419861509854,11.242419354838711,8.544138659010304,-0.0,8.93455958549223,31.41544041450777,-0.0,1.2902208201892744,0.20977917981072547,-0.0,12.690260869565194,-0.0,101.10000000000001,70.7097391304348,-0.0,6.6,5.0,-0.0,94.3203852327448,74.07961476725521,-0.0,-0.0,-0.0,34.40110774735104,9.098892252648959,-0.0,-0.0,81.50501618122978,28.39498381877023,-0.0,3.0132074683597176,13.786792531640284,-0.0,-0.0,-0.0,0.414,24.386,-0.0
16,-0.0,2.45244553284918,10.532764976958525,11.934789490192298,15.086113989637303,13.15,12.053886010362694,-0.0,1.4094006309148266,0.08059936908517347,-0.0,15.0,32.21982608695653,103.49999999999999,34.380173913043485,-0.0,6.6,5.300000000000001,-0.0,111.80000000000001,34.6629213483146,-0.0,21.03707865168539,-0.0,38.63019815604788,4.669801843952111,-0.0,30.646278317152102,35.0037216828479,45.449999999999996,-0.0,-0.0,16.6,-0.0,-0.0,-0.0,-0.0,24.4,-0.0
17,-0.0,0.24993075494004383,10.756866359447004,14.473202885612952,27.89663212435233,13.25,0.7533678756476684,-0.0,1.5339274447949527,0.006072555205047316,10.573391304347822,15.0,50.0,106.19999999999999,2.126608695652174,3.7,6.6,5.300000000000001,-0.0,115.8,2.5749598715890842,4.025040128410936,50.0,-0.0,44.6,-0.0,-0.0,66.63098705501618,2.044012944983819,44.925,-0.0,-0.0,17.1,-0.0,-0.0,-0.0,-0.0,24.6,-0.0
18,0.5915898617511459,-0.0,11.69062211981567,17.61778801843318,33.55,13.850000000000001,-0.0,-0.0,1.77,-0.0,41.7,15.0,50.0,109.5,-0.0,3.7,6.6,7.4,-0.0,119.6,-0.0,29.30000000000001,50.0,-0.0,51.6,-0.0,-0.0,86.475,-0.0,46.125,-0.0,-0.0,19.896629213483145,-0.0,0.10337078651685516,-0.0,-0.0,29.2,-0.0
19,0.7984331797234994,-0.0,12.77377880184332,17.61778801843318,35.15,14.85,-0.0,-0.0,1.83,-0.0,45.7,15.0,50.0,114.0,-0.0,3.7,6.6,7.9,-0.0,123.8,-0.0,31.799999999999997,50.0,-0.0,54.0,-0.0,-0.0,87.67499999999998,-0.0,47.925000000000004,-0.0,-0.0,20.408988764044942,-0.0,0.19101123595505953,-0.0,-0.0,30.2,-0.0
20,-0.0,-0.0,13.819585253456223,16.44041474654378,33.58,16.0,-0.0,-0.0,1.86,-0.0,34.29999999999998,15.0,50.0,121.2,-0.0,3.7,6.6,7.9,-0.0,128.0,-0.0,26.69999999999999,50.0,-0.0,53.4,-0.0,-0.0,84.975,-0.0,49.425000000000004,-0.0,-0.0,20.6,-0.0,-0.0,-0.0,-0.0,29.7,-0.0
21,-0.0,-0.0,14.902741935483874,14.877258064516127,31.1,17.1,-0.0,-0.0,1.81,-0.0,23.000000000000014,15.0,50.0,128.1,-0.0,3.7,6.6,7.4,-0.0,130.8,-0.0,19.099999999999994,50.0,-0.0,52.4,-0.0,-0.0,84.275,-0.0,49.125,-0.0,-0.0,19.7,-0.0,-0.0,-0.0,-0.0,29.2,-0.0
22,-0.0,-0.0,15.873847926267283,13.866152073732716,29.07,18.25,-0.0,-0.0,1.79,-0.0,14.09999999999998,15.0,50.0,132.9,-0.0,3.7,6.6,7.200000000000001,-0.0,131.6,-0.0,14.800000000000011,50.0,-0.0,50.6,-0.0,-0.0,80.30000000000001,-0.0,47.4,-0.0,-0.0,19.9,-0.0,-0.0,-0.0,-0.0,28.8,-0.0
23,-0.0,-0.0,16.322050691244243,11.477949308755758,25.029999999999998,18.95,-0.0,-0.0,1.68,-0.0,-0.0,15.0,49.599999999999994,138.0,-0.0,-0.0,6.6,6.300000000000001,-0.0,131.4,-0.0,3.799999999999983,50.0,-0.0,48.0,-0.0,-0.0,76.25,-0.0,45.449999999999996,-0.0,-0.0,18.5,-0.0,-0.0,-0.0,-0.0,27.1,-0.0
24,-0.0,-0.0,16.060599078341017,9.679400921658981,21.7,19.2,-0.0,-0.0,1.55,-0.0,-0.0,15.0,31.69999999999999,141.0,-0.0,-0.0,6.6,5.6,-0.0,128.8,-0.0,-0.0,43.19999999999999,-0.0,44.1,-0.0,-0.0,69.4,-0.0,43.199999999999996,-0.0,-0.0,17.0,-0.0,-0.0,-0.0,-0.0,24.9,-0.0
25,-0.0,-0.0,15.201543778801843,9.018456221198155,20.58,18.9,-0.0,-0.0,1.48,-0.0,-0.0,15.0,22.30000000000001,141.29999999999998,-0.0,-0.0,6.6,4.9,-0.0,124.2,-0.0,-0.0,39.499999999999986,-0.0,42.3,-0.0,-0.0,67.64999999999999,-0.0,40.650000000000006,-0.0,-0.0,16.4,-0.0,-0.0,-0.0,-0.0,23.7,-0.0
