,ATG H2 Tank,BRB H2 Tank,GLP H2 Tank,GRD H2 Tank,LCA H2 Tank,MSR H2 Tank,MTQ H2 Tank,SKN H2 Tank,SVG H2 Tank
0,448.5361935919177,532.5337498286602,2382.814699166855,280.2368105989006,492.3290195527946,28.874765624152968,2159.4036045529165,553.6518442566435,289.1295691240044
1,419.23979640342077,468.02195005046656,2322.9127840775204,281.8002646510408,476.6385500842043,29.13341616885438,2123.5770241267114,553.6518442566435,292.80538625486093
2,390.43339921492384,404.5181502722729,2322.9127840775204,283.36371870318095,461.04929351919225,29.392066713555796,2087.7504437005064,553.6518442566435,297.32698605663404
3,361.73200202642687,339.88035049407927,2289.1194055813303,281.9766292525612,467.629787346736,29.65071725825721,2098.1407122213463,553.6518442566435,301.7187627046856
4,332.4286048379299,362.62153224337095,2289.1194055813303,278.94221482172543,500.4394105475624,29.909367802958624,2111.024904222742,553.6518442566435,301.7187627046856
5,303.41220764943296,385.36271399266263,2289.1194055813303,266.3252809290028,507.34105184066976,29.909367802958624,2111.024904222742,553.6518442566435,301.7187627046856
6,275.26641718746095,325.84953523055333,2289.1194055813303,265.03957139388456,491.8812417822092,29.909367802958624,2121.391561509303,553.6518442566435,303.3568581498812
7,260.24024243075297,310.5823127952334,2229.2174904919957,252.42263750116194,491.3141426381019,30.10927847731903,2121.391561509303,557.5076340031832,306.4850531844685
8,261.7356264320803,333.3234945445251,2169.315575402661,253.98609155330212,490.74704349399457,30.10927847731903,2121.556689029119,561.3924113707845,306.4850531844685
9,265.9571133740861,356.0646762938168,2260.587885324722,255.5495456054423,528.2105769841434,30.367929022020444,2121.556689029119,565.2771887383859,313.28225415953983
10,270.17860031609183,378.80585804310846,2200.6859702353872,257.11299965758246,527.6434778400361,30.367929022020444,2085.730108602914,569.1619661059873,320.0794551346112
11,274.4000872580976,401.54703979240014,2140.7840551460527,258.67645370972264,527.0763786959288,30.62657956672186,2191.2785511305956,573.0467434735887,326.87665610968253
12,278.62157420010334,424.2882215416918,2080.882140056718,260.2399077618628,526.5092795518216,30.885230111423272,2296.8269936582774,576.93152084119,333.6738570847539
13,282.8430611421091,447.0294032909835,2020.9802249673833,267.0371719632884,525.9421804077143,31.143880656124686,2402.375436185959,577.38876320368,340.4710580598252
14,287.06454808411485,469.7705850402752,1961.0783098780485,268.6006260154286,535.4584052567775,31.291005212347326,2366.548855759754,581.2735405712814,340.4710580598252
15,291.2860350261206,492.5117667895669,1901.1763947887137,270.16408006756876,559.7458267022679,31.54965575704874,2330.722275333549,585.1583179388828,346.05887840413266
16,295.50752196812635,452.8388749317289,1807.8567548088777,271.72753411970893,554.5366454216502,31.588575351805783,2275.660719575862,585.8790180102255,352.3652152060912
17,273.6661024857206,371.4491719664028,1726.5515692279969,273.2909881718491,557.2601141397541,31.1996716933892,2180.921574793684,578.8148072950382,352.3652152060912
18,224.85370529722366,394.19035371569447,1586.7054925042025,269.2864021269161,550.3524661362956,30.810768034972615,2106.560019425524,571.7505965798509,352.3652152060912
19,175.3413081087267,351.51051788324094,1586.7054925042025,264.7114592310419,541.492125570863,30.42186437655603,2029.564493061996,564.6863858646636,352.3652152060912
20,127.41091092022975,374.2516996325326,1526.8035774148677,266.27491328318206,540.9250264267557,30.032960718139446,1993.737912635791,564.6863858646636,353.4284076475288
21,81.67851373173279,281.263899854339,1368.0382194969704,267.83836733532223,540.3579272826485,29.64405705972286,1941.6121026815558,557.6221751494763,355.142839036074
22,37.85011654323583,190.33410007614535,1214.7447560764235,269.4018213874624,539.7908281385412,29.255153401306277,1840.3719709192326,550.557964434289,356.46240305932804
23,15.083449876569173,101.4203002979517,1124.8661467360744,270.9652754396026,539.2237289944339,29.255153401306277,1746.8011852434834,543.4937537191017,363.2596040343994
24,-0.0,16.356500519758058,1089.5049885803207,272.52872949174275,539.2237289944339,28.866249742889693,1660.2518986931966,536.4295430039144,369.00362976641736
25,-0.0,-0.0,1089.5049885803207,274.0921835438829,539.2237289944339,28.53674627840762,1518.8768757393098,534.1112968812168,375.8008307414887
26,-0.0,-0.0,1089.5049885803207,272.2720567734395,539.2237289944339,28.36596186627439,1518.8768757393098,534.1112968812168,382.59803171656006
27,-0.0,-0.0,1089.5049885803207,259.6551228807169,539.402023747563,28.36596186627439,1518.8768757393098,534.1112968812168,389.3952326916314
28,-0.0,-0.0,1060.8070131965424,258.10642623858735,538.8479241370738,28.36596186627439,1518.8768757393098,527.0470861660294,389.3952326916314
29,-0.0,-0.0,997.4228706028476,245.48949234586473,529.9953847653205,28.36596186627439,1511.9298421508065,527.0470861660294,389.3952326916314
30,-0.0,-0.0,997.4228706028476,242.58555690014498,529.4282856212133,27.977058207857805,1393.7646722222341,527.0470861660294,389.3952326916314
31,-0.0,-0.0,997.4228706028476,244.14901095228515,529.4282856212133,27.977058207857805,1305.6279070438025,527.0470861660294,390.61874077313547
32,15.097488814223139,-0.0,997.4228706028476,245.71246500442533,529.4282856212133,27.977058207857805,1248.9760656401422,527.0470861660294,394.644481423921
33,49.445965711861646,-0.0,1041.0795059283537,247.9814519727125,557.5783055562658,27.977058207857805,1302.1443364513382,527.0470861660294,394.644481423921
34,104.76031329917893,-0.0,1145.5627931078723,235.49726537834692,557.0112064121586,27.977058207857805,1302.1443364513382,527.0470861660294,394.644481423921
35,114.81614855955344,-0.0,1250.0460802873909,241.13128163707614,556.4441072680513,27.977058207857805,1375.1772285887075,527.0470861660294,401.4416823989923
