,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,-8.881784197001252e-16,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,-3.552713678800501e-15,0.0,-8.881784197001252e-16,0.0
1,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,-8.881784197001252e-16,0.0
2,8.881784197001252e-16,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,-3.552713678800501e-15,0.0,8.881784197001252e-16,0.0
3,1.7763568394002505e-15,0.0,1.4210854715202004e-14,0.0,0.0,3.552713678800501e-15,0.0,-8.881784197001252e-16,0.0
4,-8.881784197001252e-16,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,-3.552713678800501e-15,0.0,8.881784197001252e-16,0.0
5,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,3.552713678800501e-15,0.0,8.881784197001252e-16,0.0
6,-8.881784197001252e-16,-3.552713678800501e-15,-1.4210854715202004e-14,0.0,-2.842170943040401e-14,3.552713678800501e-15,0.0,8.881784197001252e-16,1.7763568394002505e-15
7,0.0,-1.7763568394002505e-15,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,-3.552713678800501e-15,7.105427357601002e-15,8.881784197001252e-16,0.0
8,0.0,-3.552713678800501e-15,0.0,0.0,7.105427357601002e-15,3.552713678800501e-15,0.0,-8.881784197001252e-16,-1.7763568394002505e-15
9,0.0,0.0,1.4210854715202004e-14,1.1102230246251565e-16,-1.4210854715202004e-14,3.552713678800501e-15,-2.842170943040401e-14,0.0,-3.552713678800501e-15
10,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0
11,0.0,0.0,-1.4210854715202004e-14,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,-1.7763568394002505e-15
13,0.0,0.0,2.842170943040401e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.7763568394002505e-15
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15
15,-1.7763568394002505e-15,0.0,0.0,1.1102230246251565e-16,7.105427357601002e-15,7.105427357601002e-15,-7.105427357601002e-15,-2.6645352591003757e-15,0.0
16,-8.881784197001252e-16,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,-3.552713678800501e-15,0.0,0.0,0.0
