,SKN Storage,ATG Storage,MSR Storage,GLP Storage,MTQ Storage,LCA Storage,BRB Storage,SVG Storage,GRD Storage
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.9902615138702693,10.236457926727333,0.45751660705160957,18.13612272780341,35.927777548733005,-0.0,-0.0,4.498084221207641,-0.0
8,15.98873668528587,40.29337038068695,0.7999999999999998,108.59759809146608,116.65527321259584,-0.0,-0.0,2.3416608068698004,-0.0
9,25.777606477914972,65.05008561856033,-0.0,161.38278650698703,185.72576408537464,-0.0,56.32499999999925,9.292121100064815,-0.0
10,29.461746287411945,69.4535225216526,-0.0,198.41335619440645,207.72153993512802,-0.0,200.0,9.292121100064815,-0.0
11,29.461746287411945,69.4535225216526,0.08170158405722994,210.68827893562235,207.72153993512802,-0.0,200.0,9.292121100064815,-0.0
12,29.461746287411945,69.4535225216526,0.7327133367399099,214.15247975599527,207.72153993512802,-0.0,200.0,9.292121100064815,-0.0
13,29.461746287411945,69.4535225216526,0.07405723045477752,214.5091504361012,207.72153993512802,-0.0,200.0,9.292121100064815,-0.0
14,22.873978073720075,66.326940172079,0.7999999999999998,172.1076603783333,191.56835660161897,-0.0,178.00750000000005,9.292121100064815,-0.0
15,8.14186277733712,40.36612431942382,-0.0,107.16443333086607,121.45499132772566,-0.0,103.9525,7.85307410252023,-0.0
16,-0.0,-0.0,0.38786918753193655,-0.0,29.298993268320842,-0.0,5.9325000000000045,3.863385626831072,-0.0
17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02803744270087427,-0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,5.410544039185325,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,11.711984282907657,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,13.85913555992142,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,16.21944990176818,-0.0,-0.0,-0.0
25,-0.0,-0.0,0.020000000000000018,-0.0,-0.0,15.030648330058945,-0.0,-0.0,-0.0
26,-0.0,-0.0,0.08000000000000007,-0.0,-0.0,12.560707269155202,-0.0,-0.0,-0.0
27,-0.0,-0.0,0.06000000000000005,-0.0,-0.0,10.496463654223966,-0.0,-0.0,-0.0
