,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
0,26.95,43.24,196.5,1.62,12.6,179.9,47.4,119.5,18.0,26.3
1,25.28,40.88,183.1,1.53,11.7,168.9,43.4,110.0,17.0,24.7
2,25.01,39.86,183.3,1.5,11.6,164.9,42.3,107.6,16.6,24.1
3,24.68,38.75,181.3,1.46,11.5,162.6,42.9,108.5,16.3,23.3
4,23.73,38.97,176.3,1.46,11.4,160.5,41.5,107.1,16.1,23.4
5,24.15,38.48,175.1,1.42,11.1,160.5,42.1,106.5,16.3,23.5
6,23.34,37.29,172.1,1.41,10.8,155.5,40.9,104.1,15.5,22.6
7,23.83,37.86,176.3,1.41,11.0,158.5,41.6,103.1,15.7,22.8
8,25.26,40.07,184.2,1.49,11.9,168.0,44.1,109.8,16.6,24.5
9,26.58,42.41,198.0,1.61,12.6,178.3,45.9,117.2,17.8,26.0
10,28.02,44.6,205.7,1.68,13.2,187.1,48.0,124.4,18.7,27.4
11,29.16,46.38,215.4,1.73,13.8,193.8,50.0,126.0,19.6,28.0
12,29.6,46.46,217.1,1.76,13.5,195.1,50.6,129.5,19.6,28.4
13,27.89,44.89,202.4,1.66,12.9,186.2,47.9,123.3,18.4,26.6
14,26.51,41.55,191.4,1.55,12.1,175.0,45.0,115.5,17.4,25.5
15,25.41,40.35,184.5,1.5,11.6,168.4,43.5,109.9,16.8,24.8
16,24.92,40.29,185.1,1.49,11.9,167.5,43.3,111.1,16.6,24.4
17,25.48,41.9,187.6,1.54,11.9,172.4,44.6,113.6,17.1,24.6
18,29.9,47.4,219.9,1.77,14.0,198.9,51.6,132.6,20.0,29.2
19,31.19,50.0,228.4,1.83,14.5,205.6,54.0,135.6,20.6,30.2
20,30.26,49.58,224.2,1.86,14.5,204.7,53.4,134.4,20.6,29.7
21,29.78,48.2,219.8,1.81,14.0,199.9,52.4,133.4,19.7,29.2
22,29.74,47.32,215.7,1.79,13.8,196.4,50.6,127.7,19.9,28.8
23,27.8,43.98,202.6,1.68,12.9,185.2,48.0,121.7,18.5,27.1
24,25.74,40.9,187.7,1.55,12.2,172.0,44.1,112.6,17.0,24.9
25,24.22,39.48,178.6,1.48,11.5,163.7,42.3,108.3,16.4,23.7
26,23.96,38.03,173.8,1.42,11.3,159.8,41.6,106.2,15.8,22.9
27,23.88,37.86,172.5,1.44,10.9,158.3,41.4,105.5,15.9,22.8
28,24.25,37.84,174.7,1.44,11.3,159.9,41.1,107.0,15.9,23.5
29,25.21,40.56,186.8,1.53,11.7,169.3,44.1,112.5,17.1,24.4
30,26.48,42.06,195.9,1.62,12.5,177.3,46.5,116.9,17.6,25.5
31,29.45,46.35,213.0,1.75,13.7,195.5,50.8,127.6,19.6,28.3
32,32.34,51.91,241.1,1.98,15.1,218.0,56.0,142.3,21.8,31.5
33,34.92,55.54,249.0,2.04,15.8,229.4,58.9,151.1,23.1,33.4
34,34.98,55.99,258.1,2.08,16.2,232.8,61.1,154.4,23.0,34.0
35,35.71,57.64,263.2,2.11,16.7,238.4,61.1,158.5,23.6,34.4
36,35.93,58.16,269.4,2.15,17.0,241.6,62.0,159.7,23.8,35.2
37,35.79,57.63,266.2,2.12,16.9,238.7,62.4,157.9,23.9,34.9
38,35.01,56.41,259.1,2.08,16.4,234.3,60.3,152.6,23.8,33.8
39,34.66,54.94,253.5,2.1,16.4,230.4,59.9,152.8,23.3,33.8
40,33.48,53.29,239.6,1.97,15.6,220.6,57.6,146.0,22.4,32.3
41,33.17,52.64,244.0,1.98,15.5,220.0,57.4,145.4,22.0,31.5
42,36.37,57.56,266.4,2.2,16.8,243.5,63.9,159.1,24.5,35.7
43,36.39,58.38,271.3,2.22,17.0,245.7,62.9,162.8,24.8,35.9
44,34.84,56.2,254.5,2.1,16.4,234.8,61.1,155.1,23.6,33.8
45,32.62,53.24,242.0,1.96,15.2,220.1,57.3,147.4,22.3,31.7
46,31.69,51.84,236.2,1.93,14.8,213.4,56.0,142.7,21.1,31.0
47,29.68,47.28,214.9,1.77,13.8,198.2,51.2,129.6,19.7,29.0
48,27.27,44.67,202.6,1.64,12.9,183.5,47.2,122.7,18.5,26.2
49,25.76,41.59,187.9,1.55,12.2,173.3,45.4,114.9,17.2,25.0
50,25.61,40.74,183.7,1.5,11.7,168.4,44.0,112.3,16.6,24.6
51,24.95,39.69,181.3,1.52,11.8,166.7,43.8,110.8,16.8,23.9
52,25.62,40.05,185.6,1.53,11.9,168.5,43.4,110.0,17.0,24.7
53,26.64,42.91,198.0,1.61,12.5,178.6,45.9,116.4,17.6,25.7
54,27.89,44.47,207.9,1.67,13.2,187.4,48.2,122.8,18.6,26.8
55,31.12,49.73,225.7,1.82,14.3,204.8,53.9,136.0,20.3,29.9
56,33.84,53.82,246.0,2.01,15.8,224.6,57.9,146.5,22.2,32.6
57,34.32,55.85,257.1,2.08,16.1,231.2,59.2,151.4,23.0,33.1
58,35.43,57.49,261.8,2.16,16.4,236.3,62.3,156.2,23.3,34.3
59,35.94,57.96,268.3,2.17,16.8,241.4,62.2,158.8,24.1,35.0
60,36.06,58.17,265.4,2.16,17.1,243.3,63.1,160.8,24.0,35.5
61,36.07,57.53,262.5,2.13,16.6,238.5,61.7,157.0,23.7,34.8
62,34.83,55.54,254.0,2.13,16.3,234.2,61.2,152.5,23.7,33.6
63,34.85,55.82,250.8,2.08,16.3,230.1,59.8,153.4,23.2,33.6
64,32.91,53.13,248.3,1.98,15.5,222.7,57.8,147.6,22.3,32.6
65,32.9,53.11,241.2,2.01,15.4,222.5,57.1,147.4,22.5,31.9
66,36.63,59.3,272.1,2.21,17.3,247.4,64.3,164.6,24.8,36.1
67,36.93,58.9,272.3,2.22,17.3,249.0,65.3,165.2,24.7,35.8
68,35.77,57.99,258.3,2.15,16.8,238.4,61.2,157.7,24.0,34.9
69,33.31,53.04,243.8,1.98,15.7,222.1,58.4,147.5,21.9,32.5
70,31.83,51.13,233.5,1.92,14.9,211.0,55.7,140.9,21.0,30.8
71,29.12,47.01,216.0,1.74,13.6,193.7,50.8,128.7,19.2,28.3
72,26.78,43.13,196.2,1.6,12.5,179.0,46.2,119.3,18.1,25.7
73,25.17,40.62,184.5,1.53,11.9,169.6,43.9,112.1,16.8,24.4
74,24.68,39.32,182.9,1.5,11.4,164.2,42.6,107.9,16.4,24.0
75,24.68,39.6,182.4,1.46,11.6,163.4,42.3,106.7,16.3,23.7
76,24.98,40.37,184.2,1.52,11.7,166.9,43.0,109.2,16.7,23.9
77,26.99,43.88,197.4,1.63,12.7,181.9,46.9,121.6,18.4,26.1
78,29.7,48.14,219.4,1.77,13.8,198.1,52.0,130.2,19.7,29.0
79,32.27,50.99,230.8,1.89,14.7,212.8,55.5,139.1,21.3,31.0
80,34.23,54.25,248.8,2.06,16.0,227.0,59.5,148.6,22.5,32.5
81,35.93,56.77,259.7,2.1,16.5,236.4,62.0,156.0,23.4,34.1
82,36.34,56.94,261.8,2.16,16.7,240.8,62.4,157.1,23.8,35.0
83,36.87,59.5,272.1,2.21,17.3,246.3,64.5,160.8,24.8,35.2
84,37.9,59.33,277.0,2.24,17.7,249.9,64.9,164.9,25.1,36.5
85,37.36,59.13,270.2,2.21,17.2,247.2,64.1,161.5,24.9,35.4
86,36.1,59.14,269.5,2.2,17.0,243.9,63.2,162.1,24.7,34.9
87,36.15,56.56,265.5,2.17,16.4,238.2,61.6,156.3,23.6,34.7
88,34.07,55.28,254.0,2.06,15.8,228.1,58.7,152.5,22.6,33.3
89,33.77,52.98,247.2,2.02,15.7,224.0,57.4,148.4,22.6,32.9
90,37.13,59.26,276.0,2.23,17.6,248.7,65.4,163.3,24.5,36.4
91,37.32,59.4,275.5,2.27,17.5,249.0,64.6,164.6,24.9,36.1
92,35.45,55.69,258.7,2.08,16.6,235.0,60.3,155.3,23.5,34.0
93,32.82,53.26,241.8,2.0,15.4,219.4,57.3,146.2,22.3,32.0
94,31.18,50.68,229.0,1.91,14.8,209.8,53.9,136.9,20.9,30.7
95,29.22,46.79,217.3,1.73,13.4,194.7,51.0,130.4,19.7,28.0
96,27.59,43.31,197.1,1.64,12.7,181.6,47.1,118.6,18.4,26.2
97,25.75,41.82,191.1,1.55,11.9,172.4,44.4,114.2,17.2,25.3
98,25.12,40.3,184.1,1.52,11.6,167.4,44.1,109.0,16.7,24.0
99,24.61,39.69,182.6,1.5,11.7,165.8,43.2,108.1,16.7,23.9
100,25.76,41.27,187.1,1.53,11.8,169.7,43.6,112.9,17.2,24.9
101,27.79,44.92,207.9,1.68,13.0,186.4,48.7,122.4,18.8,26.9
102,30.53,48.2,219.5,1.84,14.3,201.7,52.6,132.8,19.9,29.4
103,32.18,51.61,235.8,1.96,15.3,215.6,56.9,141.5,21.3,31.2
104,34.63,55.54,251.7,2.08,16.0,228.3,59.6,150.2,22.9,32.8
105,35.96,57.66,259.8,2.12,16.4,237.0,61.1,157.3,24.0,34.8
106,35.56,57.99,263.0,2.16,16.7,239.9,62.7,159.0,23.8,34.7
107,35.53,57.09,262.1,2.14,16.8,236.7,61.0,154.6,23.9,34.6
108,35.8,57.33,267.7,2.17,16.8,241.6,62.1,160.0,24.3,35.4
109,35.96,56.58,259.0,2.14,16.7,238.4,62.0,156.5,24.0,34.4
110,35.37,55.46,253.2,2.11,16.1,232.5,59.6,155.1,23.5,33.3
111,34.24,53.81,246.8,2.02,15.7,227.3,59.3,148.0,23.0,33.1
112,32.95,53.56,240.1,1.97,15.2,220.2,57.6,146.5,22.0,32.4
113,33.45,53.47,243.0,1.96,15.4,220.3,57.8,145.3,21.9,31.5
114,35.95,58.97,263.6,2.22,17.3,242.9,62.3,158.2,24.4,35.7
115,36.92,58.45,270.9,2.18,17.3,244.1,63.8,163.4,24.1,35.7
116,35.06,55.05,251.1,2.06,16.2,231.5,59.9,150.9,23.3,33.7
117,32.87,51.27,235.4,1.97,15.3,216.6,55.8,143.0,21.5,31.5
118,31.65,50.35,228.1,1.87,14.7,209.5,54.0,138.7,21.0,30.1
119,29.28,46.58,214.1,1.79,13.9,196.2,51.4,130.1,19.7,28.7
120,26.67,43.21,197.1,1.62,12.5,179.9,47.4,120.5,17.9,26.5
121,25.97,41.1,189.4,1.54,12.1,170.8,43.9,112.9,17.0,24.8
122,24.77,39.96,180.1,1.49,11.3,164.5,43.3,108.7,16.5,24.0
123,24.39,38.55,180.3,1.46,11.3,162.2,42.7,107.4,16.5,23.3
124,24.42,39.37,181.2,1.46,11.5,162.3,42.7,106.6,16.3,23.4
125,24.73,40.04,183.8,1.53,11.7,167.3,43.4,110.7,16.6,24.2
126,25.71,41.48,185.3,1.54,11.8,170.3,44.8,111.8,17.2,24.7
127,27.83,44.45,199.1,1.64,12.8,183.4,48.2,122.5,18.2,26.7
128,29.63,47.05,219.3,1.8,14.0,197.7,51.8,129.0,19.8,28.9
129,30.99,49.84,224.8,1.89,14.7,207.4,54.3,137.4,20.8,29.7
130,31.66,49.83,227.2,1.87,14.7,208.2,53.7,136.7,20.9,30.3
131,31.77,51.14,230.6,1.89,15.0,212.0,55.9,140.5,21.2,30.3
132,32.35,51.2,237.2,1.93,15.1,214.3,55.8,140.7,21.5,30.7
133,31.34,49.71,227.7,1.86,14.5,209.9,55.2,139.5,21.0,30.4
134,29.77,47.6,221.9,1.82,13.9,201.1,51.6,132.2,20.0,28.7
135,29.2,47.25,217.6,1.77,13.6,195.2,50.6,128.7,19.5,28.5
136,29.58,46.62,215.6,1.75,13.6,194.9,50.8,126.9,19.3,27.9
137,30.1,47.77,221.8,1.81,14.0,200.4,52.7,133.9,20.2,29.5
138,34.03,54.57,250.3,2.01,15.5,224.5,58.9,147.2,22.2,33.0
139,33.99,53.58,249.5,2.03,15.8,226.4,58.5,149.5,22.6,33.1
140,31.9,51.11,240.4,1.92,15.2,215.7,55.9,144.1,21.3,31.3
141,29.86,48.19,219.3,1.81,13.9,201.2,51.9,134.0,20.4,29.3
142,28.91,46.53,214.1,1.74,13.7,195.0,50.0,129.0,19.4,28.5
143,27.56,44.04,203.1,1.64,12.8,183.3,47.6,121.9,18.5,26.3
144,25.47,40.86,187.3,1.52,12.0,170.7,44.0,112.8,17.2,25.0
145,24.51,38.29,178.7,1.47,11.1,161.2,41.5,107.4,16.2,23.1
146,23.4,37.9,170.8,1.41,11.0,156.0,40.2,103.2,15.7,22.5
147,23.1,37.6,169.2,1.39,10.8,155.5,39.9,101.5,15.6,22.6
148,23.16,37.97,171.2,1.43,10.9,156.2,41.2,102.1,15.9,22.6
149,23.76,38.62,177.3,1.42,11.2,159.3,41.4,103.9,15.9,23.4
150,23.82,38.31,178.3,1.43,11.3,160.9,41.7,106.0,16.0,23.5
151,26.04,41.25,190.9,1.58,12.0,173.0,44.6,113.8,17.3,25.5
152,27.95,44.86,205.4,1.71,13.1,188.1,48.3,125.5,18.6,27.2
153,29.16,47.05,211.0,1.77,13.8,194.4,51.3,128.2,19.6,28.0
154,29.8,46.69,219.8,1.76,14.0,197.4,51.4,131.8,19.5,28.8
155,30.86,49.15,225.7,1.8,14.0,202.9,53.0,133.9,20.0,29.1
156,30.53,49.23,224.5,1.81,14.3,204.0,53.6,134.3,20.2,29.9
157,28.37,45.97,211.2,1.74,13.4,191.4,49.8,126.9,19.1,27.8
158,26.97,43.78,197.8,1.65,12.8,181.0,47.6,121.1,18.2,25.9
159,26.15,42.34,192.3,1.56,12.1,175.7,45.6,115.3,17.7,25.1
160,25.71,42.27,193.1,1.58,12.0,173.8,45.7,113.4,17.5,25.4
161,26.75,43.18,195.4,1.6,12.5,178.1,46.3,119.0,18.0,25.9
162,30.62,49.85,224.1,1.84,14.5,205.4,53.1,137.6,20.8,29.5
163,31.43,51.56,231.4,1.93,14.7,211.9,55.3,139.9,20.9,30.8
164,31.95,50.05,231.8,1.9,14.8,210.2,54.2,140.4,21.0,30.1
165,30.43,48.04,223.0,1.78,14.0,201.0,51.5,132.7,20.3,29.0
166,29.02,46.41,212.4,1.7,13.4,191.2,50.1,127.7,19.2,27.5
167,26.88,42.34,196.7,1.61,12.5,177.0,46.6,116.4,17.6,25.5
168,24.56,39.11,183.6,1.48,11.5,165.3,43.5,107.5,16.7,24.2
169,23.51,37.81,170.9,1.43,11.1,157.4,40.8,103.0,15.7,22.8
170,22.72,37.23,166.9,1.39,10.9,153.7,39.9,100.0,15.2,22.2
171,23.13,36.98,167.4,1.37,10.6,152.4,39.5,100.7,15.2,22.3
172,23.62,37.96,172.6,1.44,11.2,158.0,40.8,104.8,15.7,22.9
173,27.19,43.12,197.9,1.64,12.6,180.3,47.3,119.2,17.9,26.4
174,30.13,47.21,218.1,1.8,13.7,198.1,51.3,132.1,19.7,28.3
175,32.09,50.4,230.3,1.88,14.7,211.4,55.4,139.6,20.9,30.9
176,33.38,53.93,245.3,2.02,15.4,222.5,58.4,144.8,22.4,32.0
177,34.01,55.4,253.1,2.09,16.1,228.9,58.9,151.9,23.2,33.2
178,35.14,56.22,258.9,2.11,16.2,235.0,60.2,153.5,23.5,34.4
179,34.97,57.25,263.4,2.1,16.4,236.1,60.7,154.8,23.7,34.3
180,35.0,56.14,261.4,2.12,16.2,234.7,60.7,154.7,23.4,34.1
181,35.51,55.82,254.9,2.12,16.1,233.3,61.2,154.9,23.1,33.8
182,34.67,54.98,254.7,2.08,16.4,231.8,60.2,151.7,23.3,34.0
183,34.0,54.68,247.9,2.05,15.7,227.2,58.3,150.6,22.5,33.1
184,33.2,52.36,238.0,1.96,15.1,219.2,56.2,144.2,21.9,31.7
185,32.14,52.62,238.6,1.93,15.2,217.2,56.4,141.5,21.8,31.8
186,36.67,58.62,268.7,2.2,16.9,242.3,63.0,162.3,24.0,35.2
187,36.12,58.08,266.5,2.21,17.0,242.4,62.3,158.1,24.1,34.9
188,34.71,54.03,253.2,2.05,16.0,228.5,58.9,150.0,23.0,33.2
189,32.16,50.97,231.0,1.89,14.8,211.7,55.3,141.7,20.9,30.5
190,30.34,48.84,224.4,1.83,14.1,202.6,53.2,132.9,20.3,29.8
191,27.97,44.54,206.7,1.67,13.0,185.2,48.6,121.2,18.3,26.6
192,25.19,40.56,184.6,1.52,11.9,170.2,43.8,111.5,17.3,24.8
193,23.9,38.59,174.5,1.44,11.3,160.5,41.4,105.0,15.9,23.5
194,23.65,37.21,170.1,1.43,11.0,156.8,41.3,103.4,15.8,22.7
195,23.74,37.82,170.4,1.42,11.0,156.3,40.9,103.5,15.5,22.4
196,24.02,38.73,178.6,1.46,11.4,160.7,42.4,107.5,16.2,23.5
197,27.04,44.33,202.3,1.63,12.8,182.2,47.3,121.8,18.4,26.3
198,30.34,48.61,223.3,1.8,13.9,200.7,52.4,134.2,19.9,29.0
199,32.24,50.78,237.0,1.91,15.1,213.4,54.7,139.2,21.7,31.0
200,33.76,53.64,248.8,2.02,15.6,225.7,59.5,150.0,22.8,32.5
201,35.09,55.93,252.8,2.07,16.5,233.0,59.9,151.6,23.5,34.0
202,35.63,56.83,263.5,2.17,16.7,237.9,61.6,158.4,24.0,34.5
203,36.22,57.52,265.5,2.16,17.2,242.9,63.7,159.3,24.3,35.1
204,37.02,58.35,265.1,2.17,17.0,243.2,62.6,161.6,24.0,35.0
205,36.14,57.66,265.7,2.16,16.5,238.1,61.6,157.5,23.9,34.4
206,35.26,56.87,259.8,2.1,16.3,235.3,61.6,155.9,23.8,33.7
207,34.09,54.99,250.7,2.09,16.1,229.5,60.1,151.4,22.6,33.1
208,33.7,52.85,246.4,2.01,15.4,222.1,58.5,145.4,22.1,32.7
209,33.31,52.24,238.0,1.98,15.5,219.5,57.7,143.1,22.1,31.6
210,36.43,58.49,265.7,2.19,17.2,243.1,63.6,162.2,24.4,35.7
211,36.97,58.56,271.3,2.21,17.0,244.1,63.2,162.1,24.8,35.2
212,34.21,55.41,256.2,2.04,15.8,229.6,59.0,150.9,22.8,32.9
213,31.83,51.31,230.1,1.91,14.8,212.3,55.1,138.2,21.3,31.0
214,30.33,49.16,223.5,1.83,14.4,203.7,53.5,134.9,20.4,29.7
215,28.02,45.33,208.4,1.68,13.3,186.9,49.0,125.2,18.7,27.4
216,25.88,41.01,192.2,1.57,12.2,173.3,45.7,114.1,17.3,24.8
217,24.76,38.66,179.6,1.46,11.4,163.2,42.8,106.2,16.2,23.7
218,23.85,37.86,174.1,1.42,10.9,157.9,41.1,105.2,15.8,22.8
219,23.81,37.93,174.9,1.43,11.2,157.6,40.6,103.8,15.9,23.0
220,24.08,38.92,180.7,1.47,11.4,162.5,42.5,107.4,16.1,23.8
221,27.58,43.76,203.5,1.66,12.8,182.4,47.8,118.8,18.4,26.3
222,29.87,47.37,219.8,1.8,13.9,199.6,51.5,130.1,19.9,29.3
223,31.91,50.46,235.1,1.9,14.7,211.9,55.0,138.2,21.4,30.5
224,34.47,55.34,254.8,2.05,16.2,228.5,59.4,148.7,23.0,33.6
225,35.31,57.2,264.2,2.13,16.8,237.0,61.9,154.7,24.0,34.8
226,35.5,57.74,257.7,2.15,16.7,237.7,62.3,156.2,24.1,34.9
227,36.31,58.29,267.3,2.17,16.8,241.2,61.8,160.4,24.5,35.5
228,36.87,58.9,270.8,2.19,17.3,243.5,64.1,159.4,24.0,34.9
229,35.62,57.98,262.4,2.14,16.8,239.2,62.3,157.4,24.1,34.2
230,35.77,56.05,261.9,2.14,16.4,235.1,61.1,157.0,23.6,33.8
231,34.2,53.53,245.0,2.04,16.0,225.0,57.8,150.0,22.3,32.8
232,33.02,52.63,243.1,1.94,15.2,217.9,56.2,145.1,22.0,31.4
233,33.0,52.93,238.3,1.96,15.2,219.4,56.6,146.5,22.0,31.8
234,36.92,58.27,266.0,2.2,17.1,244.4,64.2,162.5,24.7,35.7
235,37.07,59.0,267.9,2.23,17.2,246.3,64.6,160.9,24.5,36.0
236,34.9,56.53,260.0,2.08,16.2,233.8,61.2,153.5,23.4,33.5
237,32.32,51.96,242.3,1.96,15.1,217.7,56.5,143.9,21.5,31.5
238,31.29,49.99,225.9,1.86,14.5,208.1,54.5,136.9,20.7,30.1
239,29.24,45.9,212.1,1.74,13.6,192.1,50.4,128.0,19.1,27.7
240,26.57,41.82,192.5,1.57,12.5,176.6,45.6,117.1,17.9,26.0
241,24.83,39.82,185.7,1.49,11.6,167.3,44.0,109.6,16.6,24.1
242,24.23,38.64,177.9,1.44,11.2,162.2,42.2,107.3,16.0,23.8
243,24.43,38.94,176.3,1.46,11.4,161.9,42.3,105.7,16.1,23.4
244,25.29,39.95,184.6,1.52,11.8,166.8,43.3,111.1,16.9,24.0
245,25.38,40.7,185.6,1.53,11.8,169.9,44.2,111.8,16.8,24.3
246,31.44,50.61,233.1,1.9,14.9,209.9,54.1,138.4,21.2,30.8
247,33.18,52.85,247.2,1.98,15.6,222.4,58.6,146.8,22.5,32.0
248,34.62,55.06,251.2,2.1,16.1,230.3,60.3,150.6,23.3,33.6
249,35.8,56.31,260.9,2.12,16.8,236.9,62.1,156.1,23.5,34.2
250,35.82,58.12,268.2,2.19,16.7,240.3,62.1,156.8,23.8,34.8
251,36.74,58.44,270.0,2.18,17.0,244.6,64.4,161.1,24.3,35.3
252,36.88,60.39,271.6,2.26,17.2,248.0,64.4,165.5,25.0,35.6
253,37.04,60.01,274.1,2.22,17.5,246.9,64.6,162.9,24.7,35.9
254,36.21,57.75,264.5,2.21,17.0,242.9,63.6,162.0,24.3,35.5
255,35.7,57.77,261.4,2.13,16.4,237.4,61.7,157.0,23.9,34.4
256,34.57,54.88,253.7,2.05,15.8,228.3,59.4,149.0,22.5,33.1
257,33.45,53.78,249.1,2.02,15.7,225.1,58.2,149.2,22.6,32.9
258,37.77,60.08,274.1,2.24,17.5,250.5,65.6,164.3,24.9,36.6
259,38.14,60.33,275.2,2.29,17.7,253.4,65.7,166.0,25.1,36.7
260,35.88,57.26,263.3,2.17,16.9,240.4,62.1,161.0,24.4,35.3
261,33.31,52.67,242.1,1.98,15.6,222.2,57.6,144.9,22.1,32.7
262,31.22,51.17,231.0,1.87,14.9,210.2,54.2,138.7,20.9,30.8
263,29.31,46.11,213.3,1.77,13.6,194.8,51.3,129.7,19.7,28.6
264,26.57,43.34,199.5,1.63,12.4,179.2,46.8,116.6,17.8,26.1
265,25.74,40.51,183.5,1.54,11.8,169.2,44.3,112.4,16.7,24.3
266,24.95,40.0,181.3,1.49,11.7,165.2,43.1,109.5,16.6,24.2
267,24.79,39.54,182.3,1.46,11.5,164.4,42.2,109.5,16.3,24.0
268,25.31,40.98,184.8,1.51,11.8,168.3,43.7,111.4,16.7,24.7
269,28.49,44.58,203.8,1.69,13.0,187.5,48.7,122.2,18.8,27.4
270,31.22,49.9,226.5,1.88,14.7,207.7,54.8,135.5,20.6,30.3
271,33.39,52.65,239.7,1.98,15.2,219.5,57.0,143.0,22.0,32.0
272,34.7,55.75,256.5,2.12,16.2,232.4,60.3,153.4,23.5,33.4
273,36.22,56.95,260.3,2.16,17.0,238.9,61.3,157.0,23.8,34.2
274,36.58,58.45,266.4,2.2,17.1,241.5,62.7,159.2,23.8,34.6
275,36.92,58.5,268.9,2.2,17.2,244.3,63.8,160.0,24.6,35.0
276,36.26,58.54,270.1,2.18,17.0,244.3,62.8,163.5,24.8,35.6
277,36.02,58.11,265.0,2.15,17.0,239.3,62.5,159.2,23.9,35.0
278,35.06,55.85,255.7,2.11,16.3,233.5,60.1,152.0,23.4,33.5
279,34.84,54.26,251.0,2.06,15.9,228.9,58.9,152.3,22.8,33.3
280,33.06,51.88,240.0,2.0,15.3,219.0,56.2,142.4,22.1,31.8
281,32.77,52.31,237.5,1.97,15.4,218.9,57.7,143.0,21.6,31.8
282,36.81,59.52,272.5,2.17,16.9,244.9,64.5,163.4,24.8,35.3
283,36.83,58.36,273.0,2.2,17.2,245.0,64.3,161.7,24.3,35.5
284,34.64,56.51,256.8,2.11,16.4,232.4,59.8,151.8,23.5,33.5
285,31.81,50.83,235.0,1.91,15.2,214.3,55.2,141.7,21.5,30.6
286,30.83,49.6,224.8,1.82,14.4,205.1,52.7,136.6,20.6,29.4
287,28.54,45.59,210.5,1.7,13.1,188.7,49.0,125.5,19.0,27.6
288,26.46,41.56,191.4,1.57,12.2,174.9,45.7,114.2,17.4,25.6
289,25.12,39.39,183.5,1.49,11.7,165.4,42.8,109.4,16.5,24.2
290,23.91,38.53,175.5,1.45,11.1,159.6,41.5,105.7,15.8,23.4
291,24.03,37.69,171.4,1.43,11.0,158.2,41.2,105.9,15.7,22.8
292,23.75,38.31,171.5,1.43,11.1,157.5,41.3,103.5,15.6,22.7
293,24.98,39.28,180.1,1.46,11.6,164.7,43.0,107.4,16.5,24.0
294,25.09,40.48,185.2,1.53,11.7,168.3,44.4,111.8,16.9,24.4
295,27.52,43.81,200.3,1.66,12.7,184.5,48.3,122.0,18.2,27.0
296,30.0,48.41,219.1,1.81,14.0,201.4,52.7,133.9,19.9,29.3
297,31.27,50.69,227.5,1.89,14.4,208.8,54.7,139.5,20.6,30.4
298,31.68,50.85,233.6,1.87,14.8,211.3,55.6,139.0,20.9,30.6
299,32.77,51.84,235.6,1.94,15.1,215.6,55.6,144.3,21.8,31.6
300,33.27,52.84,242.0,1.99,15.3,218.8,57.0,143.1,22.1,31.9
301,32.12,50.54,232.6,1.88,15.0,211.3,55.6,140.9,21.1,30.4
302,30.23,49.06,225.2,1.8,14.4,203.0,53.2,135.9,20.2,29.5
303,30.09,48.29,215.9,1.77,14.0,199.2,52.0,130.6,19.7,28.8
304,29.7,48.04,218.1,1.77,13.8,198.0,51.9,131.7,19.9,29.1
305,30.15,48.18,222.1,1.83,14.3,202.6,53.2,135.1,20.0,29.2
306,33.85,54.0,247.9,2.08,15.9,228.1,60.2,151.1,22.5,33.4
307,34.39,55.63,250.8,2.06,15.9,230.2,60.5,153.5,22.7,33.1
308,33.68,53.55,247.3,2.02,15.4,222.8,57.5,148.4,22.6,32.1
309,31.69,50.83,228.7,1.89,14.9,210.8,54.4,138.9,20.9,31.0
310,30.69,47.88,219.4,1.82,14.4,202.2,53.1,131.8,19.9,29.1
311,28.56,45.92,205.5,1.68,13.1,189.5,49.0,123.7,19.1,27.6
312,26.0,42.44,191.8,1.58,12.4,174.3,45.0,114.8,17.4,25.2
313,24.51,39.81,182.9,1.49,11.5,164.5,42.4,109.7,16.6,23.8
314,23.9,38.56,174.3,1.45,11.1,158.8,41.1,105.4,16.0,23.2
315,23.19,37.85,174.3,1.4,10.8,156.7,40.3,103.9,15.8,22.7
316,23.74,38.14,171.4,1.42,11.1,156.8,40.6,103.5,15.6,22.7
317,24.35,38.51,176.2,1.43,11.2,160.8,42.2,107.6,16.0,23.2
318,24.4,38.72,180.7,1.44,11.3,162.0,41.7,107.7,16.1,23.3
319,26.37,41.81,193.2,1.58,12.1,175.0,46.1,115.7,17.7,25.1
320,28.64,46.44,212.8,1.72,13.3,190.8,49.2,125.6,19.3,27.6
321,30.17,47.03,216.6,1.77,14.0,198.5,52.3,131.2,20.1,28.8
322,29.85,48.64,224.3,1.8,14.0,201.9,53.2,134.4,19.9,29.4
323,30.83,50.29,230.8,1.87,14.6,208.0,53.7,137.2,21.0,29.8
324,31.44,49.73,228.2,1.86,14.8,208.8,53.7,138.3,20.9,30.5
325,29.41,47.93,217.9,1.76,13.8,197.9,51.2,131.0,19.5,29.1
326,28.37,45.32,204.0,1.66,13.1,186.5,48.5,121.5,18.7,27.3
327,26.52,42.55,194.3,1.6,12.5,178.8,46.8,118.3,18.1,25.8
328,26.28,42.35,195.2,1.61,12.4,177.4,46.3,117.1,17.7,25.7
329,27.89,44.34,201.8,1.64,12.7,183.3,47.5,122.8,18.2,26.4
330,31.85,50.58,233.6,1.94,14.9,212.8,55.9,141.0,21.3,30.9
331,32.96,53.83,242.4,1.98,15.4,222.2,57.0,146.0,21.9,31.9
