,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
1902,30.79,49.3,227.7,1.86,14.5,204.5,53.4,135.2,20.6,29.6
1903,33.05,52.4,238.7,1.99,15.5,220.2,57.2,144.4,21.9,31.9
1904,35.58,56.31,256.9,2.12,16.7,235.9,61.8,156.2,23.6,33.9
1905,36.56,59.4,274.0,2.23,17.0,245.7,64.2,160.2,24.8,35.5
1906,37.44,60.0,279.4,2.23,17.3,251.0,64.3,166.7,24.9,36.2
1907,38.17,62.03,282.4,2.29,18.1,258.2,66.8,172.9,25.7,37.2
1908,37.79,62.0,278.5,2.27,17.8,255.6,66.3,166.8,25.4,36.9
1909,37.66,59.86,271.7,2.25,17.4,249.0,64.0,164.8,25.1,36.2
1910,36.3,57.54,267.4,2.17,16.8,241.7,62.3,158.1,24.2,35.1
1911,35.6,57.57,262.6,2.15,16.5,237.3,60.9,154.8,24.0,34.6
1912,34.57,54.6,253.8,2.07,16.0,227.8,58.4,151.4,22.5,33.0
1913,33.43,54.2,242.3,2.03,15.8,223.6,58.2,148.8,22.3,32.7
1914,36.8,57.68,268.9,2.21,17.3,243.9,63.8,161.7,24.1,35.5
1915,38.72,60.51,278.6,2.3,17.6,255.1,65.8,169.2,25.7,36.7
1916,36.33,59.01,272.4,2.18,17.1,244.7,63.9,162.0,24.5,35.9
1917,34.81,55.42,252.2,2.09,15.9,229.4,59.5,153.2,22.7,33.4
1918,33.24,52.89,237.2,1.97,15.3,218.6,56.2,144.4,22.1,32.0
1919,30.42,48.49,224.3,1.83,14.2,202.4,52.0,135.3,20.2,29.5
1920,27.58,44.37,205.6,1.67,13.2,186.5,48.6,124.1,18.9,26.7
1921,26.78,42.59,193.9,1.59,12.2,176.9,45.6,117.3,17.6,25.6
1922,26.03,40.95,187.3,1.56,12.0,171.5,44.9,113.8,17.3,25.1
1923,25.79,41.48,188.8,1.52,12.0,170.4,44.9,113.7,16.9,24.5
1924,25.61,41.75,191.7,1.55,12.3,172.6,45.1,113.2,17.3,24.8
1925,28.61,44.48,207.5,1.7,13.3,188.1,48.5,125.2,18.7,27.1
1926,30.11,47.98,222.9,1.85,14.0,202.9,52.0,135.5,20.0,29.8
1927,33.08,52.15,243.6,2.01,15.5,220.1,56.4,143.8,22.0,32.0
1928,35.5,55.95,260.8,2.16,16.6,236.4,62.1,156.5,23.3,34.2
1929,36.78,58.55,269.9,2.24,17.5,246.9,63.7,164.4,24.6,36.0
1930,38.07,59.64,276.1,2.27,17.3,251.1,65.4,163.3,25.0,36.1
1931,38.79,61.53,284.8,2.3,17.6,255.2,67.3,168.4,25.3,37.0
1932,38.6,62.36,280.3,2.3,17.8,256.3,65.7,167.7,25.4,36.8
1933,38.4,60.71,282.8,2.32,17.8,254.2,65.8,168.7,25.1,37.0
1934,37.33,59.57,277.9,2.29,17.4,251.5,66.2,165.9,25.4,36.8
1935,37.04,58.84,271.1,2.23,17.3,245.8,64.6,164.0,24.8,35.6
1936,35.48,56.38,262.2,2.11,16.7,235.1,60.9,155.2,23.8,34.3
1937,33.93,54.33,254.0,2.05,15.7,227.9,59.7,150.2,23.1,32.8
1938,36.13,59.11,270.4,2.21,16.9,244.4,64.0,163.6,24.2,35.7
1939,38.75,61.74,278.6,2.31,18.0,256.5,67.3,168.6,25.9,36.8
1940,37.08,57.98,271.5,2.23,17.3,245.1,63.7,159.5,24.8,35.4
1941,35.12,54.89,250.4,2.08,16.0,230.8,59.1,150.4,23.4,33.5
1942,32.98,52.19,237.2,1.97,15.3,218.3,57.1,142.0,22.1,31.7
1943,30.46,48.4,224.1,1.78,13.9,201.2,52.0,131.6,20.0,29.2
1944,28.19,44.23,203.0,1.66,13.2,186.0,47.7,124.0,18.6,26.9
1945,26.84,42.04,191.2,1.57,12.4,176.4,46.4,115.1,17.8,25.9
1946,25.93,40.72,189.1,1.53,11.8,170.8,44.5,114.3,17.2,24.7
1947,25.54,40.63,184.6,1.53,11.7,168.5,44.3,111.5,17.0,24.5
