,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,0.0,0.0,7.105427357601002e-15,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.0,7.105427357601002e-15,-1.7763568394002505e-15,0.0
1,0.0,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,0.0,-7.105427357601002e-15,5.329070518200751e-15,0.0
2,0.0,-3.552713678800501e-15,7.105427357601002e-15,-5.551115123125783e-17,-1.7763568394002505e-15,2.1316282072803006e-14,0.0,-7.105427357601002e-15,-5.329070518200751e-15,0.0
3,0.0,-3.552713678800501e-15,-2.1316282072803006e-14,-5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,-7.105427357601002e-15,-1.7763568394002505e-15,0.0
4,0.0,-3.552713678800501e-15,7.105427357601002e-15,0.0,1.7763568394002505e-15,0.0,0.0,-7.105427357601002e-15,3.552713678800501e-15,0.0
5,0.0,7.105427357601002e-15,-2.1316282072803006e-14,1.1102230246251565e-16,-1.7763568394002505e-15,1.0658141036401503e-14,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0
6,0.0,3.552713678800501e-15,-2.1316282072803006e-14,-1.3877787807814457e-17,0.0,-1.7763568394002505e-14,1.7763568394002505e-15,1.0658141036401503e-14,0.0,1.7763568394002505e-15
7,-3.552713678800501e-15,0.0,-1.4210854715202004e-14,0.0,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,-1.7763568394002505e-15,1.7763568394002505e-15
8,0.0,-3.552713678800501e-15,-3.552713678800501e-15,1.1102230246251565e-16,0.0,2.1316282072803006e-14,0.0,1.0658141036401503e-14,-1.7763568394002505e-15,0.0
9,0.0,7.105427357601002e-15,-7.105427357601002e-15,-1.1102230246251565e-16,0.0,2.4868995751603507e-14,0.0,0.0,3.552713678800501e-15,0.0
10,0.0,-3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,2.1316282072803006e-14,-7.105427357601002e-15,3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15
11,0.0,3.552713678800501e-15,2.1316282072803006e-14,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,-3.552713678800501e-15,-5.329070518200751e-15,0.0
12,3.552713678800501e-15,-1.0658141036401503e-14,3.552713678800501e-15,0.0,0.0,2.842170943040401e-14,0.0,1.7763568394002505e-14,-1.7763568394002505e-15,-1.7763568394002505e-15
13,0.0,-1.0658141036401503e-14,1.7763568394002505e-14,0.0,0.0,-3.552713678800501e-14,0.0,-3.552713678800501e-15,-1.7763568394002505e-15,-3.552713678800501e-15
14,0.0,-1.4210854715202004e-14,0.0,-1.1102230246251565e-16,0.0,1.0658141036401503e-14,-7.105427357601002e-15,-7.105427357601002e-15,-1.7763568394002505e-15,3.552713678800501e-15
15,-3.552713678800501e-15,3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0,-3.552713678800501e-15,0.0,7.105427357601002e-15,-1.7763568394002505e-15,-1.7763568394002505e-15
16,0.0,-3.552713678800501e-15,-2.4868995751603507e-14,-5.551115123125783e-17,0.0,2.1316282072803006e-14,0.0,0.0,0.0,-3.552713678800501e-15
17,-3.552713678800501e-15,-7.105427357601002e-15,7.105427357601002e-15,0.0,-1.7763568394002505e-15,-1.4210854715202004e-14,7.105427357601002e-15,3.552713678800501e-15,-1.7763568394002505e-15,0.0
18,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0,0.0,7.105427357601002e-15,3.552713678800501e-15,1.7763568394002505e-15,0.0
19,0.0,-7.105427357601002e-15,-7.105427357601002e-15,-1.1102230246251565e-16,0.0,-1.4210854715202004e-14,0.0,-7.105427357601002e-15,1.7763568394002505e-15,0.0
20,0.0,7.105427357601002e-15,-2.842170943040401e-14,-1.1102230246251565e-16,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,3.552713678800501e-15,0.0,0.0
21,0.0,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,-7.105427357601002e-15,-1.7763568394002505e-15,0.0
22,0.0,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,-1.7763568394002505e-15,0.0
23,0.0,-3.552713678800501e-15,7.105427357601002e-15,1.1102230246251565e-16,-1.7763568394002505e-15,-1.4210854715202004e-14,-7.105427357601002e-15,0.0,1.7763568394002505e-15,0.0
24,0.0,3.552713678800501e-15,-2.842170943040401e-14,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,1.7763568394002505e-15,0.0
25,0.0,1.7763568394002505e-15,0.0,-5.551115123125783e-17,0.0,1.4210854715202004e-14,-1.7763568394002505e-15,0.0,-1.7763568394002505e-15,1.7763568394002505e-15
26,0.0,3.552713678800501e-15,-2.842170943040401e-14,5.551115123125783e-17,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,-7.105427357601002e-15,-1.7763568394002505e-15,-1.7763568394002505e-15
27,0.0,-1.7763568394002505e-15,-2.842170943040401e-14,5.551115123125783e-17,-1.7763568394002505e-15,1.4210854715202004e-14,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15
28,0.0,-3.552713678800501e-15,-2.842170943040401e-14,0.0,0.0,1.4210854715202004e-14,-5.329070518200751e-15,0.0,1.7763568394002505e-15,-1.7763568394002505e-15
29,0.0,0.0,-7.105427357601002e-15,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
30,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,-7.105427357601002e-15,-1.7763568394002505e-15,-1.7763568394002505e-15
