,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind
12,-0.0,45.1142902688319,6.348257129121073,-0.0,-0.0,-0.0,103.0203234501348,-0.0,0.7354916187780294,1.8004552973074368,-0.0,-0.0,-0.0,97.78552743642915,294.3002695468155,-0.0,6.6,6.9,-0.0,21.118859047245564,373.60880219564797,-0.0,-0.0,50.6,-0.0,-0.0,263.59049676697293,54.525,-0.0,11.680046064611945,17.212075035452898,-0.0,-0.0,-0.0,28.4
13,-0.0,38.933372637346274,10.819174760606693,-0.0,-0.0,-0.0,101.45032345013479,-0.0,0.09753806933478737,1.6990211960506798,-0.0,-0.0,-0.0,83.26264470256461,294.12315228068013,-0.0,6.6,6.300000000000001,-0.0,38.00390119584392,347.82376004704963,-0.0,-0.0,47.9,-0.0,-0.0,300.48324732653526,11.432249440437658,-0.0,11.142763945639794,16.549357154425046,-0.0,-0.0,19.188580984937243,7.411419015062759
14,-0.0,35.599963689790535,9.459697303776533,-0.0,-0.0,9.13412398921831,88.97619946091648,-0.0,0.8830468257080979,1.4429000903773683,-0.0,-0.0,-0.0,90.64388779219557,248.90929210441078,-0.0,6.6,5.5,-0.0,107.2,267.4276612428936,-0.0,-0.0,45.0,-0.0,-0.0,245.75424956478457,49.5,-0.0,9.424645239183103,17.267475860881735,-0.0,-0.0,-0.0,25.5
15,-0.0,22.68316270499928,8.525056552205797,10.0,-0.0,13.8,64.30342318059301,-0.0,-0.0,0.9636239619391915,-0.0,-0.0,-0.0,92.56663692718153,185.9827856735204,-0.0,6.6,5.0,-0.0,108.2,205.18310135267598,-0.0,-0.0,9.705217363641488,33.79478263635851,-0.0,167.87067582690852,47.175,-0.0,7.848990955419228,16.80408314710101,-0.0,-0.0,-0.0,24.8
16,-0.0,9.892379290791354,7.986930058877191,-0.0,-0.0,13.15,24.67277628032346,-0.0,1.5,0.37023446958716305,-0.0,-0.0,-0.0,94.76406451002264,90.42772035253874,-0.0,6.6,5.300000000000001,-0.0,111.80000000000001,96.00813565967458,-0.0,-0.0,25.955587747477374,17.344412252522623,-0.0,72.09492974384473,45.449999999999996,-0.0,3.854415201321942,16.608970425509128,-0.0,-0.0,-0.0,24.4
17,-0.0,1.0081405646666348,8.156864740980962,10.0,-0.0,13.25,1.5420485175202163,-0.0,1.5,0.027894377845608175,-0.0,15.0,14.7,97.23617054071887,5.593467238301366,-0.0,6.6,5.300000000000001,-0.0,115.8,7.132032934718683,-0.0,-0.0,44.6,-0.0,-0.0,4.209922904750057,44.925,-0.0,0.39712156619680616,16.730915876504056,-0.0,-0.0,-0.0,24.6
18,-0.0,-0.0,8.864925916413338,10.0,30.251199460916432,13.850000000000001,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,100.2576334671254,-0.0,-0.0,6.6,7.4,-0.0,119.6,-0.0,-0.0,-0.0,51.6,-0.0,-0.0,-0.0,46.125,-0.0,-0.0,17.047974049090865,-0.0,-0.0,-0.0,29.2
19,-0.0,-0.0,9.686276879914894,10.0,-0.0,14.85,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,104.37781018495247,-0.0,-0.0,6.6,7.9,-0.0,123.8,-0.0,-0.0,-0.0,54.0,-0.0,-0.0,-0.0,47.925000000000004,-0.0,-0.0,17.486977672672605,-0.0,-0.0,-0.0,30.2
20,-0.0,-0.0,10.479305396399154,-0.0,-0.0,16.0,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,110.97009293347578,-0.0,-0.0,6.6,7.9,-0.0,128.0,-0.0,-0.0,-0.0,53.4,-0.0,-0.0,-0.0,49.425000000000004,-0.0,-0.0,17.77964675506043,-0.0,-0.0,-0.0,29.7
21,-0.0,-0.0,11.300656359900708,10.0,-0.0,17.1,-0.0,-0.0,1.0340530839145337,-0.0,-0.0,15.0,-0.0,117.28769723414395,-0.0,-0.0,6.6,7.4,-0.0,130.8,-0.0,-0.0,-0.0,52.4,-0.0,-0.0,-0.0,49.125,-0.0,-0.0,17.804035845259417,-0.0,-0.0,-0.0,29.2
22,-0.0,-0.0,12.037039982350379,10.0,-0.0,18.25,-0.0,-0.0,1.0140530839145336,-0.0,-0.0,15.0,-0.0,121.68255239982616,-0.0,-0.0,6.6,7.200000000000001,-0.0,131.6,-0.0,-0.0,-0.0,50.6,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,17.51136676287159,-0.0,-0.0,-0.0,28.8
23,-0.0,-0.0,12.376909346557918,10.0,-0.0,18.95,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,126.35208601336352,-0.0,-0.0,6.6,6.300000000000001,-0.0,131.4,-0.0,-0.0,-0.0,57.898810640879354,-0.0,-0.0,-0.0,45.449999999999996,-0.0,-0.0,17.218697680483764,-0.0,-0.0,-0.0,27.1
24,-0.0,-0.0,12.178652217436854,10.0,-0.0,19.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,129.09887049191488,-0.0,-0.0,6.6,5.6,-0.0,128.8,-0.0,-0.0,-0.0,58.809034747072694,-0.0,-0.0,-0.0,43.199999999999996,-0.0,-0.0,16.70652678630507,-0.0,-0.0,-0.0,24.9
25,-0.0,-0.0,11.527235936039068,8.346568985083517,-0.0,18.9,-0.0,-0.0,1.5,-0.0,-0.0,15.0,8.836482645150511,129.37354893977002,-0.0,-0.0,6.6,4.9,-0.0,124.2,-0.0,-0.0,-0.0,55.89507356591143,-0.0,-0.0,-0.0,40.650000000000006,-0.0,-0.0,15.804130448942606,-0.0,-0.0,-0.0,23.7
26,-0.0,-0.0,10.762529866572104,10.0,-0.0,18.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,127.45079980478407,-0.0,-0.0,6.6,4.700000000000001,-0.0,118.8,-0.0,-0.0,-0.0,52.80450867680101,-0.0,-0.0,-0.0,38.25,-0.0,-0.0,14.852955931182171,-0.0,-0.0,-0.0,22.9
27,-0.0,-0.0,9.997823797105138,10.0,-0.0,17.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,124.15465843052242,-0.0,-0.0,6.6,4.300000000000001,-0.0,114.8,-0.0,-0.0,-0.0,50.59696232743641,-0.0,-0.0,-0.0,36.6,-0.0,-0.0,14.170061405610577,-0.0,-0.0,-0.0,22.8
28,-0.0,-0.0,9.431374856759238,10.0,-0.0,16.400000000000002,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,120.58383860840561,-0.0,-0.0,6.6,4.700000000000001,-0.0,111.00000000000001,-0.0,-0.0,-0.0,49.449038225766834,-0.0,-0.0,-0.0,35.475,-0.0,-0.0,13.706668691829854,-0.0,-0.0,-0.0,23.5
29,-0.0,-0.0,8.694991234309567,10.0,-0.0,15.299999999999999,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,112.34348517275147,-0.0,-0.0,6.6,5.1,-0.0,102.8,-0.0,-0.0,-0.0,46.888284460503904,-0.0,-0.0,-0.0,33.75,-0.0,-0.0,13.048163256457245,-0.0,-0.0,-0.0,24.4
30,-0.0,-0.0,8.071897399929076,10.0,26.175552560646658,14.6,0.30840970350404323,-0.0,1.427464147468581,0.0025358525314189253,-0.0,15.0,14.7,104.92716708066274,1.3983668095753414,-0.0,6.6,5.9,-0.0,93.8,4.388943344442267,-0.0,-0.0,43.88602142536806,0.8940418686867331,-0.0,11.0510476249689,31.349999999999998,-0.0,0.210240829163015,12.560381452477534,-0.0,-0.0,-0.0,25.5
31,-0.0,10.144414431958012,7.845317823790718,10.0,-0.0,14.649999999999999,24.82698113207548,-0.0,1.5,0.3423400917415549,-0.0,15.0,14.7,101.08166881069081,67.58772912947482,-0.0,6.6,7.1,-0.0,87.4,112.46667320133308,-0.0,-0.0,41.14866395215597,18.59607086868405,-0.0,123.14024496393917,28.875,-0.0,4.718738610103226,12.292101460288693,-0.0,-0.0,-0.0,28.3
32,-0.0,23.691303269665916,7.760350482738833,10.0,-0.0,15.0,57.055795148248,-0.0,0.9874322596047267,0.9002276486537184,-0.0,15.0,14.7,101.63102570640109,155.2187158628629,-0.0,6.6,8.5,-0.0,84.8,223.2874926485003,-0.0,-0.0,39.29432501868971,37.46035429797411,-0.0,229.96703867197184,26.849999999999998,-0.0,9.717798325757137,12.121377828895795,-0.0,-0.0,-0.0,31.5
33,-0.0,34.02474405749893,7.335513777479408,10.0,-0.0,15.15,81.42016172506742,-0.0,1.4618016643077603,1.3541452517777062,-0.0,15.0,14.7,101.63102570640109,227.00154542106372,-0.0,6.6,9.200000000000001,-0.0,82.0,308.8718878651245,-0.0,-0.0,37.175080523299705,51.318003262618475,-0.0,307.8506124098479,24.45,-0.0,13.291892421528392,11.731152385712027,-0.0,-0.0,0.04752818346539556,33.3524718165346
34,-0.0,40.76668408370704,6.372550578891377,9.703312735354551,-0.0,14.35,98.07428571428575,-0.0,1.139392425353407,1.6559117030165582,-0.0,15.0,-0.0,96.41213519715346,280.1394841849267,-0.0,6.6,9.6,-0.0,69.79121740835126,362.6364438345423,-0.0,-0.0,34.26111934213845,59.08301978796495,-0.0,343.0154967669729,-0.0,-0.0,15.744702095096903,11.023868769941448,3.1114144013030494,-0.0,34.0,-0.0
35,-0.0,43.72809699241528,5.551199615389822,8.293250790147873,-0.0,7.182156334231792,107.018167115903,-0.0,1.0854916187780295,1.8004552973074368,-0.0,15.0,14.7,90.0945308964853,310.9035539955842,-0.0,6.6,10.1,-0.0,47.96032150558716,390.06733973730644,-0.0,-0.0,28.97312458465862,64.37101454544478,-0.0,327.2404967669729,19.875,-0.0,16.749186056653528,9.999526981584056,-0.0,-0.0,34.4,-0.0
36,-0.0,43.03500035420697,5.013073122061217,9.744473921684786,-0.0,11.65,103.0703234501348,-0.0,1.1559218491550567,1.7700250669304096,-0.0,15.0,14.7,81.579499012976,320.6921216626116,-0.0,6.6,10.4,-0.0,64.4,376.82766124289356,-0.0,-0.0,27.815084001993842,64.90743966665681,-0.0,348.3154967669729,-0.0,-0.0,16.725825964524304,8.755683381435794,-0.0,-0.0,35.2,-0.0
37,-0.0,39.569517163165415,4.559913969784496,10.0,-0.0,10.6,97.45746630727767,-0.0,1.3313259041999896,1.5646210118854769,-0.0,15.0,14.7,72.51511023375646,295.9876413601139,-0.0,6.6,10.299999999999999,-0.0,57.8,354.9557929817683,-0.0,-0.0,24.283009843010497,60.794847070697855,-0.0,345.21367818950466,1.3018185774682252,-0.0,15.72134200296768,7.365505240093622,-0.0,-0.0,34.835467958880564,18.329788587636106
38,-0.0,33.45766498987394,4.3050119466288415,10.0,-0.0,9.85,77.41083557951485,-0.0,1.5,1.217209215081084,-0.0,15.0,14.7,65.64814903737799,241.4513357866756,-0.0,6.6,9.799999999999999,-0.0,51.4,302.83709076651644,-0.0,-0.0,20.927539391976318,52.12264094443653,-0.0,294.694603332504,19.875,-0.0,13.548853434949855,6.170439820343332,8.0,-0.0,30.07796854112752,24.226723031809907
39,-0.0,25.392540472540865,4.276689499611546,10.0,-0.0,9.4,49.34555256064692,-0.0,1.2910630424773628,0.8089369575226372,-0.0,15.0,14.7,60.429258528130376,152.42198224371222,3.7,6.6,9.799999999999999,-0.0,47.0,219.99578514016864,-0.0,-0.0,18.719993042611726,38.71201291413554,-0.0,214.7060681422529,21.224999999999998,-0.0,10.185000168341617,5.414378024174781,7.7006218074836035,-0.0,22.518830577364366,29.21945657702167
40,-0.0,13.546888837707904,4.389979287680727,10.0,30.251199460916432,9.45,21.89708894878707,-0.0,1.5,0.4006646999641902,-0.0,15.0,14.7,57.68247404957899,53.13793876386297,3.7,6.6,9.0,-0.0,45.6,109.17496569300138,41.4,-0.0,17.748672648891308,20.473558792926188,-0.0,106.30055334493893,23.025,-0.0,5.419541373979943,5.121708941786956,8.0,-0.0,12.210915172232792,29.459748160714284
