,SKN diesel,SKN geothermal,ATG diesel,MSR diesel,GLP diesel,GLP coal,GLP hydro,GLP geothermal,GLP biomass,DMA diesel,MTQ diesel,MTQ biomass,MTQ geothermal,LCA diesel,LCA geothermal,BRB diesel,BRB biomass,SVG diesel,SVG geothermal,SVG hydro,GRD diesel,GRD geothermal,GRD hydro
0,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
1,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
2,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
3,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
4,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
5,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
6,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
7,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
8,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
9,170.0,20.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
10,170.0,20.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
11,170.0,20.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
12,170.0,20.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
13,170.0,20.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
14,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
15,150.0,-0.0,170.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
16,150.0,-0.0,-0.0,150.0,170.0,100.0,10.0,20.0,140.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
17,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,170.0,20.0,10.0,170.0,20.0,10.0
18,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
19,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
20,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
21,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
22,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
23,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
24,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
25,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
26,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
27,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
28,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
29,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
30,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
31,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
32,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
33,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
34,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
35,150.0,-0.0,170.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
36,150.0,-0.0,170.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
37,150.0,-0.0,-0.0,150.0,150.0,80.0,-0.0,-0.0,120.0,150.0,170.0,140.0,20.0,170.0,20.0,170.0,140.0,160.0,10.0,-0.0,170.0,20.0,10.0
