,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind
0,-0.0,15.493682740784159,-0.0,26.650000000000002,-0.0,1.5,-0.0,-0.0,-0.0,138.72490640418636,-0.0,-0.0,6.6,6.0,141.79999999999998,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,60.300000000000004,-0.0,-0.0,23.876683306964882,-0.0,-0.0,26.3
1,-0.0,15.602985617262354,-0.0,27.200000000000003,-0.0,1.5,-0.0,-0.0,-0.0,139.4614988275714,-0.0,-0.0,6.6,5.1,139.6,-0.0,-0.0,-0.0,43.4,-0.0,-0.0,59.925000000000004,-0.0,-0.0,23.693953587778925,-0.0,-0.0,24.7
2,-0.0,15.27507698782777,-0.0,27.0,-0.0,1.5,-0.0,-0.0,-0.0,138.97043721198136,-0.0,-0.0,6.6,5.0,138.2,-0.0,-0.0,-0.0,42.3,-0.0,-0.0,59.325,-0.0,-0.0,23.145764430221057,-0.0,-0.0,24.1
3,-0.0,15.138448392230027,-0.0,26.400000000000002,-0.0,1.5,-0.0,-0.0,-0.0,138.47937559639132,-0.0,-0.0,6.6,4.9,138.6,-0.0,-0.0,-0.0,42.9,-0.0,-0.0,58.875,-0.0,-0.0,22.65848517905851,-0.0,-0.0,23.3
4,-0.0,15.548334179023255,-0.0,26.0,-0.0,1.5,-0.0,-0.0,-0.0,137.9883139808013,-0.0,-0.0,6.6,4.800000000000001,139.79999999999998,-0.0,-0.0,-0.0,41.5,-0.0,-0.0,58.425000000000004,-0.0,-0.0,22.62803022586085,-0.0,-0.0,23.4
5,-0.0,15.848917089338293,-0.0,25.95,-0.0,1.3399999999999999,-0.0,-0.0,-0.0,133.81429024828597,-0.0,-0.0,6.6,4.5,137.0,-0.0,-0.0,-0.0,42.1,-0.0,-0.0,57.9,-0.0,-0.0,22.445300506674894,-0.0,-0.0,23.5
6,-0.0,15.739614212860097,-0.0,25.900000000000002,0.2824339974830605,1.4061813186813186,0.0038186813186813196,-0.0,-0.0,128.65814328459055,2.5787121869739846,-0.0,6.6,4.200000000000001,131.6,2.8605015817706665,-0.0,-0.0,40.9,-0.0,5.7,57.975,-0.0,0.07044513534311586,22.323480693884257,-0.0,-0.0,22.6
7,17.955340355415903,15.493682740784159,-0.0,25.35,12.509999999999998,1.021208791208791,0.5422527472527473,-0.0,-0.0,124.97518116766524,51.32481883233477,-0.0,6.6,4.4,127.4,31.099999999999994,-0.0,-0.0,41.6,-0.0,44.67499999999999,58.425000000000004,-0.0,3.2052536581117717,22.56712031946553,-0.0,-0.0,22.8
8,40.691688497776866,15.165774111349576,-0.0,24.6,15.469999999999999,-0.0,1.3365384615384617,-0.0,-0.0,122.51987308971503,61.680126910284955,-0.0,6.6,5.300000000000001,126.8,41.2,-0.0,-0.0,44.1,-0.0,50.77499999999999,59.025000000000006,-0.0,8.17163569980144,23.145764430221057,-0.0,15.818886181253971,8.681113818746029
9,57.69082729580376,14.427979695121758,-0.0,23.549999999999997,18.86,-0.0,1.9818956043956049,-0.0,-0.0,-0.0,234.3130651804331,-0.0,6.6,6.0,-0.0,178.3,-0.0,-0.0,45.9,-0.0,117.2,-0.0,-0.0,13.560688553549804,23.54167882179063,-0.0,25.496322433315225,0.5036775666847753
10,68.8465121320089,11.079024313602652,-0.0,21.2,25.02135243291357,-0.0,2.455412087912088,-0.0,-0.0,108.52461704539888,97.1753829546011,-0.0,6.6,6.6,-0.0,221.03459726743367,-0.0,-0.0,-0.0,48.0,294.67499999999984,-0.0,-0.0,17.787396674136755,23.633043681383608,-0.0,27.4,-0.0
11,68.55035708885819,12.515179356753343,-0.0,18.75,97.63,0.0808206641146314,2.6730769230769234,-0.0,-0.0,-0.0,535.4,-0.0,6.6,7.200000000000001,118.39999999999999,75.40000000000002,-0.0,-0.0,-0.0,50.0,316.0,-0.0,-0.0,18.139622350852335,23.419859008999993,-0.0,-0.0,28.0
12,76.07114612117032,5.434390324441239,-0.0,17.299999999999997,99.16,-0.0,2.7112637362637364,-0.0,-0.0,-0.0,537.1,-0.0,6.6,6.9,-0.0,435.1,-0.0,-0.0,50.6,-0.0,264.975,54.525,-0.0,17.611283835778966,22.99348966423276,-0.0,-0.0,28.4
