,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
1370,-0.0,0.7502000000000001,34.27982802070654,10.322950710985822,-0.0,0.8999999999999999,-0.0,0.28429524239281606,-0.0,82.87052934422151,56.092894300546874,-0.0,-0.0,1.1999999999999993,9.0,108.19045489684876,-0.0,-0.0,65.07588477622254,46.27670570497888,-0.0,36.0,-0.0,39.41196145598031,-0.0,-0.0,13.065312589498577,-0.0,-0.0,17.660783903800183,11.60604348779817
1371,-0.0,0.7876000000000001,34.27982802070654,10.909111950095427,-0.0,0.8999999999999999,-0.0,0.29836642076953596,-0.0,82.87052934422151,58.45825731322053,-0.0,-0.0,1.1999999999999993,9.0,111.78880705528054,-0.0,-0.0,65.07588477622254,46.37670570497888,-0.0,36.0,-0.0,40.173136677233146,-0.0,-0.0,13.065312589498577,-0.0,-0.0,18.88404166337076,11.60604348779817
1372,-0.0,0.8272,34.27982802070654,12.537337614288774,-0.0,0.8999999999999999,-0.0,0.33196494941595966,-0.0,82.87052934422151,66.73702785757835,-0.0,-0.0,1.5999999999999996,9.0,118.02595079656227,-0.0,-0.0,65.07588477622254,47.87670570497888,-0.0,36.0,-0.0,41.44176204598787,-0.0,-0.0,13.065312589498577,-0.0,-0.0,19.72503137307553,11.60604348779817
1373,-0.0,0.8052,34.27982802070654,13.74222460579185,-0.0,0.8999999999999999,-0.0,0.3486206308577514,-0.0,82.87052934422151,71.97461738564147,-0.0,-0.0,3.3000000000000007,9.0,120.18496209162134,-0.0,-0.0,65.07588477622254,53.47670570497888,-0.0,36.0,-0.0,42.37208731640801,-0.0,-0.0,13.065312589498577,-0.0,-0.0,19.80148498304869,11.60604348779817
1374,0.024,0.7436000000000001,34.27982802070654,13.64453106594025,5.462164094885947,0.8999999999999999,0.09245595629270431,0.33569811983989617,-0.0,82.87052934422151,69.6092543729678,15.710143895046901,-0.0,4.699999999999999,9.0,115.38715921371231,10.152354346933357,-0.0,65.07588477622254,56.303385437086284,2.473320267892599,36.0,31.92,42.879537463909905,-0.0,0.5278207739307605,13.065312589498577,-0.0,1.032800528144543,15.561155984057288,11.60604348779817
1375,0.1314,0.27280000000000004,34.27982802070654,4.897702797893588,40.26826918139987,0.8999999999999999,0.8390452968728748,0.12095470312712536,-0.0,82.87052934422151,24.802520732892415,119.82694992288607,-0.0,5.300000000000001,9.0,60.88078495122488,79.04333027255257,-0.0,65.07588477622254,26.72231090148487,7.303569261659321,36.0,108.02863927119367,16.813514887229367,-0.0,3.9666530889342004,13.065312589498577,-0.0,8.926347421820692,9.067609090381138,11.60604348779817
1376,0.252,0.25872,34.27982802070654,4.598109275682012,46.7561246522237,0.8999999999999999,0.8097195330055788,0.23028046699442128,-0.0,82.87052934422151,47.0623279010437,106.5671427547348,-0.0,6.1,9.0,40.87728051978498,109.94683470399248,-0.0,65.07588477622254,25.73665189282354,12.541188652490705,36.0,111.036,16.306064739727475,-0.0,5.414782125459697,13.065312589498577,-0.0,11.709758402864264,7.584198109337567,11.60604348779817
1377,0.333,0.2596,34.27982802070654,4.480877027860092,64.12580647396102,0.8999999999999999,1.0822212989209177,0.11096129460665062,-0.0,82.87052934422151,22.099248718408223,144.00965237126326,-0.0,6.6,9.1,74.51984321245153,83.1042720113259,-0.0,65.07588477622254,24.367681047460586,17.77880804332209,36.0,144.552,15.663294552891745,-0.0,4.0242335369993745,13.065312589498577,-0.0,8.808313075747032,11.985643436454799,11.60604348779817
1378,0.38160000000000005,0.24728000000000003,34.27982802070654,4.272464142843344,75.48710779132378,0.8999999999999999,1.2710260938765454,0.10510308961188956,-0.0,82.87052934422151,20.680030910804025,183.5468478404646,-0.0,6.6,9.3,88.99924338521261,246.19459291313393,-0.0,65.07588477622254,22.17732769487986,20.863183906811685,36.0,166.44,14.276264149719905,-0.0,4.6896076035302725,13.065312589498577,-0.0,25.746241737317533,18.15773236862573,11.60604348779817
1379,1.0574999999999999,0.5456000000000001,34.27982802070654,3.8816899834369396,142.51921706225073,0.8999999999999999,3.1005829775419076,0.09419074668742264,-0.0,82.87052934422151,46.2935332480417,444.9359374077368,-0.0,6.6,9.200000000000001,78.20418690991728,276.651655953934,-0.0,65.07588477622254,19.329868336524914,48.24683736845397,36.0,259.8622985015477,30.869883973031783,-0.0,5.015896809232924,13.065312589498577,-0.0,26.74215653231406,18.31063958857205,11.60604348779817
1380,1.107,0.4686,34.27982802070654,3.4909158240305365,147.3949283214631,0.8999999999999999,3.4329110847568254,0.08373787139570217,-0.0,82.87052934422151,16.760286489801956,198.73332027234326,-0.0,6.6,9.6,70.28781216136737,277.3768241215721,-0.0,65.07588477622254,32.185139372427685,22.63815492259343,36.0,397.3267110955879,10.757943127040118,-0.0,12.523747454175318,13.065312589498577,-0.0,26.852813731758115,18.731134443424438,11.60604348779817
1381,0.4188,0.16808,34.27982802070654,7.945741241263534,116.71755073802993,0.8999999999999999,3.390032824449388,0.07661613170313947,-0.0,82.87052934422151,15.67897768400828,186.95071235105812,-0.0,6.6,9.700000000000001,65.7298994273538,262.87346076881016,-0.0,65.07588477622254,14.949161631363463,21.328750074885587,36.0,360.03133018050227,9.776872841869793,-0.0,11.772002715546659,13.065312589498577,-0.0,25.709356004169514,19.11340249329024,11.60604348779817
1382,0.36419999999999997,0.15488000000000002,34.27982802070654,7.196757435734595,116.67433454355887,0.8999999999999999,2.958590601366538,0.1760333164671727,-0.0,82.87052934422151,14.597668878214607,392.277480841209,-0.0,6.6,9.3,61.65176698113111,228.42797280600055,-0.0,65.07588477622254,34.36116821861015,46.33838266610545,36.0,353.96999999999997,23.850156932588938,-0.0,10.188540393754378,13.065312589498577,-0.0,22.610954419735886,19.304536518223145,11.60604348779817
