,ATG Storage,BRB Storage,DMA Storage,GLP Storage,GRD Storage,LCA Storage,MSR Storage,MTQ Storage,SKN Storage,SVG Storage
6279,392.18340336668257,655.3439006739621,-0.0,1457.5790642376671,15.946300595357405,297.0050282159434,2.959399998203861,927.6551270309985,195.03639395685477,3.0947430873940913
6280,420.0,723.5434376512719,-0.0,1450.9834282613963,23.612494239912497,289.93861097045203,2.996529022547913,911.6790798265666,193.1666924115588,1.155570967947951
6281,389.48890254073495,665.2922495928025,-0.0,1461.6545998530762,9.89939510928426,263.12356824910563,2.7838911163834212,837.2917162829958,191.07711434367548,5.00566018122856
6282,375.67629261945837,574.6383824295357,-0.0,1287.708853599402,9.89939510928426,223.54637474245195,2.27892133146983,717.869734784542,181.19991994518207,5.110852413005475
6283,327.6556247636735,477.15496067458434,-0.0,1103.507622421988,13.507328038929984,181.81457258322135,1.6987000911135675,696.350452572854,156.7081934213072,5.216044644782389
6284,282.10565600056,385.70529032592026,-0.0,936.8814967723341,-0.0,141.36585119394684,1.2492745255061064,578.1077707467455,134.11499813724595,-0.0
6285,241.4994106496215,301.35799978070406,-0.0,784.51739624776,-0.0,105.8153410237694,0.9141456052608309,474.7344360973515,113.82321534911017,-0.0
6286,200.43688871085803,219.31070923548785,-0.0,673.1974750143897,6.2761531218317295,103.48175781574989,0.6333133303777412,451.37695019302544,107.16313969450496,-0.0
6287,163.86646405010887,146.3426918858097,-0.0,541.7696609205747,-0.0,69.90689989127765,0.4675733760830437,364.5281378022598,89.0671194185928,-0.0
6288,129.5990637088633,83.68826193024992,-0.0,423.4038719518393,16.89017420030253,69.90689989127765,0.4137430419493176,291.17741444600733,72.22974291101602,-0.0
6289,130.63925015827243,98.64332895378192,-0.0,317.5568593650439,16.121271990046843,69.10773466912664,0.8957243555038663,291.17741444600733,57.123891427886434,-0.0
6290,99.4295093439768,120.5829915720407,-0.0,317.5568593650439,36.61090337265085,43.8100443706232,0.9302771655500323,235.40447746481013,56.39268459866007,-0.0
6291,101.27898145449662,146.16761318725725,-0.0,216.7478216531689,43.31149739276357,19.487732917185667,0.977987169701114,183.76832387155537,56.028709041843626,-0.0
6292,69.41899744516525,100.89063941608063,-0.0,112.72042967039418,44.510063221163335,29.75951605187487,1.0010822587814514,129.35056197227183,41.60878886372022,-0.0
6293,34.57459093098744,45.06870664794625,-0.0,-0.0,44.736585624147224,36.25770912240107,0.9365388672179029,63.75923329710338,25.24180620596948,-0.0
6294,-0.0,-0.0,-0.0,0.8701430066731177,42.90652400163751,12.24492011448719,0.7686709146204961,1.4329398589753595,8.970313560901943,-0.0
6295,-0.0,4.734073654256306,-0.0,0.8701430066731177,42.63654088158965,12.24492011448719,0.6587600077322775,-0.0,-0.0,-0.0
6296,41.14253242738877,67.48610856920969,-0.0,87.15926757156524,46.82088293742015,31.169279010568566,0.7148372646189367,80.0266765211469,5.099208674997236,0.5235582729246353
6297,73.31474824555406,177.97515788519496,-0.0,274.02281347691724,53.177713536958,68.72274557973893,1.0178468000990217,242.38056776071267,24.109464610340844,3.1793382835507717
6298,143.31474824555406,320.9311219014704,-0.0,594.0228134769172,62.689486669384024,121.34798311835448,1.4868912570488264,460.146099593555,67.69163347109898,7.469284340119858
6299,201.1466236994993,473.262267729845,-0.0,886.0881293505238,71.47825233586187,196.34798311835448,2.0744187312594633,690.5742151630737,103.2321798282416,12.257147701119699
6300,271.1466236994993,629.5088179634928,-0.0,1182.4056652593822,79.96166942622766,255.31791582105345,2.6706553523128944,935.1493177901876,148.2321798282416,23.90921792078482
6301,325.0330457656873,814.2842694252791,-0.0,1436.7761513650216,107.26173016303039,306.9093148995811,3.176647277848758,1142.4781934688738,179.3889366928776,35.56128814044994
6302,362.86552608420095,910.4951585344398,-0.0,1624.7609047430856,111.26893588918183,343.9529459036688,3.512481083824648,1307.77377109711,203.181001718016,45.492639109765335
6303,377.14962868108773,957.9041547664533,-0.0,1737.783689705337,131.94751574551051,362.411624062233,3.6268140933850233,1383.9691077659197,215.99635754904196,52.03007112771761
6304,379.83101153546784,1013.7862406581645,-0.0,1731.5333657898154,128.45844754704993,355.93626685756516,3.5388226617938985,1380.4876795574592,212.2702130562143,55.405659812967976
6305,343.66677088358267,1009.3642962739914,-0.0,1725.9462997233873,128.45844754704993,325.52061628638853,3.1796082308623514,1294.6093459393392,194.7398350043757,55.95328842064582
6306,293.35883841361186,907.3193855322231,-0.0,1530.0729177954954,116.29815329261658,314.5890952599112,2.97094800205396,1157.4681774105206,169.3438088390596,52.91254419054411
6307,243.16277527283754,800.1957643872098,-0.0,1335.5746413953636,103.0058698945372,269.53706970947013,2.292324211456384,1014.6043975885605,143.50450756780566,49.43257229670128
6308,227.75128984943225,770.3023670257502,-0.0,1149.051470522992,103.0058698945372,225.62094480065915,2.2229193191119867,882.7283566372862,119.29927499154554,47.113372739117324
6309,216.283527838202,751.5853002640878,-0.0,981.8474981436008,103.0058698945372,185.85763976352212,1.801456604118054,871.6941069944038,110.5971057804806,46.15494551779224
6310,174.00491152177767,668.4853485192772,-0.0,937.831324858178,93.84987961801502,148.27356453389606,1.801456604118054,764.9468079009282,89.28334196440683,45.837676800855476
6311,168.6238819960081,596.6930989771032,-0.0,791.7089982078871,86.80598704867857,114.747948919292,1.5782178984497337,674.5424227600521,84.3528103063108,47.36156658830703
6312,165.40168223371347,600.3464776237562,-0.0,663.3491187937161,81.94220304288183,84.94310349717695,1.909239399455379,596.5767319726052,67.99509032376493,49.96777338453521
6313,164.20086541054383,539.6406406874639,-0.0,541.2770031989453,78.34239732437715,57.48928916583298,1.855631411910895,526.0639076333885,52.60623916659789,53.199386534575524
6314,129.83034927248724,482.47149775319986,-0.0,427.83674438879495,75.96248304233276,30.348816502727146,1.8462690580383967,457.3732969191165,38.051963082772424,56.67795071094574
6315,95.55376924920562,424.51537942076106,-0.0,311.08467150908507,74.13848190945662,36.54040125092027,1.8462690580383967,387.4048998297894,37.118150429334634,60.02501058616359
6316,92.55825623371797,433.9261788739042,-0.0,189.92690265011564,91.72113378933383,36.54040125092027,1.7982624017513267,312.5138914473207,21.471386939223404,60.02501058616359
6317,52.70746640818983,364.6014321443048,-0.0,49.813648867406755,107.79572053108723,38.02661965640467,1.597047539191736,221.73896612513974,4.091967250043819,60.02501058616359
