,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,SVG Electrolyzer,SVG Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,MSR Electrolyzer,MSR Fuel Cell
0,-22.13283934339435,-32.218341919134794,-23.444061908347113,-56.51151701192445,0.0,0.0,0.0,0.0,-10.928390429024708,-6.216901419822286,-2.248856006827798,0.0,-5.106445249254054,-4.154842142643649,0.0,0.0,0.0,0.0
1,-24.40083934339435,-32.218341919134794,-29.674061908347106,-56.51151701192445,-89.12203726369908,0.0,-57.30372036019979,0.0,0.0,0.0,0.0,0.0,-5.106445249254054,-4.154842142643649,0.0,0.0,0.0,0.0
2,-24.890839343394358,-32.218341919134794,-30.682061908347116,-56.51151701192445,0.0,0.0,-3.9292399224440113,0.0,0.0,0.0,-2.248856006827798,0.0,-3.6486799579439113,-4.154842142643649,0.0,0.0,0.0,0.0
3,-24.995839343394355,-32.218341919134794,-29.548061908347112,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,-2.248856006827798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-24.393839343394355,-32.218341919134794,-116.92704343583245,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,-0.07600573086269069,0.0,-0.5461698463505235,0.0,0.0,0.0,0.0,0.0
5,-24.680839343394357,-32.218341919134794,-116.92704343583245,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
6,-25.55144606991928,-32.218341919134794,-34.67268292443146,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,-0.41324289120796037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-38.67106177518331,-32.218341919134794,-78.91863925122087,-56.51151701192445,-89.12203726369908,0.0,0.0,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-3.1742041043635822,0.0,-0.5619702265103073,0.0,-0.024823891408504824,0.0
8,-55.19262053321864,-32.218341919134794,-116.92704343583245,-56.51151701192445,-89.12203726369908,0.0,-49.284920971400425,0.0,-10.928390429024708,0.0,0.0,0.0,0.0,0.0,-0.5619702265103073,0.0,-0.024823891408504824,0.0
9,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,-86.46997583213442,0.0,0.0,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-5.106445249254054,0.0,-0.5619702265103073,0.0,-0.024823891408504824,0.0
10,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,-89.12203726369908,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-5.106445249254054,-4.154842142643649,-0.5619702265103073,0.0,-0.024823891408504824,0.0
11,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,-89.12203726369908,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-5.106445249254054,0.0,-0.5619702265103073,0.0,-0.024823891408504824,0.0
12,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,-89.12203726369908,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-5.106445249254054,0.0,-0.5619702265103073,0.0,-0.024823891408504824,0.0
13,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,-89.12203726369908,0.0,0.0,0.0,-10.928390429024708,0.0,0.0,0.0,-5.106445249254054,0.0,-0.5619702265103073,0.0,-0.024823891408504824,0.0
14,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,-18.930235082788386,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-5.106445249254054,-4.154842142643649,-0.5619702265103073,0.0,-0.024823891408504824,0.0
15,-57.91872347389705,-32.218341919134794,-116.92704343583245,-56.51151701192445,0.0,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,-2.248856006827798,0.0,-5.106445249254054,-4.154842142643649,-0.5619702265103073,0.0,-0.024823891408504824,0.0
16,-57.91872347389705,-32.218341919134794,-54.512969828702765,-56.51151701192445,0.0,0.0,-32.91787188733406,0.0,-5.452676364016895,0.0,-2.248856006827798,0.0,-5.106445249254054,-4.154842142643649,-0.12576301945381346,0.0,0.0,0.0
17,-31.85581704948564,-32.218341919134794,-12.796158721214598,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,-2.4680249335473037,0.0,-1.392878067912748,-4.369308336346087,-4.154842142643649,0.0,-1.8811757376243912,0.0,0.0
18,-4.884839343394356,-32.218341919134794,-116.92704343583245,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,-10.716420428910833,0.0,0.0,0.0,-2.4316820322181427,0.0,-1.8811757376243912,0.0,0.0
19,-4.184839343394357,-32.218341919134794,-51.506025854086374,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3230914589256515,0.0,-1.8811757376243912,0.0,0.0
20,-5.766839343394357,-32.218341919134794,-116.92704343583245,-56.51151701192445,0.0,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,0.0,-2.3987960614870456,-5.106445249254054,-4.154842142643649,0.0,-1.8811757376243912,0.0,0.0
21,-7.9648393433943525,-32.218341919134794,-1.1980619083471147,-56.51151701192445,0.0,0.0,0.0,0.0,-1.0969970950765742,0.0,0.0,-2.3987960614870456,-5.106445249254054,-4.154842142643649,0.0,-1.8811757376243912,0.0,0.0
22,-9.868839343394354,-32.218341919134794,-3.256061908347113,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03906755873505752,-5.106445249254054,-4.154842142643649,0.0,-1.8811757376243912,0.0,0.0
23,0.0,-13.659999999999993,-5.272061908347109,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.106445249254054,-4.154842142643649,0.0,-0.036913482970416744,0.0,0.0
24,0.0,-9.050069925941221,-9.122061908347119,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,-2.938200616496374,0.0,0.0,-3.5164412034787724,-4.154842142643649,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,-9.81390031185364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6119574525074154,-4.154842142643649,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4029258550489205,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.624613130987939,0.0,0.0,-1.3883306620076363,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.928390429024708,0.0,0.0,0.0,-2.9605550915342627,-4.154842142643649,0.0,0.0,0.0,0.0
31,0.0,0.0,-24.91608926961018,-14.949653561766107,0.0,0.0,-0.37958239123418025,0.0,0.0,0.0,0.0,0.0,-3.651657860141732,-4.154842142643649,0.0,0.0,0.0,0.0
32,-15.097488814223114,0.0,-94.18586168654076,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.106445249254054,-4.154842142643649,0.0,0.0,0.0,0.0
33,-34.3484768976387,0.0,-94.18586168654076,-56.51151701192445,-85.81941132884185,0.0,-57.303720360199804,0.0,-10.928390429024708,0.0,0.0,0.0,-4.444482957207356,0.0,0.0,0.0,0.0,0.0
34,-55.314347587317236,0.0,-94.18586168654076,-56.51151701192445,0.0,0.0,-57.30372036019979,0.0,-10.928390429024708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-10.055835260374463,0.0,-94.18586168654076,-56.51151701192445,0.0,0.0,0.0,0.0,-10.928390429024708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-7.918843668530623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.928390429024708,0.0,0.0,0.0,-5.106445249254054,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.928390429024708,0.0,0.0,0.0,-5.106445249254054,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,-76.53519774912108,0.0,0.0,0.0,0.0,0.0,-10.928390429024708,0.0,0.0,0.0,-4.019599963375782,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,-6.820844896992184,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,-10.654008631179142,0.0,0.0,0.0,-97.839412828677,0.0,-63.66537865798309,0.0,-9.64821373952729,0.0,-2.3987960614870456,-1.1695086543278754,-4.154842142643649,0.0,0.0,0.0,0.0
41,0.0,-31.93414157446584,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
42,0.0,-31.0528451312055,0.0,-45.921118649472646,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-6.259582458572709,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.84192642964135,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,-62.80312177390806,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,-3.6566860896233138,0.0,0.0,0.0,0.0
