,SKN Storage,ATG Storage,MSR Storage,GLP Storage,MTQ Storage,LCA Storage,BRB Storage,SVG Storage,GRD Storage
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,0.11096168908028536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,0.1409616890802854,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,0.18096168908028543,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,0.6306961827993469,-0.0,-0.0,-0.0,-0.0,-0.0,0.6230231564826436
8,14.705815991110315,-0.0,-0.0,-0.0,36.74794731004516,-0.0,-0.0,-0.0,11.447701329979566
9,25.695998435761332,15.823577809425103,-0.0,-0.0,222.76647410892048,-0.0,-0.0,-0.0,13.952233246802853
10,31.955774966034276,70.0,0.1300653483194123,60.94205380496942,240.0,-0.0,-0.0,-0.0,15.012796007027188
11,33.771013823917045,70.0,0.24052215213621841,320.0,240.0,-0.0,-0.0,-0.0,15.376387086971315
12,33.771013823917045,70.0,0.23867246859530722,320.0,240.0,-0.0,183.39515996332773,-0.0,14.615979632205503
13,32.59819178428249,70.0,0.2260712027589522,320.0,240.0,-0.0,190.0,25.734766220359052,14.945983081971123
14,24.22376572732989,70.0,1.1656310113852522,320.0,233.31424672963425,11.744605339146837,190.0,25.176492605316195,13.22000728041275
15,8.402252391578955,70.0,1.1656310113852522,234.86681426879701,146.83503761410816,36.84491789243813,127.69850159182907,22.223688240580586,11.213054364332981
16,-0.0,1.9927867685137386,0.5619563093829825,69.8175263486825,34.32402127667264,18.176085394305538,21.03350159182907,17.28040126614287,8.943643347514906
17,-0.0,-0.0,0.13192703718528298,-0.0,-0.0,0.02763691783087885,-0.0,-0.0,6.644043638135788
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5924409981765457
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.829375576974936
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8160173229117618
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3287899112517998
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4651388243270489
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0199550268014903
24,-0.0,-0.0,0.09096168908028535,-0.0,-0.0,1.0817728691005222,-0.0,-0.0,2.469662193939925
25,3.091141258558409,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.5906840010071264
26,-0.0,-0.0,0.22096168908028546,-0.0,-0.0,-0.0,-0.0,-0.0,4.8250640621375105
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.517400509133484
28,-0.0,-0.0,0.20096168908028544,-0.0,-0.0,-0.0,-0.0,-0.0,5.4887151490622585
29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.865138824327051
30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.555179375574491
31,-0.0,-0.0,0.27099096127798483,5.338584947765284,-0.0,-0.0,-0.0,11.121221555524922,5.387922850417218
32,2.2901712369344196,46.88219251683067,-0.0,133.1234735865728,93.23887449418541,52.88584026523404,72.42961556721554,14.951233626106504,8.43805249214406
33,12.543582929274326,70.0,-0.0,250.6257593564285,170.76610338182329,63.4807806848566,172.55704733003012,17.699598544859036,12.881621490428966
34,20.444974083391728,70.0,-0.0,320.0,219.18961896508307,68.64577296640981,190.0,20.147180861859326,15.794209100587274
35,22.972921947495976,70.0,1.1656310113852522,320.0,236.98937181368493,69.25278908011398,190.0,19.788547962669405,16.1798214483929
36,33.771013823917045,70.0,-0.0,320.0,227.40137675671292,65.36807709635744,190.0,18.340578943467968,15.246337399289022
37,17.030635329965484,70.0,-0.0,320.0,186.65768816747453,56.2508689718243,190.0,15.632899193100691,13.329106405556601
38,9.916319100214231,70.0,0.9121768791165494,247.31885705588144,128.79815775513092,44.60371270922178,152.23204733003016,11.868463003543283,10.784426347419721
39,20.46152418973236,25.238048291040933,0.4389567841252193,79.12865131144281,39.51090415235319,-0.0,93.86355963316548,7.457332382089161,5.534874088819295
40,-0.0,-0.0,0.1157366891338889,-0.0,-0.0,-0.0,-0.0,-0.0,0.019990450605620325
41,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
43,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
46,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
47,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
48,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
50,-0.0,-0.0,0.1409616890802854,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
51,-0.0,-0.0,0.12096168908028537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
52,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
53,-0.0,-0.0,0.02903831091971454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5436929745761212
56,13.84236722772631,-0.0,-0.0,-0.0,88.00881170070392,-0.0,-0.0,-0.0,4.695614640355977
57,10.086789759412806,-0.0,0.6648287970266336,94.06483830158652,196.50794667081055,51.35450292982132,190.0,-0.0,9.469083639638718
58,20.48747583849099,70.0,-0.0,300.17433018857207,240.0,69.9489488635346,190.0,18.088055987349563,10.780538270591201
59,25.62160778650675,70.0,-0.0,320.0,240.0,75.0,190.0,19.012740737077127,10.77215566575935
60,25.741029944825407,70.0,1.1656310113852522,320.0,240.0,75.0,190.0,19.629857818012546,9.03547970888043
61,21.63866078788245,70.0,1.1656310113852522,320.0,240.0,75.0,190.0,18.58851133703275,6.686474896069537
62,23.992063689395536,70.0,-0.0,313.55501758642754,200.0462510734385,50.79705997157081,190.0,16.09890060662783,3.8939013495873986
63,0.27459302433309674,52.26756732263078,0.6728991892142944,191.34399930046138,111.57388932706019,9.354482008849544,129.07850159182905,12.996426898189496,-0.0
64,-0.0,29.05196594783086,0.1901876385111556,-0.0,-0.0,7.303575070059132,-0.0,8.457103400221381,-0.0
65,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
66,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
67,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
68,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
69,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
70,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
71,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
72,-0.0,-0.0,0.0409616890802853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
