,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
5068,-0.0,1.6214000000000002,35.27260219451487,-0.0,1.1484557745189286,-0.0,0.12080781676675467,-0.0,60.0,124.26607667604847,-0.0,-0.0,-0.0,15.732030331805557,9.0,128.02180751916217,-0.0,-0.0,49.71618343307999,66.7334430426025,-0.0,18.63865408915046,-0.0,81.82825,-0.0,-0.0,23.54793786910653,-0.0,-0.0,32.45658596318725,0.7251077519055872
5069,-0.0,1.6456000000000002,35.27260219451487,-0.0,1.1484557745189286,-0.0,0.12080781676675467,-0.0,60.0,129.88603718493755,-0.0,-0.0,-0.0,15.57067617455627,9.0,161.6270506771989,-0.0,-0.0,49.71618343307999,-0.0,-0.0,18.63865408915046,-0.0,106.64999999999999,-0.0,-0.0,46.639434855315194,-0.0,-0.0,19.693198533001574,0.7251077519055872
5070,0.0765,1.6434000000000002,35.27260219451487,19.194939297124602,1.1484557745189286,0.1568029852455991,0.11981032103244087,-0.0,60.0,91.6331075908487,48.93296908519979,-0.0,-0.0,15.489999095931626,9.0,139.99159123560372,18.895492645874633,-0.0,49.71618343307999,-0.0,3.342029515676057,18.63865408915046,38.190000000000005,106.19999999999999,-0.0,2.0697685916005923,12.382293539292883,-0.0,-0.0,20.893198533001577,0.7251077519055872
5071,-0.0,1.6192000000000002,35.27260219451487,76.43699041533547,1.1484557745189286,0.633242825030304,0.11864657600907477,-0.0,60.0,-0.0,183.7132523549606,-0.0,-0.0,15.510168365587786,9.0,69.38753365295938,73.95304880368175,-0.0,49.71618343307999,9.061729951308553,13.48747625969266,18.63865408915046,135.66,42.81175000000002,-0.0,8.474335554289217,7.477726576604258,-0.0,9.884493389215624,13.508705143785953,0.7251077519055872
5072,-0.0,1.5774000000000001,35.27260219451487,136.42117571884987,1.1484557745189286,1.1549142951743165,0.11770449664902863,-0.0,60.0,129.16444808946565,73.75073259150868,-0.0,-0.0,15.550506904900109,9.0,165.57622386092152,-0.0,-0.0,49.71618343307999,-0.0,23.51356480672083,18.63865408915046,189.17175,-0.0,-0.0,3.9886747007077976,-0.0,-0.0,-0.0,39.75658596318725,0.7251077519055872
5073,-0.0,-0.0,35.27260219451487,158.53790001348509,1.1484557745189286,0.9976874680179892,0.11582033809518566,-0.0,60.0,129.88603718493755,50.947886139013995,-0.0,-0.0,15.631183983524753,9.0,37.95506716891347,175.2719835082854,-0.0,49.71618343307999,6.789248779096585,-0.0,18.63865408915046,90.87175,106.8,-0.0,-0.0,4.988674700707797,-0.0,-0.0,41.65658596318725,0.7251077519055872
5074,-0.0,1.4366,35.27260219451487,65.85865271139018,1.1484557745189286,1.9087748011627736,0.11393617937509339,-0.0,60.0,130.60762628040942,58.926297043542114,-0.0,-0.0,15.711861062149397,9.0,-0.0,195.06709324529425,-0.0,49.71618343307999,32.44920621100121,-0.0,18.63865408915046,201.27175,-0.0,-0.0,19.152062130893476,-0.0,-0.0,-0.0,28.59319853300157,0.7251077519055872
5075,-0.0,-0.0,35.27260219451487,57.42782090031949,1.1484557745189286,2.074624112480234,0.11227368648457038,-0.0,60.0,-0.0,201.29977533197936,-0.0,-0.0,15.853045949742524,9.0,198.36709324529426,-0.0,-0.0,49.71618343307999,-0.0,40.277315767024206,18.63865408915046,203.87175,-0.0,-0.0,11.923952574870478,-0.0,-0.0,28.69319853300157,-0.0,0.7251077519055872
5076,-0.0,-0.0,35.27260219451487,149.71574666138818,1.1484557745189286,2.074624112480234,0.06699522751083475,-0.0,60.0,-0.0,543.0779133657616,-0.0,-0.0,16.074907915960296,9.0,-0.0,219.6270506771989,-0.0,49.71618343307999,-0.0,17.217358335119584,18.63865408915046,204.57175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,39.31715110787205,0.7251077519055872
5077,-0.0,-0.0,35.27260219451487,157.6879000134851,1.1484557745189286,1.954006431522081,0.11138702366504122,-0.0,60.0,-0.0,224.73392332395153,-0.0,-0.0,16.19592353389726,9.0,-0.0,173.4405824566411,-0.0,49.71618343307999,-0.0,37.877315767024214,18.63865408915046,198.87175,-0.0,-0.0,-0.0,11.223952574870479,-0.0,27.59319853300157,-0.0,0.7251077519055872
5078,0.861,1.2914,35.27260219451487,49.72069935929322,1.1484557745189286,1.7007093015099592,0.11077744288309968,-0.0,60.0,-0.0,188.16607667604845,-0.0,-0.0,16.135415724928777,9.0,210.1270506771989,-0.0,-0.0,49.71618343307999,5.8892487790965795,-0.0,18.63865408915046,87.82175,109.95,-0.0,-0.0,18.252062130893474,-0.0,26.529365676754885,0.9638328562466913,0.7251077519055872
5079,-0.0,1.309,35.27260219451487,120.02409935929322,1.1484557745189286,1.3690106788750382,0.11016786226740745,-0.0,60.0,-0.0,260.9515273062996,-0.0,-0.0,15.994230837335651,9.0,29.26585908781189,134.87472336882925,-0.0,49.71618343307999,4.142059434396078,24.707146776605136,18.63865408915046,220.59,79.70737272442169,-0.0,4.1886747007078,-0.0,-0.0,-0.0,39.95658596318725,0.7251077519055872
5080,0.42899999999999994,1.3596000000000001,35.27260219451487,79.39930001348512,1.1484557745189286,0.8382928826591645,0.11000161297835515,-0.0,60.0,128.26246172012583,33.07146160382569,-0.0,-0.0,15.873215219398684,9.0,196.92705067719885,-0.0,-0.0,49.71618343307999,-0.0,2.7892487790965834,18.63865408915046,125.97,115.05,-0.0,-0.0,17.052062130893475,-0.0,-0.0,25.293198533001572,0.7251077519055872
5081,0.165,1.4190000000000003,35.27260219451487,35.30497763578275,1.1484557745189286,0.3136059704911982,0.11016786226740745,-0.0,60.0,125.19570806437034,50.14608317173047,-0.0,-0.0,15.691691792493236,9.0,136.885074137243,27.69167025688524,-0.0,49.71618343307999,-0.0,5.013044273514086,18.63865408915046,37.050000000000004,116.4,-0.0,-0.0,2.588674700707799,-0.0,-0.0,37.55658596318725,0.7251077519055872
