,SKN MSR link,ATG GLP link,GLP DMA link,DMA MTQ link,MTQ LCA link,LCA SVG link,SVG GRD link,SVG BRB link,LCA BRB link,SKN ATG link
0,-2.5,15.174279068503498,14.728582433260986,-1.9285054004340925,-50.1970651360237,-25.0,-25.0,16.644319691895813,-42.07946830498775,29.679536087031266
1,-2.5,15.174279068503498,14.728582433260986,12.028582433260986,-50.1970651360237,-15.517596831035952,-25.0,10.482403168964048,-42.07946830498775,29.679536087031266
2,-2.5,15.174279068503498,14.728582433260986,12.128582433260986,-50.1970651360237,-14.41759683103595,-25.0,11.982403168964048,-42.07946830498775,29.679536087031266
3,-2.5,15.174279068503498,-14.728582433260986,-17.228582433260986,-50.1970651360237,-15.017596831035952,-25.0,11.682403168964047,-42.07946830498775,29.679536087031266
4,-2.5,15.174279068503498,-14.728582433260986,-17.128582433260988,-50.1970651360237,-25.0,-20.217234042553194,-2.882765957446807,-30.697065136023703,29.679536087031266
5,-2.5,15.174279068503498,-14.728582433260986,-16.828582433260983,-50.1970651360237,-25.0,-21.224893617021273,16.644319691895813,-31.297065136023704,29.679536087031266
6,-2.5,15.174279068503498,-14.728582433260986,3.4714175667390137,-50.1970651360237,-25.0,-25.0,2.5393952816851666,-30.0790651360237,28.58854284424528
7,-2.5,15.174279068503498,14.728582433260986,-7.271417566739014,-50.1970651360237,-25.0,-25.0,4.0924853166750825,-42.07946830498775,16.703668743443487
8,1.5784880952380917,15.174279068503498,14.728582433260986,-8.171417566739013,-50.1970651360237,-25.0,-25.0,5.969852675479329,-42.07946830498775,-24.835845098746205
9,1.6821880952380917,15.174279068503498,14.728582433260986,-8.871417566739016,-50.1970651360237,-25.0,-25.0,2.417240679533826,-32.6250651360237,9.318691904761911
10,-1.3047619047619081,15.174279068503498,-12.77548667544163,-16.97548667544163,-50.1970651360237,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
11,1.7659880952380917,15.174279068503498,-14.728582433260986,-19.528582433260986,-50.1970651360237,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-27.103311132764105
12,1.7584880952380915,15.174279068503498,14.728582433260986,16.442835133478017,-50.1970651360237,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
13,1.6684880952380916,15.174279068503498,-14.728582433260986,-20.0,20.88043732120419,-20.640094373808054,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
14,-1.416261904761908,15.174279068503498,-14.728582433260986,-20.0,17.97415710985203,-20.970374585160222,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
15,-1.419011904761908,15.174279068503498,-14.728582433260986,-20.0,-44.93559823039035,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
16,-1.370511904761908,11.259159615351392,3.910985443410416,1.0109854434104157,-30.248583353501242,-13.005791047130433,-25.0,16.644319691895813,-23.378792306370805,13.306411904761907
17,-1.286761904761908,-9.83029218105689,14.728582433260986,20.0,-50.1970651360237,-25.0,-22.990464422014053,16.644319691895813,-33.6890651360237,29.679536087031266
18,-1.054011904761908,15.174279068503498,-14.728582433260986,8.271417566739014,-50.1970651360237,-25.0,-25.0,6.0,-40.797065136023704,7.84261190476191
19,-0.994011904761908,15.174279068503498,-2.5,20.0,-50.1970651360237,-25.0,-18.03302834458889,-1.5669716554111126,-42.07946830498775,6.556411904761907
20,-0.964011904761908,4.208654491548573,14.728582433260986,20.0,-50.1970651360237,-25.0,-25.0,16.644319691895813,32.40293486397629,7.518011904761907
21,-2.5,15.174279068503498,14.728582433260986,20.0,-50.1970651360237,-25.0,-25.0,16.644319691895813,33.145679246859686,29.679536087031266
22,-2.5,-15.174279068503498,14.728582433260986,-2.071417566739015,-50.1970651360237,-25.0,-25.0,16.644319691895813,35.2029348639763,29.679536087031266
23,-2.5,-14.30046391296873,14.728582433260986,-1.1714175667390148,-50.1970651360237,-20.117596831035954,-25.0,12.382403168964046,-42.07946830498775,29.679536087031266
24,-2.5,-11.220463912968732,14.728582433260986,19.528582433260986,-50.1970651360237,-25.0,-25.0,9.0,-33.297065136023704,29.679536087031266
25,-2.5,15.174279068503498,-14.728582433260986,-9.228582433260986,-50.1970651360237,-25.0,-25.0,9.600000000000001,-31.4970651360237,29.679536087031266
26,-2.5,13.817017566739025,-14.728582433260986,-9.028582433260986,-50.1970651360237,-18.55568030810419,-25.0,16.644319691895813,-37.24138482791952,15.376
27,-2.5,12.782217566739014,-14.728582433260986,-8.628582433260986,-50.1970651360237,-18.45568030810419,-25.0,16.644319691895813,-37.14138482791951,15.396600000000001
28,-1.3840119047619082,15.174279068503498,-13.2120651360237,12.4879348639763,-50.1970651360237,-25.0,-25.0,10.1,-30.297065136023704,13.866611904761907
29,-1.294011904761908,15.174279068503498,-14.728582433260986,10.571417566739015,-50.1970651360237,-25.0,-25.0,9.148946521679868,-33.297065136023704,12.759411904761906
30,-1.204261904761908,15.174279068503498,-14.728582433260986,-10.228582433260986,-50.1970651360237,-25.0,-25.0,16.644319691895813,-35.6370651360237,11.351261904761909
31,-2.5,11.060643269302734,-14.728582433260986,-11.428582433260985,-50.1970651360237,-25.0,-25.0,10.378923450201828,-38.7490651360237,18.92887838552207
32,-2.5,15.174279068503498,-14.728582433260986,-12.828582433260985,-49.59346830498775,-25.0,-25.0,12.39421859051466,-42.07946830498775,-21.352075012234693
33,2.082488095238092,10.490057607144589,14.728582433260986,13.87513291264223,-47.62346830498775,-25.0,-25.0,14.107957639429905,-42.07946830498775,0.37731190476190646
